company_name,max_wages,min_wages,place,place2,education,treatment,requirement
Android多媒体开发工程师,20000.0,15000.0,上海市青浦区沪青平公路3938号9号楼102室,上海-青浦区,本科,无,"岗位职责：1、负责相关Android的应用开发，有政务执法相关行业开发经验;2、负责开发SIP/TCP协议程序，实现点对点通信；3、负责GB28181推流协议，实现和服务器的推流交互；4、根据业务需求，与项目团队紧密配合，确保产品功能、性能符合要求并按时交付产品；5、参与Android开发的产品需求讨论，并参与技术实施。岗位要求：1、全日制本科及以上学历，电子、通信、计算机相关专业，至少2年以上Android开发工作经验；2、精通使用SIP、GB28181协议；熟悉SIP和GB28181的架构和应用；3、有Android多媒体框架、视音编解码经验，熟练使用LibYUV,mediacodec,OMAX,ffmpeg,openGL等嵌入式音视频处理工具的重点录用；4、代码风格良好，能设计出高效合理，易读易拓展的程序结构；5、责任心较强，有较好的沟通和理解能力及团队合作精神，较强的工作热情。职能类别：Android开发工程师关键字：android多媒体安卓安卓开发android开发软件开发开发软件工程师微信分享"
Android开发工程师,25000.0,15000.0,国霞路258号6楼,上海-杨浦区,本科,"五险一金,绩效奖金,通讯补贴,餐饮补贴,交通补贴,年终奖金,定期体检",工作内容：1、主要从事Android移动平台客户端软件的功能设计、开发和实现；2、根据产品功能模块设计，编码实现各模块功能，并确保开发质量与进度；3、负责软件的设计、编程、调试和模块测试工作。任职条件：1、熟悉Android开发平台及框架原理，有2年以上Android平台开发经验；2、熟悉Sqlite数据库，及SQL语句编写；3、熟悉多线程、socket、 JSON/XML4、具有良好的代码风格，优秀的开发效率和处理解决问题的能力，工作积极主动，良好的团队合作精神，有较强责任感和严谨工作作风，对移动产品有浓厚兴趣，对业内产品有很好的理解和敏感度；职能类别：Android开发工程师关键字：android开发微信分享
Android开发工程师,18000.0,15000.0,隆昌路619号城市概念园区10号A楼210,上海-杨浦区,大专,"五险一金,员工旅游,出国机会,年终奖金,绩效奖金,年节福利","岗位职责：1、负责公司部分产品的android化，以及相应的app的架构设计和开发工作；2、研究金融服务行业应用，解决创新研发过程中的关键问题和技术难点；3、根据产品开发计划，按时完成软件编码工作；4、按照开发流程编写相应模块的设计文档；5、与产品经理、测试工程师、其他团队沟通合作，保证产品研发工作的质量和进度；6、协调或指导团队里其它开发人员的工作；任职要求：1、大专及以上学历，至少1年android软件开发经验；2、熟练掌握java开发、android平台下的高性能编程及性能调优；3、拥有很好的设计模式和思维, 熟悉面向对象编程，图形界面开发；4、熟悉android相关的framework和api；5、熟悉与后台的网络通信技术、http、session、cookie、json、xml；6、对于代码质量、高效，具有强烈责任感；并以追求极致的用户体验为目标，对技术富有热情；能够不断自我学习、较强的沟通能力，快速响应解决问题；7、有工业pda开发经验者优先；职能类别：Android开发工程师关键字：android安卓微信分享"
Android开发工程师,17000.0,10000.0,上海市普陀区绥德路2弄13号5楼,上海,本科,"五险一金,定期体检,员工旅游,年终奖金,绩效奖金","任职要求：1、3年以上Android客户端开发经验，有较强的阅读代码的能力；2、精通Android开发平台及框架原理；3、对网络应用，图像处理有经验者优先；4、有独立开发APP客户端经验或核心模块开发经验优先；5、对技术有热情和追求,学习能力突出,思维逻辑敏捷。任职资格：1、本科及以上学历，计算机、电子相关专业毕业，3年以上相关工作经验2. 熟悉Java语言编程和Android开发，具备三年Android开发经验；3. 熟悉 FrameworkUI对应的是View等模块,了解AMS, WMS, PMS，binder，ART优先；4.维清晰、敏捷，良好的学习能力，良好的沟通能力和团队协作精神，有一定的抗压能力。职能类别：Android开发工程师微信分享"
Android APP开发工程师,20000.0,15000.0,金都路3669号（留创园）1号楼3楼,上海-闵行区,大专,"五险一金,专业培训,餐饮补贴,定期体检,周末双休","一、岗位职责1、负责公司产品及行业应用APP的开发；2、按计划完成产品模块的代码编写，产品模块测试，保证代码质量；3、对APP进行维护和持续升级, 优化手机的适配与兼容；4、学习和研究新的APP开发技术，以保持APP开发效率的不断优化；5、参与公司项目平台基础服务开发，负责技术开发评估, 提供可实施技术方案。二、任职要求1、有独立的Android上层App，UI，Service开发，1年及以上经验；2、具备开发兼容android/IOS APP产品经验者尤佳，有智能硬件蓝牙、视频传输、UI混合经验者更佳；3、优良的编码能力, 斟酌代码设计/可读性/可维护性；4、良好的沟通表达能力等。职能类别：Android开发工程师微信分享"
Android开发工程师,20000.0,15000.0,中山西路1265弄湘江大厦1106室,上海-长宁区,本科,"五险一金,绩效奖金,股票期权,定期体检",1、2年以上Android平台开发经验，有混合架构开发经验者优先；2、熟悉JAVA编程语言，熟悉常用设计模式、常用UI布局、第三方开源库，有良好的编程习惯；3、熟悉Android网络通信机制，对Socket通信、TCP/IP和MQTT有一定理解和经验；4、熟悉MVC、Retrofit2、WebRTC、WebSocket、Rxjava2、Greendao、Gilde、ZXing5、熟悉各种主流手机特性和性能分析，对兼容性、UI卡顿、电量、APP启动、包瘦身和内存等性能优化者优先；职能类别：Android开发工程师关键字：android安卓安卓开发软件开发android开发开发软件工程师工程师微信分享
Android开发工程师（MF）,20000.0,15000.0,虹漕路461号虹钦园56号楼9层F座,上海-徐汇区,本科,无,"岗位职责：1、负责 Android客户端的相关产品开发、文档撰写和项目改进；2、参与 Android平台上业务应用的功能设计、技术选型及架构规划；3、参与产品设计，按照设计规范，完成技术文档编写；4、负责优化客户端软件的模块结构和流程逻辑；5、负责优化客户端软件相关产品适配、升级；6、参与与其他团队的沟通协调7、同时会IOS开发的优先职位要求：1、2年以上android平台上egret sdk接入经验和功能扩展经验;2、熟练java，同时熟练object-c和java优先;3、熟练egret在安卓平台上的移植和打包,熟悉各个不同版本安卓特点;4、有android原生开发经验优先;5、程序设计基础好，熟悉数据结构，设计模式;6、具备良好的分析解决问题能力，能独立承担复杂系统开发工作;7、具备高度的责任心、良好的沟通能力和团队合作精神;职能类别：Android开发工程师微信分享"
Android开发工程师,15000.0,10000.0,郭守敬路498号,上海-浦东新区,大专,无,工作内容：负责车联网手机端AndroidApp设计开发任职要求： 工作2年以上，本科 熟练运用Android的四大组件，Android平台框架（涉及UI、自定义View、多线程、网络等） 熟练掌握java语言，深入理解并熟练使用基础类库，熟悉java虚拟机； 熟悉使用Android Studio、SVN、Git等开发工具 孰悉开发和使用第三方端SDK经验和接口设计 熟悉多进程多线程之间通信，网络请求经验 需要有多个APP开发经验，具有支付开发经验更佳 沟通良好，态度佳，具有团队合作精神。职能类别：Android开发工程师微信分享
Android开发工程师,15000.0,9000.0,宜山路1618号新意城A106,上海-闵行区,本科,无,岗位要求：(1)计算机相关本科以上学历，1年以上工作经验；(2)熟悉熟练掌握Java语言、Android Studio等开发工具；(3)熟悉Android SDK/NDK，熟悉常用框架。(4)精通多线程开发、动态链接库技术(5)熟悉平台应用软件的测试，有实际Android App开发经验(6)熟悉TCP/IP、HTTP、SSL协议的开发应用(7)有良好的开发风格，较强的阅读和分析现有代码的能力(8) 有良好的产品意识，积极乐观，认真负责，乐于协作；职能类别：Android开发工程师微信分享
Android开发工程师,20000.0,15000.0,紫云路（天山SOHO广场33楼）,上海-长宁区,大专,"五险一金,餐饮补贴,绩效奖金,年终奖金",1、负责Android客户端、智能音箱的开发与维护并保证可扩展和可维护性；2、持续优化产品性能，保证App安全、稳定、快速运行，并使用产品具有优秀的用户体验；3、新技术的预研、技术攻关，如flutter；4、基础设施（架构、框架、组件等）建设。职位要求：1、本科以上学历，4年以上Android平台开发经验，有丰富的客户端应用架构经验，可以独立承担架构设计；2、熟悉Android UI开发、布局，熟悉不同分辨率适配；3、熟悉Android 系统体系结构、framework以及底层库等，熟悉Android的各种开源组件和Android界面设计规范；4、熟悉Android平台网络通信机制、多线程，对Socket、网络协议有较深理解；5、有Flutter框架经验优先；有智能音箱、视频类App设计、开发经验者优先；6、有很强的学习能力和技术钻研能力，积极主动，思维灵活开放，有良好的沟通能力，善于跨团合作。职能类别：Android开发工程师微信分享
