company_name,max_wages,min_wages,place,place2,education,treatment,requirement
游戏-数据分析师--4230,35000.0,20000.0,临虹路365号爱奇艺创新大厦,上海-长宁区,本科,"五险一金,补充医疗保险,餐饮补贴,绩效奖金,定期体检",岗位职责:1、负责游戏产品数据分析工作；2、深入数据，从数据角度挖掘、分析用户游戏行为，搭建各项指标评估方案；3、定期进行用户流失、商业化、用户行为差异等数据专项分析，有效调用运营部数据能力；4、完善优化游戏分析报表体系（打点和经分），不断根据运营需求完善优化报表指标；5、能进行用户分层、活跃、收入等多种数据预估。任职要求:1、本科及以上学历；2、热爱游戏，对游戏有深入的分析和理解；3、1年以上游戏行业工作经验，熟悉游戏生命周期各阶段运营工作，擅长从数据角度进行深入挖掘；4、沟通能力强，具备优秀的自我驱动力、团队协作能力及跨部门协作推动力；5、具有SQL能力者优先。温馨提醒：如果 7 天内您没有收到爱奇艺的面试邀请，那么目前我们不会安排您参加后续的面试环节，感谢您的理解和对爱奇艺的关注与认可。职能类别：其他微信分享
大数据分析师 (MJ001819),16666.0,25000.0,上海市闵行区莲花南路2689号森马工业园,上海-闵行区,本科,无,工作职责1、商品全链路分析：面向渠道买手及商品运营管理，建立日常商品分析报表体系，并能运用可视化工具展示；2、参与服装买货、上市首铺、柔性翻单决策、上市配补调管理支持；推动全价值链项目有效落地；3、负责业务需求分析，沟通业务场景、梳理业务逻辑、讨论分析框架、评估数据分析目的和价值；4、与各部门密切沟通与配合，推动数据分析解决方案落地；5、对接IT数据运维部门，实现数据决策工具的标准化和可视化。任职资格1、三年以上数据分析工作经验；2、具备系统性分析思维及快速学习能力，统计学、数学专业优先；3、熟练掌握Excel、帆软（cube）等基础分析工具；4、会python及对编程有兴趣者优先；5、熟悉特征工程和各类主流挖掘算法，有机器学习背景者优先；6、工作积极主动、认真细心、善于沟通，具有良好的团队意识和协作精神。职能类别：数据分析师微信分享
行业数据分析师,8000.0,6000.0,隆昌路619号城市概念2号楼B11室,上海-杨浦区,本科,"五险一金,员工旅游,餐饮补贴,专业培训,绩效奖金,年终奖金",岗位职责：1、针对美妆、时尚奢侈品、快消等不同行业客户需求，进行项目分析和拆解2、对客户相关行业资讯的调研与整合，撰写和制作行业分析报告3、对客户行业数据的收集和预处理，对客户竞争对手数据进行分析和研究4、使用搜索引擎搜集工具和平台，进行舆情监测，数据收集分析和预警岗位要求：1、本科及以上学历，计算机、新闻、商科、英文、公关和广告学等相关专业优先2、有较好的数据清洗、分析和挖掘能力，熟练操作excel、ppt撰写分析报告3、沟通理解能力好，有较好的中英文的文字表达能力4、耐心细致，有较强的事业追求，能承担工作压力5、有品牌方的公关及营销部门、广告和公关公司工作背景优先。职能类别：其他其他关键字：广告监测媒体媒体监测媒体数据微信分享
数据分析师,12000.0,8000.0,浦东新区航鹤路2268号,上海,本科,无,岗位职责：1.负责日常数据统计及业务数据分析工作，维护业务部门日常报表。2.对接业务等各部门，对各类业务数据进行整合处理，协助搭建业务线指标体系，通过监控分析及时发现业务问题，为业务决策提供决策支持与优化方向。3.掌握业务及产品涉及逻辑，通过业务核心流程及基础数据产出决策依据。4.协助部门负责人完善数据体系，对物流产品线及业务线提供数据支持。岗位要求:1.本科及以上学历，数学、计算机、统计学、运筹学专业优先。2.3年及以上的数据仓库、BI分析相关经验，熟练使用业内数据分析软件、可视化工具。3.精通Excel擅长SQL对数据进行分析处理。4.有完整的数据分析项目经验，从数据采集、搭建数据仓库、数据清洗、数据建模到提供数据分析支持及产出报告。5.有责任心及较强的抗压能力，有较强的规划能力，快速适应公司的工作节奏。6、有创新精神敢于面对非所属专业的挑战。职能类别：统计员业务分析专员/助理微信分享
数据管理分析师,15000.0,10000.0,南昌路125号2号楼105室,上海-黄浦区,本科,"做五休二,周末双休,带薪年假,五险一金,全勤奖,交通补贴,加班补贴,专业培训",岗位职责:1、担任诺贝尔曼商业不动产研究所所长助理。2、对原始数据采集建立标准和规划，利用数学概率统计、机器学习相关算法建模，预测各大商圈租金、人流、营业额、业态等零售决策变化，并基于模型预测进行量化推荐。3、利用数学模和计算机技术，开发算法和商业策略，以提高商业决策的效率。4、进行数据清洗、较正、核实。主要处理的数据为结构化数据，包括路段租金、商圈周围配套设施、距离、商业品牌等。岗位要求:1、本科及以上学历，数学与应用数学、统计学、数据量化分析、计算机等相关专业，1年以上相关工作经验；2、精通各类数据分析及建模算法（如多元线性理论、灰度理论、不确定性理论等），能根据业务场景，建立挖掘模型，选择最合适和高效的算法并输出分析结果；3、精通SQL，熟练使用Python，matlab，Hadoop等开发经验者优先；4、对数据敏感、对技术敏感，有研究的意识和直觉者更佳。5、薪资福利优厚，可面议。福利待遇：1、带薪培训：系统化培训体系，新员工带薪培训；2、社会保险：按照规定五险一金；3、各类补贴：享受员工的车贴、饭贴；4、带薪年假：按照劳动法实行带薪年休假制度；5、健康体检：每年享受年度员工体检；6、拓展旅游：优秀员工拓展活动及旅游奖励。职能类别：大数据开发工程师数据分析师关键字：大数据数据分析数据处理运营开发数据模型微信分享
数据分析师,15000.0,10000.0,上海市徐汇区东安路562号上海绿地中心二期1501室,上海,本科,"五险一金,通讯补贴,餐饮补贴,员工旅游,绩效奖金,定期体检,年终奖金",1， 每月对收集汇总上来的数据，按照部门制定的数据分析规划要求，进行合理的数据处理，在规定的时间内完成相关数据分析报告2， 协助公司管理层，对各类数据进行汇总分析，并能协助进行分析模型的逻辑结构和模型建立，为后续工作开展打下基础。3， 对收集的数据能进行格式要求，制定相应的模板框架。4， 能在既定数据分析框架的基础上，针对公司的现状，提出合理的分析思路，并能协助落实。5， 利用现有数据分析内容，完成基本的数据可视化的基础搭建。6， 协助公司各部门进行相关的数据处理工作岗位能力要求：1， 熟练掌握office操作，尤其是excel操作，需要具备较强能力。同时对数据库操作有一定基础，能做简单的数据库处理。2， 对各类数据分析工具有一定了解，能做基本操作，比如Power BI，Python，Finereport等工具。3， 较强的逻辑性，并能对快消品业务流程较为熟悉4， 保密性强，不将涉及的分析数据对外传播。5，性格外向，有较强的沟通能力职能类别：数据库工程师(DBA)关键字：python数据库微信分享
BI数据分析师,20000.0,15000.0,上海静安区汶水路299弄智汇园31~33号11栋11~13楼,上海-静安区,本科,无,岗位职责：1、    负责数据仓库技术架构的规划及设计。2、    负责数据仓库模型设计、ETL开发。3、    深入理解公司数据和业务逻辑，根据业务场景构建业务模型并产生数据分析报告。4、    通过专题分析，为业务运营决策和方向提供数据支持。任职要求：1、 计算机、数学、统计相关专业毕业。2、 精通数据仓库架构及原理，精通数据仓库模型的设计及开发，有实时数据分析经验者优先。3、 逻辑思维清晰，对数据敏感，具备较强的数据分析能力。4、 熟悉Hadoop相关各种开源项目，掌握Hive、Spark、Kafka、Flume等数据处理核心组件；对HDFS、M/R、Yarn的原理有深入了解。5、 熟练使用tableau、superset等软件。6、具备良好的抗压能力，有了解常用数据分析算法相关经验优先。职能类别：BI工程师微信分享
数据分析师,15000.0,10000.0,上海市黄浦区蒙自路757号歌斐中心36楼B03,上海-黄浦区,本科,"做五休二,弹性工作,五险一金,交通补贴,节日福利,餐饮补贴,通讯补贴",1、负责目标平台的信息抓取和分析，提升数据挖掘的效率和质量；2、负责定期维护和优化现有的数据挖掘体系，提高稳定性；3、规范和优化数据的整理、入库、提取分析的流程，提高易用性；4、确立指标体系，制作常规报表，设计报表，点击率、5s完播率、转化率 等等相关的数据分析，但不局限于此；5、针对商业问题，设计合理的数据分析框架和方案，并提供分析所得的意见；6、使用办公软件分析处理数据，得出可靠结果；7、数据报告的分析能够列举出数据问题、趋势、并提供解决方案。任职资格：1、全日制本科学历，硕士优先。1-2年数据分析工作经验；2、熟练使用excel的操作，具备基本数据处理和分析能力；3、能快速理解业务，发掘业务细节和数据之间的联系；4、对数据敏感，具有缜密的逻辑思维能力及优秀的书面总结及口头表达能力；5、责任心强，细致认真，能承受较强的工作压力，热爱数据分析工作。职能类别：数据分析师市场分析/调研人员关键字：数据分析大数据数据处理数据分析师统计数据挖掘微信分享
数据分析师,15000.0,10000.0,梦花街234号9楼近中华路1409号,上海-黄浦区,本科,"带薪年假,五险一金,包吃,绩效奖金,节日福利,专业培训,高温补贴",岗位职责：1、执行运营数据分析，针对流量、用户行为等进行监控和统计，提供流量、转化率、流失率等，用相关工具进行数据提取，分析顾客及市场特征，提供相应的运营建议，增强用户的黏性；2、对所负责项目包括竞争对手、市场细分、产品对比、营销情况等市场信息进行研究分析，为公司提供相关数据支持，能够独立进行前期市场调研；3、参与营销策划过程，以数据为依托制定精准营销流程规范，对线上营销，包括电商、外卖、小程序等（大众点评网、美团网等）进行数据分析和评估，提供数据报表和改善建议，提升营销效果；4、按照品牌策略，定期研究开发新数据报表，完善建立市场、运营端数据的多方面监控体系，对上报的各项数据进行审核，分析汇总，与外部门沟通，优化数据、报表的提取流程及途径；5、负责完成日常的统计分析报表，为其他部门提供数据支持，确保数据提供、报表编制的的准确性、及时性；6、完成上司交予的其他任务。任职要求：1、具有互联网、市场营销项目实施经验，良好的计划管理和需求文档编写经验；2、有相关大众点评网、饿了么等餐饮线上营销及分析经验；3、计算机、数学、统计学、电子商务、财务管理、市场营销等相关专业本科学历及以上；4、能熟练使用OFFICE、SPSS、VISIO、Axure等软件；5、具有良好的沟通、协调能力、判断能力、分析能力，对数据敏感，善于发现和挖掘数据价值，具有较强团队合作精神，富有创新精神；6、愿意与品牌共同成长。职能类别：数据分析师关键字：数据分析大数据数据处理数据挖掘统计数据分析师微信分享
数据分析师,8000.0,6000.0,剑川路955号康博科创大厦9楼,上海-闵行区,本科,"五险一金,员工旅游,专业培训,绩效奖金,年终奖金,定期体检,办公室零食,豪华团建,餐饮补贴",岗位职责：1. 各类排名数据的采集、清理；2. 高等教育数据的采集、清理；3. 数据统计、分析、解读；4. 数据管理与维护。岗位要求：1. 全日制本科及以上学历，理工科优先；2. 熟练掌握Office系列办公软件，Excel的操作达到专业水准；3. 接触过数据工作者优先、有网络数据抓取技术者优先；4. 良好的沟通能力和学习能力，对数字敏感，关注细节；5. 有敬业精神，责任心强；6. 认同创业文化，事业心强。职能类别：数据分析师微信分享
