company_name,max_wages,min_wages,place,place2,education,treatment,requirement
软件测试工程师,10000.0,6000.0,上海市徐汇区漕河泾桂林路396号，中核浦原4号楼102室,上海-徐汇区,大专,"五险一金,员工旅游,年终奖金,定期体检",1，按照测试流程和计划，构建测试环境，设计测试脚本和用例，执行测试脚本和测试用例，寻找Bug；2，分析问题所在并进行准确定位和验证，按照标准格式填写并提交Bug报告；3，跟踪并验证Bug，并确认问题得以解决；4，按照标准格式填写并提交测试报告，编写其他相关文档；5，完成软件开发的集成测试工作；6，完成产品上线前的联测工作。技能经验要求:1，熟练操作计算机，计算机基础知识扎实；2，熟悉常用的软件测试方法、软件工程知识，熟悉面向对象设计的测试工作；3，熟悉常用的软件开发环境，编程工具；4，熟悉常用的数据库操作，SQLServer&Mysql；5，有良好的英语阅读能力，能够阅读英文测试资料。职能类别：软件测试工程师关键字：软件测试微信分享
软件测试工程师,25000.0,15000.0,万创中心,上海-浦东新区,本科,无,"1、熟悉python，shell或者JAVA等一种或多种语言2、能够独立编写oracle数据库的基本增删改查命令3、熟悉linux操作系统以及常用的命令4、熟悉软件开发流程、测试理论，掌握常用的软件测试方法和常见的测试工具；具有根据产品的设计文档，编写完整的产品测试计划和测试方案的能力；5、具有良好的理解力，语言表达力、沟通力和文档编写基础，具有较强的逻辑思维，需求理解能力强""岗位职责1.编写完整的测试方案，执行测试计划，撰写测试用例；2.进行业务系统的功能和性能测试，反馈并跟踪BUG；3.对产品的友好性、易用性等方面提出改进意见；4.出具测试报告和系统上线前测试意见。职能类别：软件测试工程师微信分享"
软件测试工程师,18000.0,12000.0,张江高科技园区牛顿路421号,上海-浦东新区,本科,无,岗位工作内容：1：分析产品需求，制定合理高效的测试计划；2：参与产品评审，能够快速了解需求，跟进项目；3：根据项目需求和计划能够设计和编写测试用例；4：执行测试用例，熟练运用bug管理系统提交和跟踪bug，并善于发现问题5：配合研发人员进行功能调试，以及突发事件的解决；6：根据测试过程编写相关测试报告。岗位要求 ：1：具备良好的技能，有1年以上的web测试工作经验，有接口测试经验；2：工作细心，耐心，有责任心，有较强的沟通能力和团队协作精神；3：学习能力强，熟悉python等脚本；4：能熟练操作linux、sql者优先；5：至少熟悉一种自动化测试工具，能够独立完成自动化测试优先；6：熟悉单元测试、集成测试、系统测试，对功能测试有独到的见解和方法。职能类别：软件测试工程师关键字：软件测试测试测试工程师微信分享
软件测试工程师,24000.0,12000.0,浦明路868弄保利one56,上海-浦东新区,本科,"五险一金,餐饮补贴,通讯补贴,专业培训,年终奖金,定期体检,交通补贴",岗位职责：1.负责金融相关app软件系统测试，包括功能测试，接口测试，性能测试；2.根据项目需求和产品设计，参与需求评审，设计测试用例，执行测试任务，跟踪测试问题；3.参与编写自动化测试脚本，负责具体测试项目的执行（接口、UI自动化等）；4.推进和管理项目进度，保障项目如期上线，质量问题定位，分析和复盘。任职要求：1.计算机、信息技术等相关专业，本科或以上学历，1年以上测试工作经验；2.熟悉软件测试方法和流程，特别是app相关的测试，对JIRA，TestLink等测试管理工具有一定了解；3.有接口测试经验，熟悉接口测试方法，能熟练使用常规接口测试工具；4.熟悉掌握主流编程语言，如Python等，能使用编程语言进行自动化测试脚本开发；5.掌握常用的性能测试方法和工具，如Jmeter等；6.熟悉Linux及常用命令，熟悉MySQL/ORACLE等至少一种数据库，熟练掌握sql语句；7.有金融知识或背景者优先考虑；8.工作踏实，具备优秀的沟通表达能力，强烈的工作责任心和团队合作精神职能类别：软件测试工程师微信分享
软件测试工程师 (MJ000132),12000.0,8000.0,科技绿洲B区24号楼,上海-闵行区,大专,无,岗位职责：1、参与产品测试的全流程，包括参与需求分析、设计评审，制定测试计划，设计和执行测试用例，进行缺陷跟踪和软件质量分析等；2、执行项目测试，包括制定测试计划，分配测试资源，构建测试环境，执行集成测试，回归测试等；3、保证被测系统的质量，并通过测试流程和方法创新，努力提升研发的质量和效率；4、熟练功能测试，有一定的接口、自动化与性能者优先；5、能对自己模块的 BUG 进行分析，进行 BUG 的定位，及潜在的 BUG趋势进行预测；6、能有效把控需求和系统分析质量，提出功能可行性及设计存在的风险；7、有Java开发背景者优先。任职要求：1、大专及以上学历，APP、WEB测试经验一年以上；2、较好的表达能力和问题分析能力，业务理解能力强，思路清晰，逻辑与沟通能力良好；3、抗压能力强，能适应互联网快节奏、加班的工作状态；4、测试工具如fiddler、jmeter、postman能使用熟练备注：互联网龙头企业，团队年轻，公司活动丰富，学习氛围浓厚职能类别：软件测试工程师关键字：软件测试微信分享
软件测试工程师,15000.0,7000.0,徐汇区田州路99号凤凰园,上海-徐汇区,本科,"五险一金,员工旅游,交通补贴,餐饮补贴,出国机会,年终奖金,定期体检",工作内容：1、工程师独立担当职位，在部门主管的领导和监督下定期完成量化的工作要求，并能独立处理和解决所负责的任务；2、设计软件测试用例，组织/执行硬件测试；3、帮助研发人员进行软件测试定位并协助解决；4、跟踪分析测试情况，解决测试过程遇到的问题；5、建立、维护测试工作的相关文档。任职要求：1、本科以上学历，计算机应用、通信、电子、自控类相关专业；有1年以上相关工作经验；2、具有良好的数字电路、模拟电路、通信原理等专业理论基础知识，并具有成功开发/测试的经验；3、熟悉基本的开发/测试仪器，如数字示波器、网络测试仪等；4、熟悉基本的EDA工具，如ORCAD、VIEWDRAW等；5、较好的英语读写能力，具有团队合作精神和责任心；6、熟悉MTK或Qualcom平台，手机，路由器功能性能精通者优先。职能类别：软件测试工程师微信分享
软件测试工程师,15000.0,8000.0,徐汇区南宁路970号李锦记大厦2104单元,上海,本科,"五险一金,定期体检,年终奖金,餐饮补贴",根据产品设计测试规范以及编写测试用例。按照测试方案和用例对产品进行软件测试，并记录跟踪产品的缺陷。协助开发人员定位问题所在，推动测试中发现的问题及时合理地解决。模拟客户实际使用环境，并从用户的角度检查产品是否有缺陷，性能是否完善任职资格：自动化、电子工程或计算机科学本科及以上学历熟悉测试理论和方法，熟悉测试过程，掌握行业流行的测试技术，理解产品的能力较高，以客户眼光对产品进行测试有良好的沟通能力和团队精神有车载软件系统相关测试经验者优先有车联网相关工作经验者优先职能类别：软件测试工程师关键字：测试车载微信分享
软件测试工程师,15000.0,8000.0,静安区延平路121号三和大厦19楼,上海-静安区,大专,"做五休二,带薪年假,五险一金,绩效奖金,节日福利",岗位职责：1. 根据需求文档、设计文档分析测试点、确定测试范围、制定测试策略、编写测试计划；2. 独立负责项目的数据测试、功能测试、界面测试等、控制项目进度、汇报项目情况、减少项目风险、保证项目质量；3. 编写SQL测试脚本及辅助测试工具，提高工作效率；4. 协助定位BUG产生的真正原因、配合开发重现及修复BUG；5. 能独立完成测试任务并对所在项目进行测试过程和测试方法的持续改进。岗位要求：1. 具有1年以上软件测试或开发的相关经验；2. 掌握基本SQL，能熟练进行测试数据的增删改查且能够编写稍复杂的SQL语句；3. 具备较高的质量意识、分析问题和处理问题能力；认真细心，逻辑思维清晰严谨；4. 能独立完成项目测试，优化测试工作、完善测试流程、把握项目进度和质量；5. 有校园类产品测试经验者优先.职能类别：软件测试工程师微信分享
软件测试工程师,15000.0,10000.0,长宁区中山西路1279弄国峰科技大厦10楼,上海,本科,"五险一金,补充医疗保险,员工旅游,年终奖金,出国机会,定期体检,弹性工作,免费午餐",1、根据产品需求、设计等文档，完成测试用例；2、负责测试环境的搭建，执行测试；3、对在测试过程中发现的问题进行分析跟踪，定期汇报项目测试进展情况，并推动问题合理的解决；4、对广电行业产品进行必要的功能、接口、安全、兼容性及压力等方面的测试。任职要求：1、具有较强的学习能力，有音视频测试经验者优先；2、两年以上网络测试相关实际工作经验；4、熟悉常用的软件测试工具和测试方法论；5、具有编写测试计划、测试需求规格、测试用例、测试报告，评审Case的工作经验；6、能快速适应新的工作环境，抗压能力强。职能类别：软件测试工程师微信分享
软件测试工程师,16000.0,10000.0,杨浦区绿地汇方广场宁国路111号15楼,上海-杨浦区,大专,"周末双休,节日福利,专业培训,做五休二,带薪年假,五险一金,绩效奖金",职责描述：1、根据软件需求或设计文档，制定测试方案及测试计划，设计测试用例及测试数据、搭建测试环境和开展测试工作；2、执行功能测试，定位并跟踪缺陷，提交缺陷报告；3、参与需求、设计的讨论，跟进scrum开发全流程；4、能够使用压力测试工具，进行压力测试脚本编写；5、充分理解产品需求，有效控制发布产品的质量及性能；6、把关整个产品开发结果、安全、降低上线风险、保证产品的正常运营；7、测试过程中能使用测试工具提高工作效率；8、掌握安全测试相关技术，保证数据信息的安全。任职要求：1、计算机软件相关专业，3年及以上测试相关工作经验，有物流行业或电商平台工作经验者优先；2、熟悉测试流程，软件测试理论；3、熟练掌握Bugzilla、JIRA、QC等测试、测试管理工具；4、具有编写测试计划、测试需求规格、测试用例、测试报告，评审Case的工作经验，掌握各种测试方法，如功能测试、性能测试、接口测试等；5、熟练Loadrunner、jmeter、appium、PostMan等测试工具的使用，会编写测试脚本程序；6、学习能力强、工作态度端正、服从工作安排、质量意识强、严谨心细、责任心强、审美观高，具有良好的职业素养及团队合作意识。7、有耐心、观察细致、逻辑思维缜密；8、熟悉Linux/Unix操作系统和MySQL/SQLServer等数据库优先9、熟悉J2EE软件架构优先10、了解HTTP/TCP/IP等网络协议、抓包者优先11、有平台、物流、WMS测试经验优先职能类别：软件测试工程师关键字：软件测试测试工程师微信分享
