company_name,max_wages,min_wages,place,place2,education,treatment,requirement
Android开发工程师,13000.0,10000.0,北京海淀区北太平庄文慧园甲12号,北京-海淀区,本科,"五险一金,餐饮补贴,年终奖金,定期体检,通讯补贴","岗位职责1.负责事业部的Android端软件开发及UI优化；2.根据产品需求完成软件实现，并配合测试、运营等其他部门，提供产品相关技术支持；3.参与产品的需求分析及设计讨论。4.负责APP产品架构的改进及性能优化任职要求1.统招本科及以上学历，计算机相关专业（学信网可查）2.2-5年以上项目研发经验，有手机android或IOS APP完整开发经验；3.精通iOS和Android两种平台开发架构，开发接口，开发工具；4.熟悉Android、iOS各组件生命周期，内存溢出、手机兼容性问题，网络通信，多线程等；熟悉Android、iOS各种UI布局和控件，能够熟练自定义UI控件；具备扎实的java、Objective-C语言基础，有独立分析解决问题的能力。5. 对产品有较强的敏感度，追求用户体验技术实现。6. 有解决问题、钻研新技术的兴趣和能力,善于交流和表达,有良好的团队合作精神。职能类别：Android开发工程师关键字：androidIOS微信分享"
Android开发工程师,40000.0,20000.0,中关村软件园互联网创新中心C区108号,北京-海淀区,本科,"五险一金,通讯补贴,绩效奖金,年终奖金","1，参与量子通讯（网络）、密码设备移动端的系统架构设计、新技术调研和编码实现；2，对用户反馈的产品故障进行定位、解决，对疑难问题进行技术攻关；3，负责开发设计等相关文档的撰写、整理。4，负责Android系统Framework框架层的架构设计、服务开发、APP对接。5，负责Android系统Framework问题分析和优化及功能开发工作；6，负责Android系统整体稳定性 (ANR, Crash, 系统重启等问题 )，性能相关工作。7，Bug修复及疑难问题定位。任职要求：1，统招本科以上学历，学信网可查，计算机、数学、通信、电子、信息安全、密码学等相关专业；2，熟悉 Android系统框架， 有3年以上 Android framework开发经验者；3，熟悉掌握 JAVA/C/C++编程语言，有良好的编程习惯；4，熟悉Android的PMS、AMS、WMS、SurfaceFlinger等重要的服务。5，熟悉Android的Binder机制、AIDL机制、系统的启动以及通信机制。6，熟练掌握对称加密、非对称加密的常用算法原理和代码实现；熟悉密码学算法的开源库使用，具有密码学应用相关领域研发经验，精通国密算法SM2/SM3/SM4的优先；7、熟悉TCP/IP协议栈，有密钥、密码、加密相关开发经验；8，熟悉常用的系统debug工具，对黑屏，花屏，冻屏，系统Crash等疑难问题定位有经验者优先；9，有Android系统车机经验者优先，如Audio，Power，CarPlay等功能。10，有加密机、密钥管理（产生、分发、注入、销毁、备份）开发经验者优先；11、熟悉OSPF、RIP等路由协议者优先职能类别：Android开发工程师关键字：android安卓密码密钥加密微信分享"
Android开发工程师,18000.0,12000.0,回龙观龙域北街8号院金域国际中心B座1006-1007,北京-昌平区,本科,"五险一金,餐饮补贴,绩效奖金,快速发展空间,通讯补贴",岗位职责：1、负责公司Android平台产品的技术实现，进行软件需求分析及可行性分析；2、根据产品需求，参与android平台上软件设计、开发与调试等工作；3、对安卓系统有深入了解，有定制安卓系统的能力；4、对安卓应用的用户体验设计有一定经验；5、为产品后期运营提供升级、维护等技术支持的培训，快速定位并修复软件缺陷；6、能够按照项目计划，按时提交高质量的代码，并进行单元测试，完成开发任务；7、根据开发过程中的体验对产品提出改进建议；规范文档编写，能够按照开发流程编写相应模块的设计文档。任职要求：1、一年及以上工作经验，统招本科及以上学历，计算机相关专业优先，热爱软件行业；优先应届生亦可；2、掌握Android知识及开发流程， 一年及以上android平台开发经验优先；3、熟悉Android应用开发框架，对Android平台架构有良好的理解；4、具有较强的理解和学习能力，以及指导激励他人的能力；5、思路清晰，善于思考，有良好的分析和独立解决问题的能力；6、熟悉Kotlin、JetPack优先。职能类别：Android开发工程师关键字：android开发微信分享
Android开发工程师 (职位编号：技术方向-软件开发类-华北-Android开发工程师),,,无,北京,本科,无,1-2020年10月1日至2021年9月30日期间毕业，统招本科及以上学历；2-负责Android移动终端设备应用程序的开发和技术实现，在资源受限的移动终端设备上做精简和高性能的设计，开发面向用户的产品；3-对于创新及解决具有挑战性的问题充满激情；4-热爱编程，基础扎实，理解算法和数据结构相关知识；5-对Android开发有经验者优先。职能类别：Android开发工程师微信分享
Android开发工程师,35000.0,20000.0,霄云路40号院1号楼3层306室,北京-朝阳区,本科,"五险一金,补充医疗保险,餐饮补贴,年终奖金,定期体检,做五休二,带薪年假,通讯补贴",1. 负责iOS或Android的开发、测试、发布、运维；2. 参与需求的评估，合理安排自己的开发任务。3. Flutter等跨端技术研究探索及应用。任职要求：1、本科及以上学历，计算机相关专业毕业。2、具有扎实的编程功底，良好的代码编写习惯。3、能够独立开发iOS或Android平台APP。4、3年及以上APP开发经验。5、有手机炒股软件开发经验者优先考虑。6、掌握Flutter开发、Node.js开发优先考虑。职能类别：Android开发工程师关键字：android安卓安卓开发android开发微信分享
Android开发工程师,15000.0,10000.0,媒体村天畅园8号楼903,北京-朝阳区,本科,无,"岗位描述：1. 完成移动端设计，熟悉手机端开发和调试工作；2. 根据功能需求，定义和优化产品用户体验及交互效果；3. 负责移动端开发制作和维护，配合后台开发人员实现页面、界面相关功能；4. 探索新的技术并改善用户体验；5. 与产品及服务团队紧密合作，制定解决方案；任职要求：1、本科及以上学历，计算机相关专业2、3年以上Android开发经验，能独立开发Android App3、良好的编程风格，扎实的编程和数据结构算法基础4、熟悉Android系统常用组件和主流开发框架的使用5、对Android内存、ui等性能优化有实际经验6、熟悉MVC、MVP、MVVM等设计模式7、ReactNative,flutter,mui,vue至少会其中一种跨平台技术开发及发布8、会小程序开发的优先9、善于沟通合作、能承受工作压力。职能类别：Android开发工程师关键字：android跨平台java安卓微信分享"
Android开发工程师（GIS方向）,12000.0,8000.0,回龙观镇科星西路106号院6号楼1006房间,北京-昌平区,大专,"五险一金,专业培训,绩效奖金","1. 负责Android手机客户端软件的设计和研发;2. 负责根据UI设计图进行Android手机客户端软件的封装;3. 负责根据其他开发组提供的数据接口进行数据交互;4. 负责客户端产品的架构设计,分析和发现系统的优化点;5. 负责软件代码的编写、调试及后期维护;6. 对产品需求进行前期分析,保证模块设计方面正确理解项目需求;7. 按照项目需求进行相关产品的开发工作并保证需求开发的质量;8. 负责软件集成、部署、发布等工作;9. 技术文档编写;任职要求:1、3年以上开发经验，地理信息系统、计算机等相关专业；2、能独立进行开发项目，熟悉手机屏幕适配,能灵活运用常用的三方开发库、LBS、图表引擎等;3、熟练掌握Android的API,理解Android的体系结构,掌握Android中界面绘制、后台运行、数据存储等的原理,熟悉xml、http、TCP/IP协议;4、有安卓平台移动客户端相关的项目开发经验;5、熟悉ArcGIS系列产品的使用，对开源GIS软件有一定了解，熟悉ArcGIS API for JavaScript、OpenLayers等地图开发API；6、有良好的面向对象分析和设计能力，具有良好的学习能力,独立工作能力和解决问题能力;7、具有强烈的工作责任心、有良好的沟通能力和团队合作精神。职能类别：Android开发工程师微信分享"
Android开发工程师,20000.0,10000.0,北京海淀区长春桥路11号万柳亿城中心,北京-海淀区,本科,无,北京合力金智科技发展有限公司（以下简称“合力金智”）成立于2006年10月，注册资金2000万元。致力于提供专业化的系统集成、应用软件、维护服务和咨询服务，为客户提供完善的信息化解决方案。是软件与信息服务专业型公司。我们的上班时间：我们采用弹性工作制度，全天7.5小时工作制！早9：00-9：30上班，晚5：30-6：00下班！我们的薪资福利：五险一金！全体员工旅游（一年国内一年国外）！员工体检！员工聚餐！免费水果！交通补助！通讯补助！薪资主要看能力，可以达到行业综合偏上水平！工资：10000-20000（试用期三个月80%）+交通补助100-250每月（试用期100，转正250）薪资范围根据中高级工程师实际面试情况而定我们的人文环境：老板、领导没架子！这个是真没有！葛啬的人我们不要！我们不需要勾心斗角的竞争！舒服才是最重要！下边说正事儿！职位描述：1、负责安卓应用的设计、开发，以及技术路线规划；2、参加研发过程管理和进度管理，与产品、测试等部门协作沟通；3、负责安卓开发团队建设及技能提升；4、优化安卓团队的开发方式及协作流程，制定开发标准及规范。任职要求：1、计算机软件及相关专业本科或以上学历；2、精通Java，熟悉Android Studio框架，三年以上安卓手机开发经验；3、具有良好的编程习惯和文档编写能力；4、积极主动，具有强烈的责任心与团队合作精神，善于沟通合作，具备政府行业手机应用开发经验优先。职能类别：移动开发工程师关键字：Android安卓软件开发APP开发微信分享
Android开发工程师,20000.0,15000.0,北京海淀区信息路,北京-海淀区,本科,"五险一金,员工旅游,交通补贴,年终奖金,绩效奖金,专业培训,通讯补贴,定期体检,降温补贴,取暖补贴",1、负责Android端原生APP开发逸代维护工作，对整体应用的性能及框架进行改进和优选；2、5年以上Android开发经验，扎实的java开发基础；3、熟悉常用的设计模式，熟悉测试工具；4、熟悉使用各种Android UI 布局，熟悉不同分辨率适配，熟悉多线程等操作;5、有多个完整的Android开发项目经验.职能类别：Android开发工程师微信分享
Android开发工程师,30000.0,25000.0,海淀区丰豪东路9号院2号楼A座,北京-海淀区,大专,"五险一金,免费班车,定期体检,弹性工作,绩效奖金",工作职责1. 负责车机应用的客户端设计和开发。2. 负责驾驶相关功能SDK的设计和开发。3. 根据产品、系统和软件需求进行软件方案设计、软件开发、单元测试等工作。4. 在产品研发过程中，负责遇到的技术难点分析和解决。5. 撰写相关文档。工作要求1. 有3年及以上安卓开发经验，有高可扩展性SDK开发经验。2. 具备扎实的Java基础，良好的面向对象编程思想。3. 熟悉常用的数据结构和算法。4. 熟悉设计模式，在实际开发中使用过多种，熟悉Android常用的架构。5. 熟练使用git，jira等工具。熟练使用Linux、Android命令行工具。6. 有C/C++语言基础，有JNI开发经验。7. 有良好的产品意识，积极乐观，认真负责，乐于协作。8. 计算机相关专业，本科及以上学历。加分项：1. 熟悉计算机图形学基本原理，有3D编程经验者加分。2. 有性能优化经验者加分。3. 有音频视频开发经验者加分。职能类别：Android开发工程师关键字：android安卓开发android开发微信分享
