,company_name,max_wages,min_wages,place,place2,education,treatment,requirement
0,Web前端开发工程师,0.0,0.0,高碑店文化新大街印象里文创园C座（通力大楼）,北京-朝阳区,本科,"五险一金,补充医疗保险,餐饮补贴,通讯补贴,弹性工作,定期体检,年终奖金,专业培训,绩效奖金,周末双休",注意本岗位可base全国，出差比例约50%，不能接受出差者请勿投递【岗位职责】1、负责自研产品前端项目的开发编码；2、与后端开发人员配合，高质量地完成地WEB前端工作；3、参与前端组件等基础设施的开发和完善。【任职要求】1、本科及以上学历，计算机或软件工程相关专业优先；2、熟悉CSS，HTML，可快速制作HTML页面；3、熟悉原生JavaScript，熟悉 jQuery 框架；4、熟悉常见的浏览器的特点和限制；5、具备良好的学习能力、沟通能力、解决问题能力，优秀的团队协作精神。职能类别：Web前端开发关键字：CSSHTMLJavaScriptjQueryWEB前端微信分享
1,Web前端开发工程师,0.0,0.0,海淀区上地街道金隅嘉华大厦F座1008室,北京-海淀区,本科,"五险一金,员工旅游,弹性工作,股票期权,年终奖金,绩效奖金,定期体检",岗位职责：1. 参与ERP产品Web端前期的规划构思，完善产品概念，参与原型策划与设计；2. 负责前端技术前端技术方案的选型、设计、系统搭建与应用发布工作；3.负责前端技术标准、规范的制定、推动、执行和新技术的研究；4. 负责与后端开发研讨技术实现方案，制定服务接口；5. 负责产品前端框架的研发和迭代；6. 负责对各种浏览器的兼容优化，IE需支持IE8及以上。任职要求：1. 精通HTML/HTML5、CSS，熟悉页面架构和布局，对Web标准和标签语义化有深入理解；熟练掌握Javascript、Ajax、Dom等前端技术；2. 能够独立担当前端技术方案的选型、设计、系统搭建与应用发布工作；3. 熟练使用VUE.js（2年以上）；4. 熟练使用至少一种UI框架，如LayUI、ElementUI、Bootstrap等；5. 有Ace、Metro等前端UI使用经验者优先；6. 有Web插件库扩展经验者优先，如JqueryUI、EasyUI、ExtJS等；7. 有Hybrid APP开发经验的优先考虑，如PhoneGap、Ionic、DCloud、NativesScript、ReactNative、Weex、JSPatch；8. 热爱前端，对新鲜事物充满好奇心，能折腾捣鼓各种互联网新鲜框架；能和设计师谈产品设计，和后端开发研讨技术实现方案，制定服务接口，崇尚团队合作。***学历必须为统招本科以上，学信网可查的学历。职能类别：高级软件工程师软件工程师微信分享
2,WEB前端开发工程师,0.0,0.0,无,北京,本科,无,1、负责公司云化工具平台的前端开发工作；2、负责平台协同门户前端开发工作；3、负责工具云化UI插件等界面设计和开发；4、与后端工程师协作，高效完成产品的数据交互、动态信息展现。岗位要求：1.全日制大学本科及以上，计算机、软件工程相关专业，3年以上java开发经验；2.熟练掌握TypeScript 、JavaScript(ES6）、HTML 、CSS、CSS3；3.熟悉并掌握至少一种MVVM框架，如: Vue、React、Angular；4.了解前端依赖注入技术，有相关经验，熟悉前端工程化和相关构建打包工具，如：webpack、Vue CLI、Babel、ESlint；5.具备基于文本需求，开展原型设计的能力，熟悉Axure RP等工具；6.具备良好的设计和编码能力，符合编码规范，代码质量较高；7.具有良好的沟通能力、总结能力和独立解决问题的能力；8.熟悉 IDE 框架底层实现原理，具有 IDE 深度改造的能力，具有 IDE 框架开发的经验优先，例如（快应用 IDE、cloud studio 等）；9．有 vscode 插件开发经验优先。职能类别：Web前端开发关键字：ES6HTMLCSSWeb前端TypescriptAngularJS微信分享
3,Web前端开发工程师,0.0,0.0,金泰国际大厦A306,北京-朝阳区,无,"五险一金,年终奖金,专业培训",职位关键词：HTML5，移动端，Web前端岗位职责：1、参与项目相关部分需求分析，负责前端系统架构设计；2、负责PC、H5、小程序和App相关产品前端开发工作；3、配合后端开发人员完成数据交互，动态信息展现等工作；任职要求：1、计算机相关专业专科及以上学历，毕业满2年且具有2年及以上前端实际开发经验；2、熟练掌握移动端H5开发、熟悉主流移动浏览器的技术特点；3、熟练运用JavaScript语言与HTML5、CSS3等技术，Web前端基础功底较为扎实；4、掌握前后端分离开发技术Vue及全家桶；5、熟练使用各种调试、抓包工具，能独立分析、解决和归纳问题；6、具有性能优化经验；7、具备良好的编码习惯，有一定的文档能力。8、有uniapp项目开发经验优先。职能类别：Web前端开发关键字：java前端开发web软件工程师HTML5微信分享
4,Web前端开发工程师,0.0,0.0,东北旺中关村软件园孵化器2号楼2220室,北京-海淀区,大专,"五险一金,补充医疗保险,定期体检,探亲假","技能要求：HTML5，前端架构岗位职责：1、依据产品需求和设计方案完成PC端和移动端的开发工作；2、参与产品需求文档及设计文档的编制；3、与后台的统一接口进行交互，处理异常情况并保证数据安全及准确性；4、适配不同的浏览器类型和移动端屏幕的分辨率，保证体验的一致性和呈现的清晰度；5、调整元素载入顺序，优化加载速度，提高用户体验。任职要求：1、计算机及相关专业本科以上学历，2年以上前端开发经验；2、熟练掌握HTML/HTML5，CSS/CSS3等页面制作技术；3、精通html5、css、javascript、nodejs等前端开发技术，精通vue、jquery、angularjs、bootstrap等常用前端框架；熟悉 ES6 语法,能编程实现各种体验良好的页面交互效果；4、精通Echarts使用；5、具备良好的沟通能力、执行力以及团队协作精神；6、了解微信公众号、小程序开发，有相关开发经验者优先录用；7、熟练使用Photoshop等工具进行UI设计者优先；8、能熟练使用Hbuilder进行uni-app开发者优先。职能类别：Web前端开发微信分享"
5,Web前端开发工程师,0.0,0.0,北京市海淀区清河永泰园甲1号建金中心3层,北京-海淀区,本科,"五险一金,餐饮补贴,通讯补贴,年终奖金","1、产品WEB前端开发；2、配合UI实现交互效果，配合后台工程师完成应用开发；3、设计并实现用户产品的交互，提高网页性能和用户体验；4、设计开发通用组件，优化工作流程，提高开发效率。岗位要求:1.本科以上学历，三年以上前端开发经验，独立负责过3个以上项目。2.精通HTML,cSS, JavaScript等Web标准,熟悉HTML5/CSs3等Web前端技术，有NodeJs开发经验优先。3.熟练掌握CSS及在各类主流浏览器上的差异,有可视化大屏开发经验优先。4.熟练使用React（以React 为主）、Vue，有jquery 及原生js开发经验优先。5.熟悉 Echarts、G6、Leaflet 等常用第三方js库的优先。6.熟悉响应式设计,交互设计,有实际开发页面处理经验。7.对待工作有较强的责任心，具备一定的抗压能力。8.有良好的沟通能力和团队协同能力，有优秀的分析问题和解决问题的能力，有带团队经验的优先。职能类别：Web前端开发微信分享"
6,Web前端开发工程师,0.0,0.0,海淀区阜成路115号北京印象2号楼2门120,北京-海淀区,本科,"五险一金,补充医疗保险,员工旅游,年终奖金,绩效奖金,餐饮补贴,弹性工作,定期体检","1、根据公司产品发展方向，负责WEB前端开发；2、负责和后台工程师一起研讨技术实现方案，制定服务接口等；3、负责前端核心模块的开发及技术难题的攻克。任职要求：1、本科1年以上工作经验;2、会做界面以及界面美化，有一定经验或者实习经验；3、熟识Web应用开发的基本规则，有较强的应用设计能力，具备一定项目管理与互联网公司从业经验优先录取；4、熟悉ASP.NET/Silverlight、MVC架构等相关技术，能独立开发web程序或中大型网站系统，熟悉叁层架构；5、具备一定的前端编程能力，熟悉 VUE，JS，jQuery，EasyUI/Extjs，DIV+CSS。6、掌握WEB编程相关知识，例如：JavaScript、CSS、Html5、XML、HTTP协议、w3c规范等；7、精通SOA架构，RESTful webservice, 精通WCF，熟悉ORM框架，熟练使用Ado.net Entity Framework.；8、解常见WEB程序漏洞和防范技术，有良好的代码编程习惯及较强的文档编写能力；9、熟悉数据库的性能管理及优化，具有一定的数据库规划能力。职能类别：Web前端开发关键字：web、vue、js微信分享"
7,Web前端开发工程师,0.0,0.0,大柳树北,北京-海淀区,大专,"五险一金,周末双休","岗位职责：1.负责或参与WEB端产品的前端页面开发；2.根据产品需求，分析并给出最优的页面前端结构解决方案并完成效果实现；3.负责前端页面开发制作和维护，配合后台开发人员实现页面，界面相关功能；4.根据功能需求，定义和优化产品用户体验及交互效果。任职要求：1.3年以上WEB端开发经验，具备熟练的移动端开发经验；2.前端基础扎实，熟悉Html5和Css3新特性，能独立开发常用组件；3.理解并掌握Javascript语言核心技术,如：DOM、BOM、Ajax、JSON等；4.熟练使用Jquery框架，VUE、AngularJS等MVVM框架，有MVVM框架线上项目经验，有wexx开发经验者优先；5.熟悉前端自动化工具，如webpack等；6.能够手写符合W3C标准、兼容多种浏览器的前端页面代码；7.良好的编码习惯，良好的沟通与表达能力，思路清晰，业务逻辑理解与分析能力强。职能类别：Web前端开发关键字：web微信分享"
8,Web前端开发工程师,0.0,0.0,中关村软件园互联网创新中心C区108号,北京-海淀区,本科,"五险一金,通讯补贴,绩效奖金,年终奖金",1.负责与产品需求和设计团队，开发架构团队，测试团队的密切配合，完成前端框架设计和技术实现方案；2.负责按照各类需求文档和设计文档，完成前端代码开发；3.负责PC端及移动端的代码编写及优化；4.负责与测试团队的密切配合，按照BUG的SLA完成BUG的修复和提交；5.遵循并参与项目开发规范和开发流程；6.负责创建用户友好、符合标准、跨浏览器的应用，促进产品易用性改进和界面技术优化。任职要求：1.统招本科及以上学历，学信网可查；3年及以上前端开发经验；2.精通HTML、CSS、JavaScript等Web前端开发技术；3.熟练应用HTML5、CSS3，一年以上相关开发经验；4.熟悉Web2.0标准，熟悉Ajax、DOM、XML、JSON等相关技术；5.熟悉常见JS开发框架，如Angular，Vue，React等；6.熟悉移动端和PC端web实现的差异，有实际移动平台web前端开发经验，了解移动互联网产品和行业；7.至少熟悉一种数据库，如MySQL，Oracle，SQLServer等；8.有SNMP协议开发经历者优先；9.具备Mobile Web开发经验者优先；具备美术功底者优先。职能类别：Web前端开发关键字：前端开发微信分享
9,Web前端开发工程师,0.0,0.0,北京市丰台区丰管路16号9号楼 西国贸大厦 5A层021室,北京-丰台区,大专,"五险一金,绩效奖金,年终奖金,股票期权,出国机会,员工旅游,专业培训,提供住宿",一、工作职责：1，快速学习和理解业务系统的逻辑功能及需求；2，负责系统的开发、技术讨论以及单体测试工作；3，参与系统的设计；参与数据库设计以及对数据库相关的技术开发工作；4，定期向项目组长汇报工作进度，积极反馈和提出项目中遇到的问题；5，完成项目领导要求的其他工作。二、任职要求：1，大专及以上学历；2年以上工作经验；条件优秀者可接受实习生；2，熟练使用.Net MVC、ASP.net框架设计和开发；3，熟练使用SQLServer、Oracle等数据库配置、部署、优化；熟练使用存储过程、视图、索引；4，熟练使用 Git、svn 版本管理工具；5，熟练使用HTML、Javascript、JQuery、Ajax等表现层技术；6，有Bootstrap、VUE等互联网开发框架的工作经验；7，能够快速了解业务人员提出的需求和提出解决方案的能力。具备高效的执行力，良好的沟通协调能力。语音表达能力强，思维清晰，逻辑性；具备较强的独立分析问题和解决问题的能力；8，对工作积极，有责任心，性格开朗，心态平和，有团队意识；具备较强的抗压能力。三、加分项：1，有医疗行业从业经验；2，有2年以上项目管理经验。职能类别：Web前端开发关键字：net前端开发web前端软件工程师微信分享
