company_name,max_wages,min_wages,place,place2,education,treatment,requirement
ios高级开发工程师,25000.0,18000.0,黑泉路8号宝盛广场B座,北京-海淀区,大专,"周末双休,五险一金,补充医疗保险,员工旅游,定期体检,绩效奖金,年终奖金,节假日福利,带薪年假",职位描述：1、开发迭代公司自有的App产品，非外包2、与开发组其他成员和测试人员协作开发3、不断学习使用合适的新技术以满足团队和业务发展的需要任职要求：1，3-5年iOS开发经验，有已在Appstore上线的App产品2，熟练掌握Objective-C或Swift3，对iOS系统工作原理有较深理解，具备较强的开发，调试，性能优化等能力4，具有强烈的责任感和团队精神，善于沟通和协作，执行力强公司成立于2016年，专注于移动应用的开发，在移动端领域广泛涉猎，旗下有多款独立运营开发APP，用户群体持续稳定增长，不断寻找移动端领域的新可能。公司自成立以来持续向上发展，运营稳定，团队主管均具有大企业10年以上工作管理经验，团队技术实力雄厚，在技术领域坚持研究和探索。公司重视员工自身成长与发展，始终坚持公司与员工共同发展的理念，与员工分享公司发展的带来的红利，在谈梦想前，尽可能的为员工提供更多的福利和物质保障。团队氛围年轻开放融洽，我们欢迎有朝气 有理想 有责任感 有协作精神的你加入我们。公司地址：北京市海淀区黑泉路8号宝盛广场职能类别：iOS开发工程师关键字：iosios开发软件工程师app微信分享
iOS开发工程师,30000.0,25000.0,国贸金地中心,北京-朝阳区,本科,"专业培训,年终奖金,五险一金,餐饮补贴,定期体检,绩效奖金,员工旅游",职位要求：1. 2年以上iOS开发经验，掌握Swift/Object-c语言2.掌握面向对象的设计和相关设计模式，熟悉iOS操作系统框架和SDK3.有企业级ToC移动应用开发经验4.有过Android项目开发经验或Web/Node.JS开发经验优先职能类别：iOS开发工程师微信分享
iOS开发工程师,15000.0,10000.0,北京市朝阳区来广营容和路1号叶青大厦北园4层416室,北京-朝阳区,本科,"年终奖金,绩效奖金,五险一金,员工旅游",1、依据需求，负责业务产品的定制化开发、单元测试、交叉测试、代码走查、文档编写等日常开发工作。2、参与需求、概设评审及业务方案的设计并能给出自己的建议。3、编制项目相关的各类技术文档，完成团队内知识传递。4、独立负责生产版本代码某模块功能的重构和提升。岗位要求：1、熟悉IOS App消息运行原理和内存管理机制；2、熟悉IOS相关界面、网络、数据库、多线程、异步调用、并发处理等开发技术；3、熟悉IOS相关框架和三方组件的使用方法及IOS相关单元测试技术；4、参与开发过至少1款成熟的客户端产品，有成功经验者优先；5、有SDK开发相关经验优先;职能类别：iOS开发工程师关键字：ios微信分享
iOS开发工程师 (职位编号：技术方向-软件开发类-华北-iOS开发工程师),,,无,北京,本科,无,1-2020年10月1日至2021年9月30日期间毕业，统招本科及以上学历；2-负责iOS移动终端设备应用程序的开发和技术实现，在资源受限的移动终端设备上做精简和高性能的设计，开发面向用户的产品；3-对于创新及解决具有挑战性的问题充满激情；4-热爱编程，基础扎实，理解算法和数据结构相关知识；5-对iOS开发有经验者优先。职能类别：iOS开发工程师微信分享
iOS开发工程师,20000.0,12000.0,广渠门外冠城名敦道4号楼1203室 已读,北京-东城区,本科,"五险一金,补充医疗保险,员工旅游,股票期权,年终奖金,定期体检,专业培训","1.参与iOS等手机平台软件开发2.按需求完成界面，逻辑功能，网络通信等设计开发工作3.负责产品的优化和改进4.负责相关文档和技术资料的编写5.领导安排的其他工作任职资格：1.计算机等相关专业本科及以上学历，数据结构等基础知识掌握牢固2.三年以上 iOS 软件开发经验，有独立开发能力3.精通 Objective-C，Mac OS ，Xcode4.有完整的iOS项目经验，至少参加过一个完整的商业级手机应用或个人发布过较受关注的App5.思维敏捷,，有较强的创新意识与责任感，较好的沟通表达能力,严谨的工作态度和较高的团队合作精神6.熟悉前端，小程序等相关技术者优先上班地址：北京市东城区广渠门外冠城名敦道4号楼1203室职能类别：iOS开发工程师微信分享"
iOS开发工程师,20000.0,10000.0,北辰泰岳,北京-朝阳区,本科,无,"工作职责:1、负责相关业务iOS客户端的研发工作，包括需求沟通、功能设计及开发等；2、能沟通承担iOS客户端的架构设计及模块重构；3、同产品、测试、运营进行密切沟通，提出合理的解决方案；任职资格:1、本科及以上学历，计算机软件相关专业；2、3年及以上iOS开发经验；3、精通0bjective-C、 Swift 等iOS相关技术栈，熟悉MVC等设计模式，熟悉CocoaPods等 工具框架;4、熟悉i0S开发技术和各i0S版本特点，能熟练使用i0S开发及测试工具;5、具备大型应用的架构设计能力及实战经验,有Flutter或者RN，uni-app等混合开发经验优先；6、积极乐观、责任心强、有良好的团队沟通能力；职能类别：iOS开发工程师微信分享"
SH-EB-IOS开发工程师,25000.0,20000.0,建国路91号金地中心A座,北京-朝阳区,本科,"五险一金,补充医疗保险,年终奖金,专业培训,定期体检,弹性工作",1. 本科及以上学历，计算机相关专业2. 2年以上iOS开发经验，掌握Swift语言3. 掌握面向对象的设计和相关设计模式，熟悉iOS操作系统框架和SDK4.有企业级ToC移动应用开发经验5.有过Android项目开发经验或Web/Node.JS开发经验优先6.英文读写熟练，擅长听说可优先职能类别：iOS开发工程师关键字：iosswiftAndroid微信分享
iOS中级开发工程师,14000.0,10000.0,北京市朝阳区北苑路5号黄金苑3号楼101,北京-朝阳区,本科,"做五休二,交通补贴,定期体检,年终奖金,工作居住证,包住,全额五险一金,季度奖金","1.精通Objective-C/C/Swift编程语言，有良好的面向对象编程思想，熟悉常用的设计模式了解其原理并能灵活运用；2.参与过移动平台软件框架研究, 设计和实现；3.熟悉iOS框架及各种特性, 熟练使用iOS 各种UI组件并了解其内部原理；4.做过内存优化/性能优化相关，会使用Instrments内存检测工具；5.熟悉使用Git, Svn相关操作(会使用终端操作者优先)；6.精通常用软件架构模式, 熟悉各种常用算法与数据结构；7.熟悉苹果AppStore的App上下架流程及要求，包括配置真机测试的测试证书及发布证书等；8.需要使用swift开发过项目,并对swift语言达到熟练掌握得程度；9.掌握常见数据结构和算法, 需要对ios中常用数据结构底层实现有一定了解。任职要求：1.大学本科及以上学历，计算机、电子信息类等理工科相关专业优先，三年及以上ios开发经验；2.需要有大型项目的代码重构优化经验；3.做过小说阅读类APP的优先考虑；4.有大型项目开发经验的优先考虑；5.英语4级以上优先；6.身体健康，工作时间不抽烟。职能类别：iOS开发工程师关键字：ios软件开发ios开发app微信分享"
iOS开发工程师,40000.0,20000.0,北京市朝阳区崔各庄东辛店339号 理想汽车研发中心A座,北京-朝阳区,本科,"五险一金,弹性工作,定期体检,专业培训,公司前景好,领导有魅力,现代化办公,工作环境好,福利待遇好",岗位职责：负责业务开发、核心模块开发优化、通用工具研发；负责iPhone&iPad上App设计、开发、上线和运行跟踪；参与产品设计、产品技术规范制定、技术文档编写。任职资格：本科或以上学历，计算机、通信、自动化、电子工程专业优先；3年以上iOS开发经验，有作为核心工程师完整开发过iOS应用或平台的经验；精通iOS开发平台的框架原理，深入了解iOS软件架构，熟练使用iOS SDK；扎实的Object-C基础，熟悉Swift编程；掌握面向对象设计以及常用的设计模式；熟悉常用算法和数据结构，有并发编程经验；熟悉TCP、HTTP1.1/2等常用网络协议以及至少研究过一种开源实现；对混合式开发有一定的经验，熟悉H5/C3/JS技术；有IOT、BLE、蓝牙等技术实践经验；熟练阅读英文技术文档，并有良好的记录、撰写技术文档习惯；具有较强质量意识、安全意识、自动化工作意识；善与人沟通、责任心强、具有团队合作精神。职能类别：iOS开发工程师关键字：IOS微信分享
高级/资深iOS开发工程师,30000.0,25000.0,东北旺路尚东数字山谷,北京-海淀区,本科,"五险一金,补充医疗保险,免费班车,餐饮补贴,年终奖金,绩效奖金",工作职责：1、 负责业务需求的推进和落地； 2、主导团队技术发展， 合理规划技术架构，通过技术建设，更好地支撑业务发展； 3、负责日常团队管理，梯队建设，指导团队成员成长。任职资格： 1、本科或以上学历，计算机或相关专业；（对GCD的多任务调度有实战经验，还有线程池如何） 2、五年以上iOS开发经验； 3、精通Objective-c/Swift，深入理解Runtime及内存管理机制； 4、精通 iOS 平台应用开发，了解 C++，有 Objective-C/C++ 混合编程经验； 5、有多个完整的 iOS 项目经验，至少参加过一个完整的商业级手机应用项目的技术框架搭建、关键技术选型工作； 6、精通常用软件架构模式，熟悉各种算法与数据结构，多线程，网络编程（tcp/udp）等； 7、熟悉 HTTP2/QUIC 等网络协议有加分； 8、要求有良好架构思维者优先; 9、有一定团队管理经验。职能类别：iOS开发工程师微信分享
