company_name,max_wages,min_wages,place,place2,education,treatment,requirement
数据分析师 (职位编号：6975767049340258590),25000.0,15000.0,学清路10号院1号楼学清嘉创大厦B座1层,北京,本科,"下午茶,健身瑜伽,六险一金,股票期权,团队氛围好,晋升空间大,带薪休假,扁平管理,用户过亿,大牛带队",职位描述：1、基于深度思考，推动培训部各项分析指标体系建设和优化；2、整体培训学习指标体系的建立和多方数据的分析，为管理运营提供决策建议；3、搭建随业务发展不断深化的数据可视化系统，监控培训项目管理情况，提升风险发现能力；4、基于专业分析方法或基础模型能力，提供专业决策，输出结果并推动落地。职位要求：1、5年互联网工作经验，数学、统计学、金融工程等数据相关专业优先；2、对数据敏感，有结构化思维能力和很强的学习能力，能够快速理解业务并制定合理的分析方案；3、熟练使用SQL语言，掌握基本统计学知识；熟悉Python、常见机器学习算法，具有模型搭建经验者优先；4、具备优秀的抗压能力、自我驱动能力、沟通能力及跨团队沟通协作能力。职能类别：网站运营专员微信分享
数据分析师,25000.0,29166.0,光华路15号铜牛国际大厦601,北京-朝阳区,硕士,五险一金,岗位职责：收集和研究产业发展现状及趋势；组织开展调研和数据收集；策划并主持企业评价研究项目；参与团体标准、行研报告、企业评价报告的组织起草及文本撰写；参与信用评级；参与咨询、规划等政府或企事业单位委托课题项目。岗位要求：经济管理类全日制硕士及以上，同业工作5年以上经验。有较强的的写作能力和研究能力，曾作为主笔人撰写过行业研究报告；有团体标准编制经验者优先；有企业榜单测评或高新企业认证类企业评价项目工作经验者优先；理解大数据理念，且具有大数据公司研究岗位工作经验5年以上者；掌握并能够运用经济学相关数理统计方法；掌握相关数据分析软件能够进行数据统计和分析；工作踏实认真，责任心强，有团队协作精神；具有较强的沟通协调能力。职能类别：数据分析师关键字：数据分析行业数据企业数据微信分享
数据分析师,15000.0,10000.0,朝阳北路225号京龙大厦6层,北京-朝阳区,本科,"带薪年假,五险一金,绩效奖金,节日福利,周末双休,补充医疗保险,餐饮补贴,年终奖金,弹性工作,通讯补贴","岗位描述：1、负责公司运营数据收集、整理、加工和分析工作，对各类分析任务中发现的问题，进行跟踪、定位、并撰写报告；包括但不限于周报，月报，等数字，图表，文字类报表。2、负责定期做数据监控分析，从经营纬度、产品纬度、客户纬度对整体的业务进行分析，及时发现问题进行预警，并提出解决办法；3、负责对现有业务数据进行梳理汇总和跟踪监控，建立日常跟踪监控体系，及时敏锐的发现业务数据变化趋势；4、负责数据支持、分析报告建议、问题解决方案；对重要节点或特殊节点业务消耗的变化进行专门的研究并形成分析报告；包括但不限于统计图表，SWOT，SMART，图表分析等。5、构建各种分析和预测模型，通过跟踪和监控重点数据, 发现潜在的缺陷与机会,为业务决策提供数据支撑。6、负责商务运营相关、日常部门支撑等工作。职位要求：1、本科及以上学历；2、有电商或互联网数据分析经验，数据化运营经验，互联网广告等相关经验优先；2、有财务经验优先；4、良好的数据敏感度，能从海量数据中提炼核心结果，有丰富的数据挖掘，信息采集整理，分析能力，撰写报告能力；5、熟练独立编写商业数据分析报告，及时发现和分析其中隐含的变化和问题；6、熟练使用EXCEL, 制作PPT，有SQL或其它数据分析工具的应用能力优先；7、有丰富的跨团队、部门的项目资源整合能力，能够独立开展项目，有较强的逻辑思维能力及抗压能力职能类别：数据分析师关键字：数据分析数据处理数据挖掘统计数据分析师微信分享"
风控数据分析师,25000.0,20000.0,北京市西城区西绒线胡同51号霱公府,北京-西城区,本科,"五险一金,餐饮补贴,通讯补贴,定期体检",应聘条件：1、本科及以上学历，理工科背景优先；2、1年以上风控策略\模型经验，有线上信用贷策略经验者优先；3、Python/R、SQL代码能力熟练；4、良好的数据敏感度以及逻辑思维能力；5、有一定抗压能力，可适应较高的工作强度。工作职责：1、 负责特定渠道的线上信用审批策略的制定；2、 负责风险数据集市的日常维护工作；3、 评估线上三方数据的实际效果，并能及时提出优化方案；4、 结合项目整体收益情况，跨部门沟通，提出优化方案职能类别：数据建模工程师关键字：数据数据处理数据分析师sql微信分享
数据分析师,20000.0,13000.0,丰台广安路国投财富广场,北京,本科,"五险一金,弹性工作,定期体检,大牛大队,晋升机制,带薪年假,周末双休",职位描述岗位职责：该职位需要驻场国家电网（丰台广安路）请仔细阅读1.负责深入挖掘光伏数据价值，针对具体项目内容进行数据建模、数据分析和研究。2.出具专题研究报告，如行研报告、可行性研究报告等。3.负责业务系统各类周报、月报、年报数据的统计分析。任职资格：1.电力、数学、计算机相关专业，本科以上学历，3年以上工作经验，具备扎实的数学知识及算法基础，新能源及相关专业优先；2.具有新能源项目方案制定、项目实施经验、研究报告撰写经验优先；3. python/java/R/SPSS语言等至少一种常用算法的实法；4.有电力/工业大数据应用场景设计、电力/大数据算法开发、预测性维护等业务经验者优先。职能类别：数据分析师微信分享
数据分析师,11666.0,12500.0,北三环西路32号恒润国际大厦,北京-海淀区,本科,"五险一金,交通补贴,餐饮补贴,通讯补贴",一、岗位描述：1. 负责业务数据分析，有能力针对产品及内外部用户，在海量数据中进行特征提取与分析；2. 配合产品或业务对内外部用户数据进行深度分析与挖掘，提供数据支撑，并持续优化分析系统；3. 能独立完成业务数据建模，并将结果转化为运营目标；4. 完善数据报表体系，及时准确监控数据运营状况，并提供专业分析报告。5. 关注产品日常运营数据报表，从数据出发给业务部门提出相应的优化建议。6. 推动内外部用户与业务及经营数据的融合，通过用户指标、跨部门数据合作等不断推进内外部用户进行数据应用。二、任职要求：1. 本科学历，数据、统计学、计算机相关专业；2. 具有2年以上数据分析工作经验；3. 掌握SQL等数据库技术，能力独立编写MySQL、Oracle等数据库存储过程以及SQL调优，精通海量数据处理；4. 熟悉主流的数据分析方法（回归分析、关联分析、预测分析等）及数据统计模型；5. 熟悉并热衷于互联网产品，对业务有敏锐的观察力和数据洞见；6. 较强的书面及口头表达能力，较强的自主学习能力，乐于接受挑战；7. 极强的责任心及团队合作精神，并能承受一定的工作压力。职能类别：数据分析师关键字：数据分析师微信分享
数据分析师,15000.0,10000.0,北京东城区新保利大厦,北京-东城区,本科,"绩效奖金,补充医疗保险,定期体检,五险一金,员工旅游,专业培训","职位描述：1, 通过数据分析、调研等手段，解决业务问题，根据资源及项目目标，确定解决方案并推进实现2，对业务数据需求进行支撑，与数据应用团队对接，对需求做梳理、分析和反馈。3，负责业务数据指标及口径的梳理，完善统计分析框架（包括报表体系、专题分析体系、数据指标体系等），定期提交分析报告；4，支持产品、运营、BD等临时数据问题和数据提取需求。职位要求:1，数学、统计学、计算机软件等相关专业本科或以上学历，从事数据分析职位1年以上；2，熟练使用 tableau进行数据统计分析。3，熟悉Python 及 SQL语言；掌握相关的数据分析工具。4，熟悉自然语言处理NLP，了解常见的数据挖掘算法；5，具有良好的团队协作能力、语言表达能力，客观严谨的态度；6，主动性强，有较强的责任心，积极向上的工作态度，优秀的团队合作精神。职能类别：数据库工程师(DBA)微信分享"
数据分析师（应届生） (职位编号：UEC001162),12000.0,7000.0,酒仙桥北路甲10号院106号楼荣联科技大厦,北京-朝阳区,本科,"五险一金,补充医疗保险,通讯补贴,周末双休,定期体检",岗位职责:1、负责用户需求分析，能够将用户笼统的数据分析需求转化为BI开发需求；2、负责设计和编写BI 解决方案文档，包括后台数据库模型和前台展示页面DEMO；3、与客户及团队内部进行有效沟通，跟进项目进度，解决相关数据问题。任职资格:1、本科/硕士应届毕业生，计算机专业、数学或统计专业、数据科学专业优先；2、有一定的SQL、Tableau等BI工具的使用经验；3、有较强的数据分析、处理的能力，以及良好的表达沟通能力。职能类别：数据分析师微信分享
数据分析师,50000.0,40000.0,四季青西冉村398号,北京-海淀区,本科,"五险一金,周末双休,专业培训,年终奖金,带薪年假,免费停车",岗位职责：负责建模，对数据进行建模、分析和挖掘具体负责智能产品中核心数据模型开发，包括需求分析、数据分析、业务建模、数据加载、数据输出的开发过程。要求：1、能够快速理解客户需求，并准确、快速地转换为系统设计；2、根据业务需求和项目目标，独立设计出相应核心模型，并完成核心功能开发；对核心模型的优化有自身的看法；3、负责《需求分析》中业务模型部分，以及《总体设计》中的数据建模部分的编写。岗位要求：1、本科及以上学历，计算机、软件及数学相关专业优先；2、具备较好的业务抽象能力；对用户需求能够快速理解并转换成为代码设计。参与过大型数据中心的核心数据模型设计或开发；3、能够熟练的进行面向对象设计，熟练使用面向对象编程语言（Python等），接受使用新编程语言开发；4、熟悉hadoop、spark、flink等大数据开源工具的架构；5、掌握知识图谱相关构建技术，并熟悉NLP；6、了解图神经网络；7、掌握闭环式数据反馈的设计。职能类别：数据分析师微信分享
数据分析师,40000.0,20000.0,酒仙桥东路18号一展空间,北京-朝阳区,本科,"专业培训,节日福利,五险一金,弹性工作",岗位职责：1.负责集团业务数据产品框架设计、总体方案规划和设计；2.在项目实施过程中，与运营部门讨论，用数据说话，引导和影响业务需求的形成、整理、分析工作；3数据分析与策略支持：为公司运营决策、产品方向、业务策略等提供数据支持和策略支持并推动数据结论落地。4.报表体系：搭建、维护、完善数据报表体系（包括埋点），及时、准确监控运营状况；5.结合集团现状，帮助集团实现数字化管理；6. 拓展用户增长方式，包括不仅限于渠道、市场、产品。任职要求：1、本科及以上学历，计算机、数学、统计等专业优先；2、3年以上数据库分析、数据挖掘、数据统计等相关工作经验，有互联网行业数据分析/行分析经验者优先；3、熟练使用R/SPSS/Spark等挖掘工具；4、良好的分析报告书写能力；5、工作细致、责任心强，具备较强的学习能力及理解能力；6、具有优秀的沟通协调能力及开拓精神；7、具有高度的责任心和团队合作精神。职能类别：数据分析师微信分享
