company_name,max_wages,min_wages,place,place2,education,treatment,requirement
Android开发工程师,10000.0,8000.0,市桥街道光明南路199号友利科技园4号楼602单元,广州-番禺区,大专,"五险一金,专业培训,弹性工作,员工旅游",前端开发职责：1、负责公司Android客户端的开发及维护工作；2、编写相关的开发文档，如技术文档，设计文档，测试文档等。任职要求：1、大专及以上学历，3年以上Android开发经验；2、有多个完整的Android项目经验，至少参加过一个完整的商业级应用开发；3、熟练掌握Android基础UI布局和控件，能够自定义UI控件；4、精通Android性能和内存优化，了解Android各版本的主要特性；5、精通面向对象编程，具备较好的设计模式，拥有良好的代码习惯，结构清晰、命名规范、逻辑性强；6、细心，有耐心，沟通能力优秀，具有团队协作精神；职能类别：Android开发工程师关键字：android开发android微信分享
Android开发工程师（可***）,,,广州市黄埔区护林路1198号中关村e谷区块链产业园F栋6层,广州-黄埔区,大专,"五险一金,员工旅游,绩效奖金,补充公积金,带薪年假,节日福利,生日福利",1、负责Android的移动互联网的应用软件和客户端的架构设计、开发和维护；2、独立完成移动终端产品应用的功能模块开发；3、根据项目任务计划按时完成软件编码和单元测试工作；4、按照开发流程编写相应模块的设计文档；5、与产品经理、测试工程师、其他团队沟通合作，保证产品研发工作的质量和进度；6、协调或指导团队里其它开发人员的工作；7、学习和研究新技术以满足产品的需求。任职要求（***人员无下列要求）：1、2年以上工作经验，有Android手机软件实际开发项目经验；2、熟悉Android平台的应用开发，熟悉平台的相关接口，熟练使用API； 熟悉Android平台架构，有Android源码二次开发经验者优先；3、良好的沟通能力和优秀的团队协作能力；思路清晰，善于思考，良好的分析和独立解决问题的能力；4、具有规范的编程习惯与文档编写能力，积极配合公司各项规范化建设工作；5、具备较好的学习能力、问题分析能力，可以独立调试解决问题；6、良好的沟通协调能力和团队合作意识，能够主动总结和分享自己的开发经验；7、本职位不招无相关经验者，请应聘者知悉。职能类别：Android开发工程师关键字：Android开发手机应用开发软件工程师微信分享
Android开发工程师,10000.0,8000.0,科学大道162号创意大厦B3-401,广州-黄埔区,大专,"员工旅游,交通补贴,通讯补贴,绩效奖金,年终奖金,五险,全勤奖,加班补贴,专业培训",工作职责：1.负责Android设备客户端的相关产品的设计、开发、文档撰写；2.负责优化客户端软件的模块结构和流程逻辑；3.负责优化客户端软件相关产品适配，升级；4.负责编写相关使用说明和开发说明。5.参与与其他团队的沟通协调；任职要求：1、大专或以上学历，1年以上实际项目经验，1年以上android实际开发经验；2、良好的Java技术功底，熟悉Android系统体系结构、应用开发框架、底层库及AndroidSDK，能独立开发Android应用；3、熟悉Android移动终端特性与开发特点，具备应对Android平台各类常用问题的经验，并对手机软件性能优化有一定的了解；4、熟悉Android开发技术，包括UI、布局、通信机制、多线程、JSON、XML等；5、具备良好的编程习惯，有较强独立解决问题的能力；6、较强的责任心以及团队精神，具备良好的抗压能力；7、熟悉HTML5的优先，熟悉Android串口通信的优先；有做过餐饮项目经验的优先。广州市大唐智讯电子技术有限公司（简称：大唐智讯），是一家专注于射频识别（RFID应用）的高新技术企业。公司主要从事物联网行业RFID读写器及其应用系统的研发、生产、销售及服务。为各企事业单位、政府机关、高校、医疗养院及大型团餐服务集团提供全新的移动互联、信息化的解决方案。我们是创新创业型公司，有着一群8090追梦人，领导好、同事好、氛围好！没有传统企业的层级压力和束缚，只有你有想法、敢执行、有结果，就能快速发展，实现个人目标，让大唐成为你的事业，而不仅仅是一份工作！乘坐公交：21号线 科学城站；公交站：聆雨路路口/科学大道/揽月路路口；推荐公交车：574/B4A/508路。职能类别：Android开发工程师关键字：安卓开发软件开发android开发微信分享
Android开发工程师,30000.0,10000.0,珠海市高新区唐家湾镇港乐路2号,珠海,本科,"五险一金,员工旅游,交通补贴,餐饮补贴,通讯补贴,绩效奖金,年终奖金,假日福利",岗位职责：1、根据产品需求，负责产品Android应用研发工作；2、参与项目产品的技术实现讨论，框架设计；3、负责Android客户端产品持续性改版及优化工作；4、参与项目重点、难点的技术攻关。任职要求：1、具备3年以上Android应用开发经验，有独立主持开发过一个上线的AndroidApp；2、能独立承担过Android应用产品的核心模块设计及开发工作；3、深入理解android性能和内存优化，内存溢出和兼容性问题、网络异步应用的开发模式；4、熟悉常用的第三方库和API，如地图、推送、图片音视频处理、消息机制等；5、良好的编码规范，对设计模式有深刻的理解；6、较好的逻辑思维分析和表达和沟通能力，有较强的自学能力、沟通能力及团队协作意识。职能类别：Android开发工程师微信分享
Android开发工程师,12000.0,8000.0,广州市黄埔区开源大道188号D栋三楼全层,广州-黄埔区,本科,"员工旅游,绩效奖金,年终奖金,股票期权,专业培训,定期体检,餐饮补贴,意外保险,五险一金",岗位要求:1、一年以上移动端开发经验，能够独产完成工作2、熟悉Android sdk各种组件、网络通讯、数据存储、UI布局、动画与控件的使用3、有跨平台经验，ios相关经验，或者愿意学习相关技术的优先4、本科以上学历、计算机相关专业优先岗位职责：1、独立负责完成Android移动互联网客户端软件的开发维护2、配合项目经理进行项目分析，技术研讨，实行技术方案的整合3、进行 Android技术文档编写4、完成领导分配的其他工作职能类别：Android开发工程师微信分享
高级Android开发工程师,17000.0,15000.0,天府路11号广州冠盛大厦 冠盛皇室堡酒店 3楼（天河公园地铁站E出口）,广州-天河区,本科,无,【岗位职责】1、负责与交易所对接，并独立完成金融产品前端的设计与开发；2、在保证质量的前提下、按时完成开发任务；3、与项目的相关管理、测试和需求人员沟通和合作；4、负责相关技术文档的编写；5、跟进业务变化，注重用户体验，快速响应前端的产品体验开发实现。【岗位要求】1、本科以上学历，五年以上Android项目开发经验，具备高并发开发及优化经验；2、对面向对象设计具备良好的理解；3、对Android系统和应用框架具备良好的理解；4、丰富的手机UI设计经验，熟悉网络编程、多线程、图形界面编程、熟悉TCP/UDP、HTTP协议；5、熟练掌握Android内存优化，性能优化，以及相关工具的使用；6、熟练掌握Android Studio以及各种调试工具；7、具备良好的时间管理和流程意识，善于学习，可快速适应新项目新技术；8、具备金融App开发设计及开发经验优先。职能类别：Android开发工程师关键字：android安卓开发软件开发android开发软件工程师微信分享
Android开发工程师,13000.0,8000.0,科苑城沙新路86号（倍泰健康智慧产业园）,东莞-塘厦镇,大专,"五险一金,专业培训,餐饮补贴,绩效奖金,员工宿舍,团建,年终奖金,包吃包住,5.5天制",岗位职责:1、 负责公司Android版应用软件（医疗软件或健康测量软件）的开发与维护；2、 对公司客户提供技术支持服务；3、 根据业务需求，与第三方软硬件产品做技术对接；任职要求：1、 热爱医疗、健康行业，3年以上Android应用程序开发经验，能独立和客户沟通。2、 熟悉Android SDK主流版本相关特性；熟悉标准的软件开发流程与发布流程；3、 熟练掌握 Android 各类 UI 组件、图像动画、网络、文件系统等模块的应用；4、 擅长异步处理流程，有良好的编码习惯，对安卓应用架构有较深的理解；5、 对接过蓝牙、串口、usb等通讯协议设备者优先；职能类别：软件工程师关键字：android安卓安卓开发软件开发android开发软件工程师开发工程师微信分享
Android开发工程师,18000.0,14000.0,天河北路光大银行大厦(华师站)2408,广州-天河区,本科,"五险一金,年终奖金,绩效奖金,餐饮补贴,弹性工作,周末双休",1、负责Android项目的架构设计、方案的制定；2、根据需求能独立完成所负责app模块的设计、开发、调试工作；3、负责Android app等智能终端领域的应用开发和研究，以及应用平台的相关技术支持；4、独立完成Android平台软件开发、验证和修正测试中发现的问题；5、根据产品功能需求设计并完成软件实现。任职资格：1、熟练掌握android开发，至少3年以上的android开发经验，能根据产品设计独立进行应用程序开发；2、掌握Android开发技术，有完整的app上线项目经验，安卓熟悉各屏幕的适配，熟悉各主流手机特性；3、具有良好的沟通能力、学习能力、团队合作精神、强烈责任心，能承担工作压力。4、有蓝牙、wifi等智能硬件开发经验者优先考虑5、有xmpp等IM开发经验的可优先考虑职能类别：Android开发工程师关键字：android安卓安卓开发软件开发android开发软件工程师开发微信分享
Android安卓开发工程师,15000.0,10000.0,江南大道南盈熙商贸中心十层1005号,广州-海珠区,大专,"五险一金,员工旅游,免费班车,交通补贴,餐饮补贴,绩效奖金,年终奖金",岗位职责：a)负责基于Android系统的应用软件的开发工作。b)根据需求设计软件实现方案，并编写软件设计文档。c)跟据软件设计文档，进行编码开发：按照规范，编写实现高性能、高质量的Android应用程序代码。d)代码的错误检查和稳定性保证，进行必要的单元测试和集成测试，保障代码正确，性能达标，符合设计要求。.任职要求：a)大专以上，计算机、软件工程相关专业为佳。b)沟通表达能力强，善于深入浅出地表达和解释复杂的事物。c)1年以上Android系统开发经验。d)熟悉Java 熟练运用常用的设计模式。e)熟悉Android框架，包括Native/Framework/APP多层次模块。f)熟悉Gradle和CMake编译工具。g)熟练使用Android常规调试工具，熟练JNI、Binder、Socket等相关开发。公司福利：1、在2号地铁线东晓南站 广佛线石溪站附近上班，交通便捷，还具有舒适的办公环境；2、购买社保3、上班时间9：30-18：30，午休1.5小时，每天工作7.5小时；享受法定节假日；带薪年假4、每年公司组织员工旅游，不定期组织员工聚餐/活动；职能类别：Android开发工程师微信分享
Android高级开发工程师,20000.0,12000.0,步步高大道255号（vivo二号门）,东莞-长安镇,大专,"五险一金,免费班车",岗位职责1、参与部门移动办公平台Android端APP的开发建设，包括但不限于即时沟通、日程管理、移动审批等移动办公业务的研发和维护；2、持续不断的改进用户体验，对部分功能进行预研，实现新技术新架构的技术落地。任职要求1、具备扎实的Java基础，熟悉数据库，内存优化，多线程，网络框架，加解密，文件存储等技术的使用；2、良好的面向对象编程思想，熟练运用常见的设计模式；3、具有组件化思维，熟悉性能优化方法，有极致的用户体验追求；4、思路清晰，能够快速定位解决问题，具备较强的沟通能力和团队合作精神，对工作认真负责，善于学习、总结，乐于分享；5、大专及以上学历，3年及以上的Android平台开发经验，有移动办公平台开发经验优先。职能类别：Android开发工程师微信分享
Android开发工程师,18000.0,13000.0,光谱中路11号云升科学园D栋8层,广州-黄埔区,本科,"周末双休,带薪年假,节日福利,绩效奖金,股票期权",岗位职责：1.负责软件项目功能模块的设计、开发、测试、维护及文档编写；2.按项目需求按时完成开发任务，编码及文档符合规范；3.参与软件项目技术预研、方案设计、技术交流和方案编写；4.通过不断技术研究和创新，对软件项目提出合理化建议；5.协助对软件开发人员进行培训和赋能。任职要求：1.计算机相关专业，本科及以上学历，3年以上Andriod开发经验；2.熟练掌握Java开发语言，精通面向对象编程，理解设计模式，有良好的编码习惯；3.熟悉Java API、Android API、NDK API等关键API能力；4.了解Android应用编译打包原理，熟悉Gradle构建工具，能编写构建流程；5.了解ART虚拟机原理及优化；6.了解kotlin，具备开源库源码阅读和分析能力；7.了解跨平台开发原理，熟悉WebView的混合开发；8.具备良好的沟通能力、协作能力和学习能力。职能类别：Android开发工程师关键字：软件开发安卓开发android安卓开发工程师微信分享
Android开发工程师,15000.0,10000.0,西门口广场,广州-荔湾区,大专,"五险一金,定期体检,绩效奖金,带薪年假,弹性工作,年终奖金,13薪",1. 参与项目需求分析，开发方案的设计；2. 负责昭阳医生患者端、医生端安卓客户端的相关功能的开发、调试；3. 项目中技术攻关和新技术研究；4. 负责软件开发的分析和总结以促进完善开发流程；5. 参与配合产品、设计、测试和其它团队确保目标达成；6. 学习研究实践新产品新技术，编写技术规范文档。技能要求：1. 了解Android应用开发框架，熟悉Android SDK，能独立开发Android应用；2. 掌握 android 各种 UI 布局和控件、网络框架、能够熟练自定义 UI 控件 ；3. 熟悉Android移动终端特性与开发特点，具备应对Android平台各类常用问题的经验，并对手机软件性能优化有一定的了解；4. 熟悉databinding框架，数据双向绑定；5. 熟悉flutter与原生混合开发优先（非必选项）；6. 接入过第三方IM系统，熟悉在线聊天优先。其他要求：1. 大学专科或以上学历，计算机软件等相关专业；2. 至少3-5年工作经验；3. 工作积极主动、责任心强，良好的沟通能力和团队合作精神，有一定的抗压能力。职能类别：Android开发工程师关键字：android安卓安卓开发软件开发android开发软件工程师医药APP微信分享
