company_name,max_wages,min_wages,place,place2,education,treatment,requirement
急招ios开发工程师（五天制+餐补+五险一金）,20000.0,12000.0,广州市天河区珠江新城海安路13号财富世纪广场A1栋1804,广州-天河区,大专,"五险一金,餐饮补贴,周末双休,环境优美,全勤奖",【岗位职责】1、负责销售部门日常运营管理，团队招聘、培训、考核工作；2、带领团队完成公司下达的业绩目标；3、负责关键客户关系的拓展与维护；4、具备医疗行业大型信息化项目、大型医疗设备销售管理经验；5、具备医疗行业销售资源；【任职资格】1、市场营销、工商管理相关专业大专及以上学历；2、10年以上相关工作经验，5年以上管理工作经验，有医疗信息化行业经验；3、熟悉政府、医院办事方式及流程；4、具有优秀的人际沟通能力和谈判技巧，具备敏锐的市场洞察力；5、具备项目运作能力。【福利待遇】1、薪酬激励：一经录用，即提供行业内具有竞争力的薪酬水平，具体待遇面谈。（薪酬组成：基本工资+岗位工资+技能工资+绩效奖金+岗位津贴）2、五险一金：养老保险、失业保险、医疗保险、工伤保险、生育保险及住房公积金；3、午餐补贴：为了提高员工的生活质量，公司将依据出勤情况给予员工膳食补贴；4、全勤奖励：为了奖励员工遵守公司规章制度的行为，公司将给予全勤的员工全勤奖金；5、工作时间：一周五天工作制，工作时间8:30-18:00，午休时间12:00-13:30。6、工作环境：位于天河IT商圈、琶洲会展商圈、文化创意商圈交界处/坐标广州CBD，交通便利，拥有近两千平米的开放式办公场所，办公环境舒适温馨，同事关系和谐简单；7、培训分享：定期组织新员工入职培训，不定期组织部门内部或跨部门分享会、聘请专家到公司进行专业培训；8、员工假期：提倡“健康快乐、劳逸结合”的工作模式，提供法定节假日、婚假、产假、陪产假、病假等带薪假期；9、晋升空间：合理合法，公平公正，透明的晋升机制、广阔的职业发展空间。【公司信息】【上班地点】：广州市天河区珠江新城海安路13号财富世纪广场A1栋1701、1804、2003、2004（面试地点：财富世纪广场A1栋1804 君有医生）【乘车路线】：①地铁站点：地铁三号线岗顶C出口、五号线潭村D出口（百度/高德地图搜“和宇健康”即可）；②公交车:石牌村站、国防大厦站、红线女中心站。职能类别：iOS开发工程师关键字：iosios开发微信分享
iOS高级开发工程师,25000.0,15000.0,广州市天河区黄埔大道中309号羊城创意产业园,广州-天河区,本科,"带薪年假,五险一金,绩效奖金,全勤奖,专业培训,包午餐,年终双薪,定期体检",招贤纳士--“我们需要你”----------------------------------------------------------------------------------【艾罗寻找这样的你】如果你是四有青年：有目标有激情有想法有活力如果你是四想青年：想经济独立、想有房有车、想进步成长、想实现个人价值。那就加入我们，我们期待你跟我们一起成长，我们提供共赢式的成长环境，有意建立稳定合作共同成长关系的合伙人。我们希望你跟艾罗是一生的伙伴。如果不行，假使有一天我们要分别，那希望在你离开之际艾罗已把你培养成市场上更值钱的人。----------------------------------------------------------------------------------【成为艾罗人，你只需要】1-【应用程序开发调试】根据要求完成相关产品的iOS平台应用程序开发设计、调试工作。根据产品和业务需求，对APP各子功能模块进行UI框架设计，异步调用流程设计，兼容性设计，以符合产品和业务设计需求。2-【功能模块开发调试】负责APP功能模块设计、编码和单元测试工作，高质量完成分配任务；3-【项目方案调研讨论】参与项目技术调研和方案讨论，负责项目相关文档编写；4-【自主学习新的技术】根据项目需要，快速掌握新技术；6-【独立思考】能够独立思考客观分析，为团队提供方案及设想并予以实现。【成为艾罗人，你只要符合】1-***学历，计算机相关专业2-良好的Objective-C/Swift语言基础3-5年以上移动端开发经验，熟悉iOS应用的开发流程，三个或以上完整项目开发经验4-熟悉UI动画开发，熟悉内存管理，熟悉多线程编程，熟悉TCP、HTTPS等网络协议5-具有扎实的编程功底，良好的编程习惯，有重构代码的能力6-熟悉Cocoa Touch，熟练使用BLE蓝牙框架，熟练使用Cocoapods和Carthage7-具有iPhone独立开发案例者优先。7-有实际参与BLE Mesh以及IoT开发经验优先【我们能为你提供】1、行业一流的培训体系，快人一步的职业起点◆脚踏实地的你职能培训：业务流程、公司文化、产品知识、岗位技能，帮助你快速入行！晋升方向：实习:助理/助理工程师——起步:初级专员/初级工程师——进阶:中级专员/中级工程师——精英:高级/资深专员/高级工程师◆壮志凌云的你管理培训：导师制、领导力、思考力、选育用留，帮助你管人管事！晋升方向：入门:主管-初级:高级管理-中级:经理-高级:高级经理◆厚积薄发的你根据个人兴趣，你可以通过周二八点档、业务分享会、产学研、老板一对一等多种形式，打开视野，提升个人职场综合能力。2、“越努力，越幸运”的薪酬福利【基础福利】◆有竞争力的基本工资，有激励性的绩效奖金，定期调薪，年度评优，年底双薪；【健康福利】◆试用期购买五险一金，年度体检，配备健身房，为你们的健康保驾护航；【生活福利】◆根据工龄，艾罗的同事能享受5-15天带薪年假，以及每月1天带薪病假和法定节日◆艾罗专门聘请一位潮汕阿姨，每日从市场以及更大商超里购买菜品，为我们提供免费提供安心美味的午餐；◆艾罗会在各大法定节日，如儿童、教师、中秋节等为大家送上小礼物；◆日常还会有好玩有趣的生日会、元宵灯谜会、圣诞节狂欢会等。职能类别：高级软件工程师关键字：iosUI动画低功耗蓝牙swiftIOTBLEmesh微信分享
iOS开发工程师,15000.0,10000.0,绿地中央广场E栋1707,广州-黄埔区,大专,无,"岗位职责：1、根据功能需求完成IOS平台的应用程序设计、 开发、 调试、 自测 及产品发布;2、根据UI设计图进行IOS软件开发调试;3、根据需求提供其他开发模块数据接口或进行数据交互;4、按项目要求参与前期功能的设计讨论 软件技术方案的制定, 并按计划开发和交付, 保证代码质量;5、所负责模块的维护、 问题分析和优化, 相关技术文档的编写等任职要求：1、2年以上IOS开发经验，有电商类项目者优先；2、深入理解Objective-c、Swift开发能力优先；3、熟悉iOS相关特性，熟悉ARC、Runtime、线程、锁、KVO等底层原理；4、熟悉WebKit开发，有相关开发经验优先，了解JavaScriptCore原理尤佳；5、熟悉数据加密应用开发，了解常用数据加密原理，有加密场景效率调优者优先；6、具有良好的语言表达能力，思路清晰，有良好的团队意识及高度责任心，做事积极主动；7、关注移动端技术发展，乐于学习分享，能承受一定的工作强度；职能类别：iOS开发工程师关键字：ios开发微信分享"
iOS/Swift 开发工程师,18000.0,14000.0,天河北路光大银行大厦(华师站),广州-天河区,本科,"五险一金,年终奖金,绩效奖金,餐饮补贴,弹性工作,周末双休","岗位职责:1.  根据项目经理要求, 按时高质量完成 iOS 应用的功能开发.2.  现有的 iOS 应用的优化升级与缺陷修复.3.  与项目相关人员, 共同完成移动端与服务端的通讯设计与开发.任职要求:1.  3年以上 iOS 开发经验, 熟练使用 Xcode.2.  精通 Swift / Objective -C 语言的特性, 能写出高质量的组件.3.  对常用数据结构和 websocket 和 HTTP 协议等了解.4.  熟悉 iOS 的发布流程.5.  能独立解决工作中遇到大部分技术的问题.6.  对移动平台的人机交互有一定的理解.7.  认真、负责任、热爱开发, 良好的沟通能力和协作精神.？有以下相关经验将优先考虑：移动互联网、物联网相关产品经验具有良好的功能分析能力，具有良好的设计感，对移动互联网有敏锐的感知职能类别：高级软件工程师关键字：iosswiftxcode微信分享"
iOS开发工程师,25000.0,14000.0,广州市天河区建工路17号302房,广州-天河区,大专,"弹性工作,年终奖金,五险一金,节日福利","1、有能力独立完成项目的设计及开发,负责游戏sdk开发，混淆，上架到App Store流程管理；2、根据开发规范编写各种开发文档及项目文档；3、主动对项目进行性能优化,确保系统安全、稳定、高效运行。任职要求：1、两年以上IOS开发经验,有游戏sdk开发，上包相关开发经验者；2、熟练掌握 Objective-C语言,同时掌握 swift语言能力者优先,熟练使用 Xcode及相关调试工具；3、有较强的程序调试能力,能熟练使用各种调试工具和方法进行代码调试,解决问题;4、较强的主动学习能力,团队沟通协作能力,良好的编码习惯和风格,有很强的研究和动手能力,能够帮助团队专业能力的提升,能够承担一定的工作压力；5、能主动推进项目开发进程,并能从技术层面对用户的体验或技术方案提出需求改进建议;6、热爱编程,时常关注新技术,有编写博客习惯者优先。职能类别：iOS开发工程师关键字：ios开发微信分享"
iOS开发工程师,16000.0,11000.0,西门口广场,广州-荔湾区,大专,"五险一金,定期体检,绩效奖金,带薪年假,弹性工作,年终奖金",1. 参与项目需求分析，开发方案的设计；2. 负责昭阳医生患者端、医生端iOS客户端的相关功能的开发、调试；3. 项目中技术攻关和新技术研究；4. 负责软件开发的分析和总结以促进完善开发流程；5. 参与配合产品、设计、测试和其它团队确保目标达成；6. 学习研究实践新产品新技术，编写技术规范文档。技能要求：1. 熟悉iOS开发的整个流程，独立完成手机软件设计、编码和单元测试工作，保证开发质量。2. 熟练掌握OC/Swift语言，熟练掌握Xcode等相关开发工具，熟悉iOS SDK；3. 熟悉Cocoa Touch框架，XCode、Interface Builder等开发工具；4. 掌握软件开发过程管理与测试方法，具备良好的沟通和团队合作能力：5. 熟悉Flutter与原生混合开发优先（非必选项）；6. 有IM开发经验优先 。其他要求：1、大学专科或以上学历，计算机软件等相关专业；2、至少3-5年工作经验；3、工作积极主动、责任心强，良好的沟通能力和团队合作精神，有一定的抗压能力。职能类别：iOS开发工程师关键字：ios软件开发ios开发app开发工程师微信分享
高级IOS开发工程师,25000.0,15000.0,车陂大岗路6号联合社区西区3栋3307,广州-天河区,大专,"五险一金,员工旅游,专业培训,绩效奖金,年终奖金,弹性工作,定期体检,股票期权",工作职责及工作内容描述：1、负责IOS平台上项目开发，独立按时完成项目需求开发；2、开发前进行需求分析、制定技术方案，开发计划，负责相关技术文档的编写；3、根据业务部门的需求及客户反馈，对软件产品进行完善；4、参与产品功能的讨论和技术调研，负责产品的升级、更新；5、主动对项目进行性能优化，确保系统安全、稳定、高效运行；6、熟悉iOS的UI设计及各种控件的使用；7、掌握flutter编程、熟悉flutter与原生（IOS、安卓）之间的混合开发、性能优化8、有良好的编码规范；任职要求：1、本科以上学历（优秀者学历可放宽），5年及以上iOS开发经验，可以独立承担架构设计、1年以上flutter原生混合开发经验；至少有2个以上百万级用户成功上线经验，有千万级用户基数APP开发上线经验更优；2、熟练使用Xcode等相关开发工具，熟悉ObjectiveC语言和iOSSDK及相关开发工具；3、精通XML，Json，熟悉加密算法；4、熟练掌握iOS界面开发，绘图引擎、动画、网络（TCP/IP、HTTP）、多线程、传感器、定位、声音等。职能类别：iOS开发工程师关键字：ios开发微信分享
IOS高级开发工程师,18000.0,14000.0,广州市天河区21号线天河智慧城-时代Epark,广州-天河区,本科,"周末双休,七险一金,朝九晚六,季度旅游,年底双薪,定期体检,餐饮补贴,专业培训",岗位职责：1. 负责公司IOS现有项目维护工作；2. 参与移动产品需求讨论、功能定义并进行开发；3. 编写对应的开发文档。任职资格：1. 本科以上学历，5年以上IOS平台实际开发经验2. 丰富的Objective-C经验，熟悉设计模式，能够设计灵活的iOS产品架构，能独立开发高性能应用；3. 熟悉APP运行生命周期以及内存管理机制，了解多线程，精通不同机型、不同IOS系统版本的适配；熟悉常见的网络协议，熟悉webkit内核，熟悉原生与H5交互；4. 掌握常用的第三方框架、代码项目管理工具等（AFN、git、cocoapods 等）；5. 稳重上进，尽职尽责，沟通协助意识良好，能够承担工作压力，热衷学习并实践新技术；6. 有以下技术经验优先：Flutter、插件/模块化、跨平台、SDK开发维护、有过SDK开发经验、APP上架或已在app store上发布应用。选择沃云的理由：1. 周末双休，上班时间9:05—12:30 ，14:00—18:00；2.年底双薪，七险一金；3.餐补、打车补贴，油费、交通费补贴、车位补贴；4.免费健身房、免费借书~5. 每周丰富的下午茶，每月生日会，生日礼物~6.定期公司聚餐；7. 交通便利，办公楼地铁上盖，21号线天河智慧城站，2分钟路程；8. 环境优美的办公园区，马路对面是万科广场；9. 茶水间供应茶叶，微波炉冰箱应有尽有，楼下各种餐饮店，快递小哥可送餐上楼；10. 公司快速发展，目前已有三家子公司职能类别：iOS开发工程师微信分享
iOS开发工程师,15000.0,10000.0,中山大学国家大学科技园,广州-海珠区,本科,"五险一金,员工旅游,餐饮补贴,专业培训,绩效奖金,年终奖金,股票期权,弹性工作,定期体检,周末双休",岗位职责：1、负责App产品研发，有能力独立完成模块的设计及开发；2、根据项目任务计划按时完成软件编码和单元测试工作；3、与产品和运营人员沟通，保证产品的质量和开发进度；4、持续优化相关产品的质量、性能和用户体验；5、负责APP底层网络连接相关的优化;6、对移动平台相关新技术进行研究和功能实现，对现有开发方法进行改进。任职要求：1、大学本科及以上学历，计算机或相关专业毕业，2年以上iOS开发经验，独立或主导开发过成熟的线上产品者优先；提供Blog地址，Stack Overflow或Github账号者优先；2、对Cocoa、UIKit框架及iOS SDK有深入理解，熟练掌握iOS平台各类API，能够对移动应用进行性能分析和优化；3、精通Objective-C、Swift，精通iOS SDK中的UI、网络、XML/JSON解析等开发技术，有主流开源组件使用经验，熟悉常用的手机软件调试方法和技巧，能熟练运用X Code，Interface Builder等开发工具；4、熟悉各种主流手机特性，精通不同iOS系统版本、屏幕的适配，熟悉基于TCP/UDP/HTTP的网络协议及Server端相关技术，具备扎实的数据结构和算法基础者优先；5、有多个完整的iOS项目经验，参加过一个以上完整的社交或娱乐类应用的技术框架搭建、关键技术选型工作的优先；6、具备良好的沟通能力，学习能力，责任心强，较强的逻辑思维能力，具备较强的团队合作精神，对移动和互联网技术有强烈兴趣，富于钻研和探索精神。职能类别：iOS开发工程师关键字：ios软件开发开发ios开发软件工程师app工程师开发工程师微信分享
iOS开发工程师,15000.0,10000.0,江南大道南盈熙商贸中心十层1005号,广州-海珠区,本科,"五险一金,员工旅游,免费班车,交通补贴,餐饮补贴,绩效奖金,年终奖金",岗位职责1、负责iOS客户端软件的研发以及现有项目与产品的维护工作；2、参与后台API的开发和调试；3、根据项目的需求说明或模块的设计文档，完成软件的编程、调试和模块测试工作；4、完成客户端有关文档的编写，定期进行代码走读；5、软件产品的持续改进，如客户体验的提升、手机适配、SDK升级、框架维护等。任职要求：1、大专及以上学历，计算机相关专业，3年以上iOS开发经验；2、熟练掌握Objective-c语言、Xcode开发环境、Cocoa touch，有AppStore上架经验者优先；3、对常用第三方SDK有一定的了解，比如IM即时通信、在线直播；4、熟悉网络编程 、熟悉 UIKit框架；具备HBuilder混合开发经验者优先；5、有良好编程习惯和文档编写习惯;在工作中具有主动性，具备快速开发效率，并勇于承担任务，具有团队合作精神；6、工作细致、认真有耐心，有较强的抗压能力；上班地址：盈熙广场1005/1002/1003竞争力的薪酬固定工资 + 年终奖 + 餐补完善的福利养老保险 + 医疗保险 + 工伤保险 + 失业保险 + 生育保险员工假期5-15天年休假 +   法定公众假期 + 婚假 + 丧假 + 产假 + 陪产假+ 哺乳假等相关假期部门活动 + 年度旅游 + 联谊活动 + 聚餐、等各项文体活动..端午、中秋、春节等有节日礼品职能类别：iOS开发工程师微信分享
