company_name,max_wages,min_wages,place,place2,education,treatment,requirement
数据分析师,23000.0,13000.0,黄埔大道西666号联通大厦,广州-天河区,本科,"五险一金,补充医疗保险,重疾保险,交通补贴,餐饮补贴,通讯补贴,专业培训,绩效奖金,年终奖金,定期体检",岗位职责：1.负责数据仓库与业务情景分析的构建、维护、部署和评估；2.负责业务数据分析需求的调研、分析及实现；3.根据需求进行系统设计和详细设计，承担核心模块和核心功能开发；4.熟练使用SQL，使用各类数据分析工具，分析报表，能快速对数据分析输出结果；5.拓展数据对用户模型精准度，实现动态处理。岗位要求：1.全日制重点本科及以上学历，具备良好的数据敏感度，能从海量数据提炼核心结果，有数据分析、挖掘、清洗和建模的经验，1年以上开发经验；2.熟悉Oracle、MySQL等主流数据库，具有良好的SQL语言开发技能，掌握存储过程、函数等开发技术；3.熟悉Linux、shell，python脚本；4.熟悉hadoop，HDFS、Hive、Sqoop大数据平台；5.具备良好的学习能力和分析解决问题能力。职能类别：产品经理/主管软件工程师关键字：数据分析数据分析大数据数据处理数据挖掘统计数据分析师sql微信分享
数据分析师（6k+提成+双休）,16000.0,8000.0,广州市越秀区广州大道中307富力新天地中心2901,广州-越秀区,大专,"五险一金,补充医疗保险,补充公积金,出国机会,员工旅游,专业培训,股票期权,年终奖金,绩效奖金,定期体检",岗位职责：1.对行情基本面和策略面进行分析，预测未来走势，撰写分析报告；2.通过财经新闻，搜集和整理相关数据；3.了解和分析相关市场制度；4.遵守公司的各项管理制度，承办领导交办的其他工作。任职要求:1.人品端正，有责任心，愿与公司一同成长进步；（学历可放宽）2.有较好的学习与接收新事物的能力；3.执行力强，自制力强，纪律性强；4.具有一定的风险研究和分析能力；5.有过相关金融工作经验优先。福利：1、工作时间9：30-17：30，周末双休，法定节假日正常放假；2、弹性的工作时间，让你工作自由安排；3、提供各种高大上下午茶、晚餐及零食；4、各种高端大气上档次的团队建设；5、每年两次的加薪机会，每月的绩效奖金，年底红包等丰厚的福利等着你；职业发展与规划：职业前景：每名雇员都会得到重视，通过不断的学习和努力，每个人都将拥有广阔的职业发展空间。个人与职业道德：我们希望所有雇员都要遵守高度的个人与职业道德。晋升机制：我们提供规范的员工晋升机制，以及人才选拔和培养机制。薪酬福利：具有业界竞争力的薪酬和各种福利。底薪＋高佣金+丰厚奖金＋职位晋升＋季度旅游＋年终业绩分红。公司致力于为年轻人提供一个实现自我提升的平台，如果你对自己的能力有足够的自信，相信凭借自己的努力可以获得自己想要的未来，那么我司将会是你的选择，这不是一份死工资的工作，你能拿到多少完全取决于你的努力。公司名称：广东新时代投资股份有限公司联系人：林经理18922770449公司地址：广州市越秀区广州大道中307号富力新天地中心2901出乘车路线：地铁1号线杨箕站B出口或地铁5号线五羊邨站C出口职能类别：证券分析师关键字：数据分析统计证券基金股票金融理财经济微信分享
数据分析师（非销售）,8000.0,6000.0,体育西路111号建和中心6楼A-B,广州-天河区,中专,"五险一金,员工旅游,专业培训,绩效奖金,弹性工作,周末双休,早九晚五,年终奖金,出国机会",岗位职责：1. 对数据资料进行分析，完成数据资料的分析和整理；2. 参与分析报告的编写及实施，发现问题并总结经验；3. 跟进合作项目进度，管理进度，完成公司下达任务；4. 深入学习金融知识以及分析技能，上手部门所负责分析项目；5. 培养个人专研精神，利用公司所提供的技术培养资源，提高个人专业技能，为公司及团队奉献一己之力同时实现自己的人生价值。任职资格：1、大专及以上学历，有相关专业经验者优秀毕业生优先；2、对数据敏感，对金融领域有较多的知识积累者优先；3、高效的执行力，较强的责任心和原则性，能承受工作压力；4、善于沟通和团队合作，具有较强的团队合作精神；5、具备较强工作条理性及协调能力，头脑灵活，应变能力强。培训体系岗前入门培训 : 行业概括，专业知识，职业规划，入门技术指导交易技术培训 : 基本面分析，技术面详解，盘感强训技能，心态自控与提升，资金管理与风控系统建立，稳定盈利系统成型等；成熟的考核系统：公司提供模拟盘考核，考核通过正式入职薪酬待遇试用期无责底薪3800+提成+奖金转正无责底薪  6000+30%盈利分红+奖金+五险（备注：优秀者月入过万，能者多得，上不封顶）福利待遇：（1）周末双休，法定节假日带薪休假、带薪年假；（2）员工生日礼物（定制蛋糕和晚上聚餐）；端午、中秋、过年等员工福利。（3）丰富的企业文化活动，篮球赛、羽毛球、台球等；职能类别：金融/经济研究员关键字：交易员金融期货外汇股票证券行政助理销售操盘手微信分享
数据分析师（医疗信息化项目）,13000.0,9000.0,昌岗中路166-3号富盈国际大厦2908室,广州-海珠区,大专,"周末双休,带薪年假,员工旅游,交通补贴,餐饮补贴,专业培训,绩效奖金,年终奖金,定期体检",岗位职责：1、负责医院数据的检查，发现并整理质量问题，出具质量报告；2、负责对合格的数据进行整理与清洗，根据数据规范输出数据，导入数据库；3、负责对数据结果进行归类分析，输出数据分析报告。任职要求：1. 对数据敏感，两年或以上数据分析经验，可以利用EXCEL、SQL对数据进行分析2. 具有探索精神，具有优秀的分析和解决问题能力，善于从数据中发现问题，并提出数据处理的解决办法3. 具备较好的自我驱动和抗压能力，良好的沟通能力和团队合作精神，有一定的组织协调能力4. 熟练掌握EXCEL/WORD/PPT/VISO等日常办公软件的使用5. 熟练掌握MYSQL/ORACEL/NOSQL等数据库的使用掌握R、Python语言，或Hadoop分析平台优先职能类别：数据采集工程师数据分析师关键字：数据分析数据处理微信分享
数据分析师,15000.0,6000.0,越秀区文德北路68号东方文德广场A座8层801（距离1号线农讲所站及6号线北京路站步行约10分钟左右））,广州,大专,"专业培训,周末双休,绩效奖金,年会、聚会,员工旅游,下午茶,社保",职位表述及规划：1、构建业务、产品指标体系，建立和完善常规数据报告，定期监测业务数据并提供相关数据支持；2、负责数据（学生、教师、家长、经销商等）建模和分析，并提供数据解读和应用方案，通过监控及分析，推动产品改进及运营调整；3、针对关键营运指标进行有效跟踪，发现业务机会点，分析预警；4、探索数据分析方法和业务中数据赋能的应用场景，推动有价值的数据应用方案；5、制作分析行业、竞品数据；6、协助完成业务相关专题报告及营销活动复盘分析，并负责完成项目报告的撰写和数据呈现。任职要求：1、大专及以上学历，统计学、电子商务、数学与应用数学、市场营销专业，有同类型教育产品经验优先考虑；2、具备2年及以上数据分析岗位经验；3、对教育、电商行业有深入了解，有较强的商业洞察能力，数据逻辑能力和解读能力强；4、掌握一定的分析工具和方法，有丰富的数据应用经验，对数据驱动业务有深入理解；5、优秀的沟通协作执行能力，对业务有较好的理解能力和敏锐度、有实际业务落地的经验，注重理论与实际相结合。【上班时间】周末双休、五天八小时工作制，享受国家所有法定带薪假【员工福利】社保、季度奖励、节日福利、不定期聚餐/旅行、企业文化活动【系统培训】完善的培训体系制度，为每位新入职员工提供系统的岗位培训、专业培训、拓展培训【带薪假期】带薪年假、国家法定节假日、婚假、产假等【公司地址】广东省广州市越秀区文德路东方文德广场A座801室【办公环境】高级写字楼，办公室环境干净舒适优美，交通便捷，靠近北京路，下班后还可以约两三好友同事逛逛街职能类别：数据分析师微信分享
数据分析师,15000.0,10000.0,东莞市黄江镇鸡啼岗东环三街1号,广东省,本科,"五险一金,专业培训",1.对经营数据进行整理、分析，完成数据报表、建模等工作，输出相关报告；2.对业务部门进行数据需求支持，基于分析结果，为业务部门提供分析的优化建议。岗位任职要求：1.本科及以上学历，数学、统计学、计算机等相关专业；2.精通Vba、SQL语言，熟悉python语言优先；3.两年以上数据分析经验，有制造行业分析项目经验、懂财务知识者优先。职能类别：数据分析师关键字：数据分析VBASQLpython微信分享
13薪初级数据分析师（双休）,11000.0,8000.0,千灯湖地铁站金融中心,佛山-南海区,本科,"五险一金,员工旅游,餐饮补贴,交通补贴,专业培训",岗位职责：与行业分析师共同构建赢商数据体系和核心指标并形成数据分析应用；支持数据清洗和数据库管理等工作；与产品部门配合，基于数据理解，推动产品持续优化。岗位要求本科及以上学历，数学、统计学、计算机等专业背景者优先，1年以上数据分析经验。能独立完成数据采集、清洗，分析业务问题熟练使用SQL，掌握一种以上主流统计分析工具。公司福利：1、五险一金，员工年度健康福利体检；其中住房公积金按照月度工资总额的12%购买；3、五天7小时工作制。带薪年假、各类法定节假日、有薪假及出差探亲假等；4、各类过节福利、节日礼品、生日礼品、慰问品等；5、差旅费、差旅津贴、业务招待费、通讯补助、用餐补助、保密补贴等；6、每月不定期暖心下午茶，部门不定期旅游、聚餐；7、公司总部设有健身房、篮球场、乒乓球室、壁球室等休闲设施，并定期组织各类业余活动。职能类别：数据分析师关键字：数据分析大数据数据处理统计数据分析师sql微信分享
数据分析师,15000.0,10000.0,东风路东骏广场,广州-越秀区,本科,"五险一金,餐饮补贴,通讯补贴,弹性工作,定期体检,年终奖金",岗位职责：1、负责需求分析、数据调研以及数据统计分析等工作；2、负责日常与客户的沟通交流，协助项目经理完成各类文档的编写工作；3、对项目建设有自己的见解，有独立思考能力；4、善于沟通交流，具备较好职业素养，能承受客户方的压力。任职要求：1、本科及以上，数学、统计学、计算机、信息与计算科学、电气及其自动化等专业优先；2、做过数据分析相关工作，有电力行业相关工作经验，懂营销、生产业务优先考虑；3、熟练掌握SQL，掌握R和Python其中一种，熟练掌握各类数据挖掘算法在相关领域应用；4、具有2年以上数据分析工作经验，有做项目经理的意愿。职能类别：数据分析师关键字：数据分析大数据数据处理数据分析师微信分享
数据分析师,13000.0,11000.0,黄埔外运大楼7楼,广州-黄埔区,大专,无,岗位职责：1）负责数据仓库的开发、测试及运维优化2）负责对接业务报表需求，业务核心指标体系建设，并完成落地和数据跟踪，问题分析和排除3）负责校验数据，保障数据的准确4）负责业务部门临时性的数据提取及分析工作5）应对业务部门的各种报表需求，能够依托帆软报表工具，进行固定报表或分析报表的设计与开发6）完成上级分配的其他工作任务岗位要求：1.精通Oracle数据库，熟悉SQL调优，熟练使用PLSQL2.熟悉kettle、informatica等主流ETL工具3.有数据仓库或者BI项目优先4.有FineReport报表开发工具，具备大屏，分析报表、主从表、交叉表相关项目经验者优先5.良好的沟通表达能力，能够积极创新，乐于面对挑战，负责敬业，具有高度的责任心及团队精神，执行力强职能类别：数据分析师关键字：数据分析师sql帆软kettleOracle微信分享
数据分析师,10000.0,8000.0,黄埔大道西601号,广州-番禺区,大专,"五险一金,年终奖金,弹性工作,员工旅游,餐饮补贴,交通补贴,绩效奖金",岗位职责：1、负责公司新开发游戏和软件的测试工作；2、编写项目相关测试文档及项目资料；3、维护和升级公司现有的项目；4、参需求分析、设计、测试需求、测试案例等评审；5、协助发现缺陷的风险评估，确认缺陷和协调修复缺陷。任职要求：1、全日制大专及以上学历，专业不限，年龄20-30周岁2、对互联网游戏测试感兴趣，想要朝IT技术方面发展；3、执行力高，抗压能力、学习能力强，乐于合作交流；4、无经验基础者公司安排专人带，要求学习能力强，积极主动；5、公司有完善的自我训练机制。薪酬福利：1、五险一金：包括养老保险，医疗保险，失业保险，工伤保险，生育保险，以及公积金；2、食宿补贴：提供统一标准的午餐补贴和租房补贴；3、节日福利：春节，端午节，中秋节等节日期间发放节日津贴或实物；4、带薪年假：可享受国家规定的带薪年假；法定节假日正常休假；5、其他活动：公司不定期组织各种文体活动，如外出旅游，联欢会等；6、晋升空间：员工可调薪，可转岗，可晋升高级工程师和管理岗位；7、上班时间：周一至周五 9：00-18:00 ，中午12:00-14:00为午休时间。职能类别：数据分析师关键字：数据微信分享
