company_name,max_wages,min_wages,place,place2,education,treatment,requirement
软件测试工程师,23000.0,13000.0,黄埔大道西666号联通大厦,广州-天河区,本科,"五险一金,补充医疗保险,重疾保险,交通补贴,餐饮补贴,通讯补贴,专业培训,绩效奖金,年终奖金,定期体检","1.编写测试计划、规划详细的测试方案、编写测试用例；2.根据测试计划搭建和维护测试环境；3.负责编写用于测试的自动测试脚本，记录测试结果，测试报告；4.对测试中发现的问题进行详细分析和准确定位，给出缺陷解决方案,跟踪测试修复结果；5.负责提出对产品的进一步改进的建议，评估改进方案。岗位要求：1.全日制本科及以上学历，计算机相关专业；2.熟悉常用软件测试工具及测试分析技术,有较强的逻辑分析能力和总结能力，1年以上项目测试经验。3.熟悉常用缺陷管理工具，能规范编写项目测试计划、测试用例、测试报告；4.有appium、selenium编写自动化经验优先；5.有Jmeter、LoadRunner性能压测经验优先。职能类别：产品经理/主管软件工程师关键字：java软件测试测试测试工程师自动化测试软件功能测试性能测试系统测试微信分享"
软件测试工程师（可英文办公）,25000.0,15000.0,天河路383号太古汇2座（石牌桥地铁站太古汇出口）,广州-天河区,本科,"五险一金,补充医疗保险,年终奖金,弹性工作,定期体检",任职要求：1、本科及以上学历，3年以上软件测试工作经验；英语听说读写能力良好。掌握软件测试理论、测试过程、测试方法；2、对系统测试、性能测试、安全测试等有深入的见解和经验；熟练使用性能及安全测试工具；3、具备良好的沟通能力、组织协调能力和分析判断能力，适应适当出差；责任心强、态度端正、待人宽容、有团队意识；4、熟悉脚本语言；熟悉Mysql等数据库；熟悉B/S或C/S架构及相关测试经验；5、有软件评测师证书者优先，有银行或金融自助设备测试或开发工作经验优先。6、熟悉软件开发过程、配置管理和质量保证知识；工作职责：1、制定软件测试计划，编写测试方案、用例和测试辅助工具，搭建测试环境，实施测试并总结分析测试结果，输出测试报告；2、参与需求、方案设计、缺陷评审，开展专项测试3、收集项目状态，协助监控项目进度、质量风险，配合开发团队不断完善产品；4、对测试方法、工具和相关业务知识进行研究推广，优化测试流程，提高软件测试质量和效率；5、按时完成版本测试、分析缺陷的产生根本原因，对工程项目提供测试支持；6、完成上级交办的其他任务职能类别：软件测试工程师关键字：测试工程师微信分享
软件测试工程师,13000.0,9000.0,奥体南路TO+科创营H栋2楼211（洋老板）,广州-天河区,大专,"五险一金,员工旅游,餐饮补贴,绩效奖金,年终奖金,定期体检,下午茶,周末双休",1、参与项目需求分析、评审；2、负责平台项目的功能测试、兼容性、接口和性能测试；3、负责日常线上问题跟进处理。任职要求：1、熟悉软件测试流程、根据需求拆分功能点和编写测试用例和分析定位问题给开发；2、熟练掌握fiddler、charles抓包工具辅助测试和熟悉MySql数据库，能进行增删查改和联表查询；3、熟练掌握Jmeter测试工具使用，能应用与对系统进行压力和并发测试，输入性能测试报告；4、至少了解一门编程语言，可用于接口自动化测试脚本编写和维护；5 、加分项：有互联网电商项目经验优先，接触过微服务架构。职能类别：软件测试工程师关键字：软件测试测试工程师测试自动化测试微信分享
软件测试工程师,16000.0,13000.0,佛山顺德区北滘镇碧桂园大道1号碧桂园总部大楼,佛山-顺德区,大专,无,1. 专科及以上学历，计算机相关专业，3年以上软件测试或相关工作经验，参与过中大型的项目测试工作优先。2. 对QA有深刻的理解。3. 了解测试的用途和方法；优秀的测试技能知识（设计测试计划和测试策略，编写测试用例，执行测试用例，打开bug，验证bug）。4. 在开源软件领域有一定的经验，良好的Hadoop技能，熟悉相关的开源自动化测试框架。5. 具备移动应用相关测试经验。6. 良好的SQL等数据库技能。7. 具有敏捷、快节奏环境中的工作经历，良好的时间管理技能。8. 具有批判性思维和解决问题的能力，具备团队协作的精神，良好的人际沟通能力，较强的逻辑分析总结能力和学习能力。职能类别：软件测试工程师微信分享
软件测试工程师,10000.0,8000.0,TCL工业大厦6号,惠州-仲恺区,大专,"五险一金,通讯补贴,年终奖金,绩效奖金,专业培训","1、计算机软件或相关专业专科及以上学历，三年以上测试工作经验；2、熟悉软件测试理论与方法，熟悉测试流程，熟悉质量与缺陷管理流程，跟踪分析测试情况，准确提交产品缺陷及bug分析报告，解决测试过程遇到的问题；3、熟悉Oracle,SQLServer，mysql，Redis、MongoDB等，精通SQL语句，熟悉网络知识,、TCP/IP协议、HTTP协议；4、熟悉自动化测试工具：Selenium、QTP、Appium其中一种，能独立编写测试脚本5、能独立制定测试计划、编写测试方案、设计测试用例、输出测试报告；职能类别：软件测试工程师关键字：软件测试测试测试工程师功能测试性能测试系统测试自动化测试微信分享"
软件测试工程师,10000.0,6000.0,天河区珠江新城海安路13号财富世纪广场A1栋1602,广州-天河区,大专,无,"【岗位职责】1.负责软件产品/系统的功能测试、性能测试、安全性测试等工作；2.搭建测试环境,编写测试计划、测试用例，实施测试，撰写测试报告；3.使用工具进行问题跟踪管理;4.开展项目测试工作,解决项目问题；5.参与体系建设。【岗位要求】1.熟悉软件工程、软件测试理论和方法，了解相关的测试流程、测试文档标准；2.工作责任心强，细致，耐心；具有较强的发现问题、分析问题能力；3.具有良好的沟通及文档撰写能力；具备良好的团队协作精神；4.具备软件开发和测试基础，能接受出差；5.具有计算机技术与软件专业技术资格（水平）考试的软件评测师证书优先考虑。【福利待遇】1.具有行业竞争力的薪酬体系（面议）；2.弹性工作，含五险一金、带薪年假、员工关怀；3.定期体检以及集体旅游、交通、午餐和通讯补贴等福利。职能类别：软件测试工程师关键字：软件测试测试工程师测试自动化测试功能测试性能测试系统测试微信分享"
软件测试工程师,10000.0,8000.0,祖庙路 29 号岭南天地商业大厦 8 层,佛山-禅城区,大专,"五险一金,员工旅游,绩效奖金,年终奖金,弹性工作,专业培训,补充医疗保险",【岗位职责】1.依据产品需求的测试需求，设计测试用例和测试数据；2.有效地执行测试用例，提交bug，协助开发人员定位问题和解决bug；3.完成对产品的功能测试，回归测试与系统测试。4.编写自动化测试脚本【任职要求】1.计算机相关专业，大专及以上学历，2-5年软件测试经验；2.熟悉测试理论、流程与方法；3.熟练掌握Java语言4.具备Selenium等自动化测试工具的使用技能；5.具有良好的沟通表达能力、责任心强、具备良好的团队合作意识；6.会粤语，具备英语读写能力。公司福利政策：1、舒适的工作环境，优厚的薪酬待遇；2、高额奖金的激励政策；3、完善晋升通道，广阔发展空间，扁平化管理；4、双休工作制每天8小时，弹性工作；5、五险一金和平安补充医疗保险（五险一金按全额工资购买）；6、转正后即享带薪年假和带薪病假；7、享受国家法定节假日。8、团队建设和员工旅游等职能类别：软件测试工程师微信分享
软件测试工程师,15000.0,9000.0,广州市科韵路天河软件园建工路9号五楼502-516室,广州,本科,无,岗位职责：1、熟悉常用的测试工具、方法，良好的分析问题和解决问题的能力，能够准确的定位和分析问题；2、参与项目的需求分析，负责测试计划的制定和执行，并能预估项目的风险；3、执行项目测试，包括但不限于：构建测试环境、集成测试、回归测试等；4、执行软件产品的性能测试和分析，预测系统性能瓶颈、风险和安全隐患，为网站容量规划提供数据和建议；5、保持与项目经理、开发人员、营销人员的密切沟通，驱动问题解决。岗位要求：1、全日制统招本科及以上学历，计算机相关专业毕业，3年以上软件测试行业经验；2、熟悉测试技术、测试流程和测试方法；3、熟练掌握至少一门主流编程语言，具备扎实的研发能力，能独立完成测试系统和工作的研发工作；4、有测试团队管理经验，能承受压力，愿意接受挑战；5、具备良好的逻辑分析能力、学习能力和总结能力，愿意在该行业长期稳定发展；6、该岗位需要短期出差。公司介绍航天精一（广东）信息科技有限公司（以下简称“航天精一”），是北京航天长峰股份有限公司控股的子公司。航天精一成立于2002年，是一家立足于时空数据分析及挖掘、专业提供定制化地理信息系统应用平台及整体解决方案的高新技术企业，专注于公共安全领域的地理信息应用开发服务、信息系统集成服务、地理信息云服务。公司基于空间标准地址云、智能物联云服务，融合集成时空大数据资源，为电子政务提供时空资源共享云服务、行业深度应用产品及解决方案。借助于航天长峰在安防领域的市场优势，航天精一将逐步成长为一家全国性的安防GIS企业，目前公司业务已覆盖全国多个省市。航天精一始终秉承“做***的地理信息服务商”的经营理念，以严谨、科学、专业的态度为每个行业用户提供***面、***的解决方案。公司网站：************************/公司地址：广州市天河区科韵路天河软件园建工路九号五楼502-516公司福利【上班时间】上班时间：09：00-18：00（7.5H，周末双休），午休时间：12：00－13：30（视岗位）；【五险一金】购买六险（养老、失业、医疗、工伤、生育、重大疾病+住房公积金）及商业险（视岗位）；【午餐补贴】为了提高精一人的生活质量，公司将每个工作日给予员工膳食补贴；【贺礼贺金】公司将给正式员工发放生日贺金、生育贺金、结婚贺金、“三八”节礼品、端午礼品、六一节礼品、中秋节贺金等；【职称补贴】公司倡导积极向上、勤奋好学的进取精神，特给各类报考职称成功的员工提供相应补贴；【工龄工资】您只要入职满一年，就可享有我们精一的工龄工资；【电话补贴】根据岗位需要，公司特给予话费补助；【全勤奖金】只要您不迟到和早退，即可拿到全勤奖励；【年终奖金】公司将根据年度运营情况发放年终奖；【丰富假期】国家法定节假日、带薪年假、婚假、产假、陪产假、带薪病假等；【文娱活动】公司将不定期为员工举办旅游活动、部门聚餐、员工拓展等；【年终总结】为了感谢大家在一年里的辛勤工作，特精心准备表彰大会及晚宴，让您一同享受精一的收获；【职业发展】只论能力不论年资，提供良好的成长路径，不辜负每个有能力的人；【培训分享】一对一导师培训，定期组织新员工入职培训，不定期组织部门内部及跨部门分享会；【生活福利】免费零食、丰盛下午茶、自动贩卖机、微波炉、大冰箱等；【工作环境】我们为你提供舒适的工作环境，互助友爱的人文环境，与您共同成长。职能类别：软件测试工程师系统测试关键字：软件测试微信分享
软件测试工程师,13000.0,9000.0,广州市越秀区东风西路233号千树盘福大厦902,广州-越秀区,大专,"节日福利,餐饮补贴,五险一金,通讯补贴,高温补贴,年终奖金,定期体检,员工旅游,周末双休,免费班车",岗位职责：1、负责测试相关的所有工作，包括需求评审，技术评审等，关注需求的可测性和合理性；2、测试计划制定、用例设计、测试执行、用例维护、过程风险控制等；3、完成对产品的集成测试和系统功能测试；4、负责对软件质量问题进行跟踪分析和报告，推动测试中发现问题及时合理地解决。任职资格：1、2年及以上APP/Web软件测试工作经验，有规范的测试流程；2、测试理论基础扎实，熟练掌握测试用例设计方法；3、能独立进行测试用例的设计和评审，补充和维护测试用例文档，落实执行；4、细致有耐心，责任心强，能独立完成测试工作，有良好的学习能力和沟通能力，强抗压，强执行力；有较好的文档编写能力；5、熟悉Charles、Fiddler等测试工具；熟悉编程语言Java、Python、自动化能力者、有政府行业经验者优先。6、能接受短期出差；职能类别：功能测试微信分享
软件测试中级工程师（周末双休）,15000.0,10000.0,先烈中路102号华盛大厦2111,广州-越秀区,大专,无,1、负责平台管理系统、PC端等产品的功能测试及专项测试；2、负责根据需求完成测试计划及测试用例的编写；3、负责根据测试用例进行测试执行工作，实施接口和功能测试，记录缺陷并跟进处理情况，协助开发人员定位问题；4、参与产品需求讨论、设计评审，在各环节与开发、产品等成员积极有效沟通，推动问题解决，保证产品质量。岗位要求：1、专科及以上学历，计算机或相关专业；2、掌握测试基本理论、技术与流程；3、能够熟练使用常用的测试工具；4、至少掌握java、shell、python等语言中的一种，具有linux、mysql基础，有SQL能力；5、良好的沟通与表达能力、思路清晰，较强的动手能力与逻辑分析能力；6、有强烈的责任心，自驱力和自学能力，对技术有热情；职能类别：软件工程师关键字：软件测试测试测试工程师自动化测试功能测试性能测试软件系统测试微信分享
