company_name,max_wages,min_wages,place,place2,education,treatment,requirement
Android开发工程师,13000.0,10000.0,西御街77号,成都-青羊区,本科,"五险一金,补充医疗保险,员工旅游,年终奖金",Job Responsibilities：1. 负责Android项目的开发工作2. 参与Android项目的架构设计、方案的制定3. 参与产品需求分析并制定技术实施方案4. 跟进Android的新技术发展，撰写设计开发及实现文档5. 根据产品功能需求设计并完成软件实现Job Requirements：1. 计算机、通信、软件工程等相关专业本科及以上学历熟悉Android系统架构及framework层代码， 有3年及以上Android app开发经验熟悉掌握JAVA/JNI/C/C++编程语言，有良好的编程习惯2. 熟悉MVC/MVP/MVVM等开发框架3. 熟悉Android的Binder、AIDL机制;4. 熟悉Rxjava/Retrofit/Router/EventBus/RxBus/GreenDao/Room等其中1个或多个框架的自定义和使用5. 有组件化/插件化开发经验优先考虑6. 有android app cpu/memory/冷热启动/UI渲染等性能优先经验优先考虑7. 有车机HMI开发经验优先考虑职能类别：Android开发工程师微信分享
Android开发工程师,15000.0,10000.0,天府四街长虹科技大厦,成都-武侯区,大专,"五险一金,员工旅游,交通补贴,餐饮补贴,通讯补贴,弹性工作",职位描述：1. 学习和研究新技术以满足产品的需求，根据开发过程中的体验对产品提出改进建议。2. 负责根据模块需求，进行模块设计、编码、单元测试及设计文档的编写；3. 配合后端工程师进行系统联调。4. 负责解决产品在开发、测试及售后过程中产生的软件问题。职位要求：1. 专科及以上学历；2. 2年以上客户端开发经验，须掌握JAVA和kotlin开发语言；3. 熟悉Android SDK和NDK。熟悉Android平台体系结构，了解各版本Android SDK间的差异；4. 主导开发过2个以上安卓应用，并发布产品；5. 理解移动端体系架构，了解手机软件的调试方法和开发技巧。6. 熟悉前端框架或者跨平台框架ReactNative/jQuery/Vue/Flutter/Weex者优先。职能类别：Android开发工程师微信分享
C/C++/Android 软件开发工程师（汽车电子行业）,10000.0,16666.0,成都市高新区拓新东街81号天府软件园C11栋3F,成都,招3人,"专业培训,定期体检,员工旅游,出国机会,餐饮补贴,周末双休,带薪年假,奖金福利完善,环境氛围佳,五险一金商保",车载应用软件开发任职资格：1. 学历本科及以上，理工科院校计算机相关专业；2. 3年左右工作经验；3. 熟练掌握C/C++，理解设计模式，能够灵活运用STL/BOOST等相关基础库；4. 熟练掌握Android JAVA/JNI应用开发与调试，熟悉Android系统框架；5. 熟练掌握多线程编程方法以及了解操作系统基本原理；6. 熟悉软件开发流程，具备软件开发文档编写能力，能独立负责模块设计；7. 对技术有热情，至少在某一领域有深入研究；8. 了解Java/Python/Shell等编程语言；9. 熟悉汇编语言，有相关调试经验者优先；10. 具备嵌入式系统Linux或者Android、QT开发经验者优先；11. 车载多媒体、导航开发经验者优先。12. 英语CET4及以上。职能类别：软件工程师高级软件工程师关键字：CC++Java微信分享
Android开发工程师 (职位编号：004),15000.0,11000.0,天府大道,成都-高新区,大专,无,岗位职责：1、负责 Android 手机客户端软件的技术设计和开发；2、负责针对其他Android应用的逆向分析工作；5、遵守开发规范，按时完成开发任务，保证代码质量解决 Android 端上的复杂疑难问题；6、参与产品调研，需求讨论，方案设计；7、负责移动平台新技术研究、功能扩展，现有开发方法的改进任职要求：1、大专及以上学历，3 年左右安卓APP开发经验，具备扎实的Java编程基础;2、熟练使用 Android Studio 开发工具进行项目开发并熟练Android SDK；3、熟练掌握 Android 中界面绘制，后台运行，数据存储等的原理；4、能熟练操作 SQLite 数据库，能够对 App 进行性能调优，掌握 Android 常用组件；5、精通Android的事件传递、自定义控件、动画、网络通信等；6、能够了解部分 Framework 底层框架和源码，熟练进行 APK 打包，API 封装；8、有良好的团队合作能力，善于沟通，工作自主驱动，对新技术敏感，乐于尝试，勇于挑战；职能类别：Android开发工程师移动开发工程师微信分享
Android开发工程师-汽车事业部（代招）,12000.0,8000.0,成华区迎晖路194号成兴运业大楼2楼,成都-成华区,无,"五险,弹性工作,节日福利,绩效奖金,专业培训","1、对公司现有产品升级维护，进行功能模块的代码编写和测试；2、完成软件开发相关设计文档，具备一定的文件编写能力；3、及时解决软件相关问题，保证软件的稳定性；4、根据产品需求完成Android客户端软件高质量编码、测试和发布工作；5、负责公司Android移动客户端等软件的开发及维护；6、负责核心框架功能的设计和开发、负责Android应用的整体性能优化；岗位要求：1、1年以上android应用开发经验；2、熟悉android应用开发SDK，熟悉android应用开发主流技术；3、熟练掌握Android网络通信，对Socket通信、TCP/IP和HTTP有效深刻的理解，有网络编程经验优先；4、对android应用UI优化、省电优化、网络优化有较深入了解者优先；5、具备良好的沟通能力、主动推动能力和团队合作精神；6、有良好的编程习惯,代码结构清晰,命名规范。7、熟悉屏幕适配方案，有过屏幕适配经验优先。8、有地图相关经验优先。职能类别：Android开发工程师关键字：android开发安卓软件开发微信分享"
Android开发工程师,12000.0,8000.0,茂业中心C座2501,成都-高新区,本科,"股票期权,五险一金,补充医疗保险,补充公积金,员工旅游,交通补贴,弹性工作,绩效奖金,周末双休,高薪",1、负责公司产品的Android客户端及微信小程序开发和持续升级；2、实现产品提出的需求，按照设计师的设计实现UI；3、参与需求分析、系统设计、参与项目的编程、调试、优化工作；4、编写相关技术文档；5、根据业务变化，不断改善升级产品，保证系统的性能、稳定性及可靠性岗位条件：1、1年及以上Android开发经验，有微信小程序和H5开发经验优先；2、熟练使用Android的基本组件，及扎实的Java语言基础；3、熟练掌握HTTP、TCP/IP等网络协议，及数据结构、操作系统原理等基础知识理论，熟悉多线程、sqlite数据库等；4、熟悉各手机平台的机型差异和调校适配；5、良好的团队合作能力、沟通能力，严谨的工作态度与高质量意识，良好的抗压能力。职能类别：Android开发工程师关键字：android安卓安卓开发android开发开发微信分享
Android开发工程师,10000.0,6000.0,德商国际B座1005,成都-高新区,大专,"五险一金,补充医疗保险,绩效奖金,年终奖金,节日福利,周末双休","1、  独立完成相应模块的设计、开发、技术文档撰写工作；2、 负责持续优化相关项目的质量,性能，用户体验；3、 对开发出来的程序进行单元测试与交叉测试；4、 对进行中的项目及有待解决的问题定期向上级汇报。岗位要求：1、大学专科及以上学历，计算机、软件工程等相关专业。2、1年以上Android平台开发经验，深入了解android平台内存管理机制、进程管理机制、任务管理机制。熟悉安卓底层串口、安卓设备集成的硬件模块MDM管控开发；3、有扎实的Java语言基础，熟悉Java多线程开发，熟悉常用的设计模式；4、有着规范的软件开发过程的能力，具有规范的设计，编码，开发文档写作能力；5、工作踏实认真，思路清晰，善于思考，有良好的学习能力、团队合作精；职能类别：Android开发工程师关键字：android安卓开发软件开发微信分享"
Android开发工程师,12000.0,8000.0,高新区天府四街300号财智中心6栋B座15楼南,成都,本科,"五险一金,交通补贴,绩效奖金,年终奖金,通讯补贴,餐饮补贴,员工旅游,13薪",一、岗位职责：1、参与Android软件的需求调研和需求分析，撰写部分技术文档；2、参与应用架构设计、开发、性能优化等工作；3、负责Android软件的开发、测试和维护；4、负责解决开发过程中的Android技术问题；5、持续不断的改进用户体验，负责相关新技术新架构的实现。二、任职要求：1、计算机或相关专业，2年以上Android项目开发经验；2、熟练使用各种UI组件实现UI效果并确保性能；3、熟练调试、编译、打包等流程；4、熟悉Android第三方OKHttp、Retrofit、RxJava、Glide、GreenDao、EventBus等主流框架；5、有较强的独立工作能力，熟悉Android各版本的适配与系统兼容；6、熟悉Java设计模式、多线程并发、网络编程，有良好的编程习惯和面向对象编程思想。具有以下条件者优先考虑:1、独立承担过项目架构设计者优先；2、有性能优化、具备插件化、热更新使用经验者优先考虑；3、有实际flutter开发经验；4、有IOS移动端开发经验者优先。三、福利待遇：1、工作时间：周末双休（朝九晚五点半，工作7小时，中午休息1.5小时），诗和远方的时间给你留着！2、节假日：除法定节假日外，三八、六一节等也有活动；春节假期十多天！3、年假无上限：入职满一年，增加一天哦！4、五险一金：必须买，入职就购买！5、下午茶：定期下午茶，放松心情，才能提高工作效率！6、旅游：公司会不定期进行团建以及年终旅游，公司买单，你只管放松心情，享受慢生活！7、其他福利：绩效奖金、车补、餐补、话补、生日礼金、节日礼品、年终奖等！职能类别：Android开发工程师微信分享
Android 高级开发软件工程师,15000.0,8000.0,银沙路8号,成都-金牛区,大专,"五险一金,餐饮补贴,交通补贴,绩效奖金","岗位职责：1.负责Android 系统层级的application & framework的需求分析, 开发维护,性能调优.2.负责系统层级application客户端问题分析,客制化的实现.3. 负责团队代码设计的评审, 能够及时分享相关技术细节, 帮助团队技术能力提升岗位要求：1.计算机、通讯、网络相关专业大专学历, 3年以上软件开发经验2.具备良好的逻辑思维能力, 对手机系统层级各部分有良好的认识, 对操作系统到应用各部分的分层协作有完整认识.3.熟悉手机应用开发, Java语言掌握度高, 有丰富android 开发经验. 有系统层级应用开发经验尤佳,有以下经验优先Telephony应用开发经验.如 phone, contacts.Connectivity 应用开发经验,如Wifi/BT/NFC相关具有多媒体应用开发经验者以及熟悉多媒体领域知识应用权限相关开发经验其他与芯片硬件直接相关的应用开发经验.工作认真细致,主动性强,责任心强,有较高独立工作能力, 能承受工作压力.具有良好的沟通能力, 协调能力, 能够作为团队中核心成员带领团队完成交付任务.能够服从工作安排，具有良好的沟通，协调能力以及优秀的团队协作能力；职能类别：Android开发工程师微信分享"
Android开发工程师,20000.0,12000.0,交子大道中航国际广场A座5A层,成都-高新区,本科,"五险一金,年终奖金,弹性工作,专业培训,免费班车,员工旅游,绩效奖金,定期体检",岗位职责：1、负责手机原生系统软件的开发，维护。2、负责新款手机的软件开发与维护。任职要求：满足下面的1个条件即可1.熟悉Android Framework层开发，有手机性能优化系统经验、熟悉应用管理、内存优化、包大小优化；2.熟悉CTS/VTS/BTS/GTS/GMS等手机认证测试；3.熟练分析三方应用兼容性问题分析流程和思路；4.针对手机的功耗管理和服务有较深入了解；5.解决手机稳定性测试问题，能解决手机变慢等问题；6.本科及以上学历，计算机相关专业。技能要求：Android、Android NDK、Android Framework、react-native 、Android UI负责手机Android模块的开发，熟悉Android Framework层和UI模块的开发职能类别：Android开发工程师移动开发工程师微信分享
