company_name,max_wages,min_wages,place,place2,education,treatment,requirement
应用软件开发工程师（JAVA）,15000.0,10000.0,益州大道北段777号中航国际交流中心,成都-高新区,本科,"五险一金,交通补贴,年终奖金,餐饮补贴,通讯补贴,专业培训,补充医疗保险,定期体检",职位描述：1.根据设计文档、进度安排和编码规范实现软件开发，对平台的其他模块进行代码审核；2.参与系统的概要设计，参与设计文档的编写；3.参与相关模块的设计文档审核及评审；4.参与集成测试方案、集成测试用例的设计和实现，对负责的模块软件进行单元测试，并修改测试中发现的bug；5.对客户进行技术支持，及时有效解决客户问题，为客户的具体应用提供相应的建议；6.参与产品/项目的需求分析、需求评审，收集市场、客户需求，为产品的总体规划提供资料。;任职资格:1.***本科及以上学历，计算机相关专业；2.具备2年及以上软件开发相关经验；3.精通SpringBoot、SpringCloud、Hibernate、SpringMvc等技术；4.熟悉关系数据库系统Oracle，MySQL，PostgreSQL；5.具备编写需求、设计、使用说明等常见软件工程文档能力；6.具备良好的沟通表达能力、责任心和团队协作能力，能接受出差。;职能类别：Java开发工程师微信分享
JAVA初级软件开发工程师,8000.0,6000.0,高朋大道3号东方希望大厦A座,成都-高新区,本科,"周末双休,五险一金,带薪年假,健康福利,员工旅游,通讯补贴","一、岗位职责：1.参与应用系统开发、测试、交付过程，并按规范编写相关文档。2.根据设计完成开发，单元测试及规范的成果交付。3.参与项目组的内部培训计划。二、任职要求:1.英语有熟练的读写能力,具备听说能力者优先。2.计算机相关专业本科及以上学历。3.熟悉J2EE相关技术，了解主流的Web后端开发框架。4.熟悉使用JavaScript，了解主流的前端开发框架。5.有Weblogic或Websphere等应用服务器使用经历优先。6.熟练书写SQL语句,有Oracle相关使用经历优先。7.能够熟练使用开发工具。8.思维活跃,具有良好的工作态度和团队合作意识,能承受较大的工作压力,有意愿从事金融行业软件的开发。三、公司福利：1.缴纳五险一金；公积金缴费比例12%。2.国家法定节假日、朝九晚六、周末双休，超时工作根据不同情况都有相应的补偿措施。3.全面覆盖的带薪假政策，包括不仅限于带薪年假、带薪病假。4.项目奖金、员工活动、员工旅游。5.健康资金、学习培训机会等。职能类别：Java开发工程师微信分享"
JAVA后端开发工程师,12000.0,8000.0,426号上层建筑A座19楼,成都-金牛区,本科,"周末双休,带薪年假,五险一金,绩效奖金,餐饮补贴,高温补贴,节日福利,定期体检","JAVA后端开发工程师岗位要求：1. 本科以上学历，计算机相关专业优先；2. 3年以上Java开发经验，熟练掌握Java编程语言；3. 能充分利用Java语言特性，熟练Spring等常用开发框架；4. 深入了解面向对象编程，熟悉JVM、多线程、网络编程、设计模式、分布式、缓存、消息队列等机制；5. 熟悉数据库应用，懂得sql性能优化；6. 工作积极主动，具有强烈的责任心、事业心，具有良好的沟通能力、团队配合精神；8. 有大型项目开发,或带团队经验优先。岗位职责：1、按照项目需求，进行JAVA软件开发；2、根据项目开发规范与流程，完成软件编码、单元测试及相关文档；3、对所负责模块的代码质量与程序稳定性负责；4、与项目团队保持良好的沟通和协作，保证各项工作稳定开展。职能类别：Java开发工程师关键字：java开发微信分享"
Java开发工程师,20000.0,10000.0,天越宽窄巷子·国际公馆,成都-青羊区,大专,"五险一金,员工旅游,专业培训,补充医疗保险,绩效奖金","1.熟练使用各大框架；2.熟练Java语言，精通jsp、servlet、jdbc开发，熟悉J2EE规范；3.熟悉linux常用命令，会使用SVN、Maven、Git等管理工具；4.熟悉常用Nosql数据库,例如:redis,并熟悉其中存在的技术陷阱5.熟悉自动化构建Jenkins；6.熟悉Apahce、Nginx、Tomcat等Web Server；7.熟悉Restful风格接口；8.熟练使用springboot，springcloud，spring，spring mvc等常用框架9.熟练使用消息队列如ActiveMQ，Rocketmq,Rabbitmq等常用技术10.能力强者学历可放宽。11.有sass系统开发者优先。职能类别：软件工程师关键字：java高级软件软件工程师java高级开发微信分享"
Java开发工程师,16000.0,8000.0,三色路199号五冶大厦A2-601,成都-锦江区,大专,"五险,补充医疗保险,年终奖金,项目奖励","1. 职位描述1) 与项目经理沟通和确认整个需求和实现方法。2) 主导完成技术方案设计、负责核心代码开发，确保技术方案有效落地。3) 与产品、测试和运维人员紧密配合，通过快速迭代交付高质量的产品；4) 与前端或移动端开发工程师协作，完成各种数据交互。解决项目中遇到的各种难点问题，指导初级员工开发工作。2. 任职要求1) 本科及以上学历，计算机或相关专业，3年以上JAVA后台开发经验；2) 具有良好的设计思维，能够高效地提供安全、高性能、可扩展的技术方案；3) 对新技术充满热情，积极学习，具有高度的责任心以及良好的团队合作精神；4) 掌握Jquery、Ext、HTML、Javascript等常用页面技术，熟悉socket通讯开发，掌握SpringMVC,Struts,ibatis，Redis,Maven等开源框架；5) JAVA基础扎实，理解IO、多线程、集合等基础框架；6) 熟悉多线程及高性能的系统设计，有高并发后台应用的开发经验;7) 熟悉Mysql，有分布式集群数据处理经验优先；8) 有NOSQL项目经验，熟悉memcache，redis，mangodb等主流NOSQL存储开源项目；熟悉RocketMQ、EMqtt消息中间件的原理及使用经验职能类别：Java开发工程师关键字：java开发软件工程师微信分享"
JAVA后端开发工程师,15000.0,10000.0,高新区吉泰路666号福年广场T1-802,成都,本科,无,1．负责后端接口的设计、开发与维护工作；2．负责相关业务、算法等处理；任职要求：1．2年以上JAVA开发经验，掌握Maven，SpringBoot；2．开发基础扎实，熟悉前后端分离开发；3．掌握MySQL，Redis的使用；4．熟悉常用数据结构、算法，对图形处理有一定了解；5．对前端有一定了解；职能类别：Java开发工程师微信分享
Java开发工程师,15000.0,10000.0,高新区益州大道中段1800号天府软件园G区4栋2楼,成都-高新区,本科,"员工旅游,交通补贴,餐饮补贴,年终奖金",岗位职责：1.能够独立完成需求分析、设计，并能够完成核心模块代码编写，确保技术方案能够按计划、高质量交付；2.具有一定技术架构思维，确保设计的技术方案、输出代码具有较高质量、性能、可扩展性、前瞻性等；3.对现有产品提出优化建议及解决方案；4.快速定位问题并主导问题的解决。任职要求：1.三年以上java研发实际工作经验；2.熟练使用spring boot、springMVC等主流开源框架，熟练使用mongodb数据库进行复杂的查询；3.熟悉并发处理及网络编程；4.熟悉:Linux环境及基本命令操作；5.具有良好的文档撰写能力和编码规范，熟悉软件开发规范与流程；6.具备良好的沟通能力、学习能力、团队精神，能承受工作压力；7.有设备网络管理，虚拟化网络管理，SDN控制器开发经验者优先。职能类别：Java开发工程师微信分享
Java开发工程师,15000.0,8000.0,四川省成都市西御河沿街33号房管局房产分中心C区4楼412室（天府博览中心楼上）,成都-青羊区,本科,"五险一金,节日福利,周末双休,定期体检,年终奖金,团队建设基金,弹性工作,带薪年假,餐饮补贴",职责描述1.掌握java B/S架构系统设计和开发。2.熟练掌握oracle、mysql、redis等数据库开发技术.3.熟练掌握MVC架构体系4.能够熟练使用Spring、SrpingMVC、SpringBoot、Mybatis、kafka等开源框架5.理解并能熟练使用基于SpringCloud进行分布式微服务架构快速开发6.理解并能熟练使用vue、node.js等前端框架7.掌握主流的JS库和开发框架，如React、Vue等，并深入理解其设计原理；bootstrap、iView、elementUI等ui库以及echarts、Hicharts图表数据统计，参与过数据可视化项目8.精通HTML5、CSS3、JS等前端开发技术及相关机制、原理9.态度端正、学习能力强、服从团队管理职位要求:1.协助技术经理完成相关系统设计工作。2. 独立完成技术经理分配的相关研发工作。3.参与项目技术疑难问题的研究工作。职能类别：Java开发工程师微信分享
Java软件开发工程师（中级）,8333.0,14000.0,天府软件园A5副楼309,成都-高新区,大专,"周末双休,节日福利,六险一金,通讯补助,绩效奖金,项目提成,创业公司",岗位职责：1. 参与了解产品、项目的需求分析及系统设计，独立负责后端系统模块的研发；2. 参与到产品运营中的系统运维工作以及需求的迭代开发；3. 及时发现系统运行过程中的问题，分析其成因，并提出解决方案；4. 编制相关技术文档。岗位要求：1.计算机、软件、信息管理、电子相关专业大学大专及以上学历；至少3年以上Java软件开发工作经验；2.精通java，熟练掌握SpringBoot技术栈；3.熟悉使用Oracle、MySQL、PostgreSQL等关系型数据库，熟练掌握数据库编程技术；4.具备前端（Vue技术栈）开发能力者优先；5.掌握时序数据库（如TimescaleDB）技术优先；6.熟悉大数据存储技术（如Elasticsearch）优先；7.熟悉国产服务器操作系统部署方法、有国产数据库（如达梦、人大金仓等）开发经验的优先8.具有较强的问题分析能力和沟通协调能力；9.具有较强的开发和设计能力，能快速转化产品需求，给出技术解决方案；10.具有较强的信息安全意识；10.具备服务意识，为人诚实正直，做事严谨认真细致，有责任心；职能类别：Java开发工程师关键字：java软件开发软件工程师开发工程师微信分享
Java开发工程师-005,15000.0,10000.0,成都市双流区新川路超图成都大厦6楼,成都-双流区,本科,"五险一金,补充医疗保险,股票期权,交通补贴,通讯补贴,专业培训",1、负责iServerV9项目模块设计、代码编写和单元测试案例编写工作2、负责iServerVX历史版本维护工作，包括代码质量改进与缺陷修改3、负责重点模块技术攻关4、技术方案文档的编写与宣贯5、技术技术预研选型岗位描述：1、本科以上学历2、2年以上工作经验3、有较强的责任心、良好的心理素质、团队协作和沟通能力，主动性强、有敬业精神，勇于面对困难和接受挑战；4、熟悉JAVA基础知识，熟练掌握多线程编程和性能调优相关技能5、了解不少于一种NoSQL数据库、了解不少于一种内存数据库职能类别：软件工程师微信分享
