company_name,max_wages,min_wages,place,place2,education,treatment,requirement
数据分析师,20000.0,15000.0,航天科技大厦,成都-青羊区,大专,"专业培训,出国机会,年终奖金,五险一金,周末双休",岗位要求：1、具有逻辑思维能力、判断与决策能力、计划与执行能力；2、较强的学习能力，可以工作中的核心要点；3、开朗、自信，能够承受较大压力，思维敏捷，行动迅速；岗位职责：1、负责辅助经理编制内的公司资金使用计划，有效管理好公司给予的资金；2、辅助分析师分析和研究各项项目；3、做好资金风控管理；4、完成上级领导交办的其他专项工作。工作时间：周一至周五，上午10：00—下午17:00，午休一个半小时，周末双休。国家法定节假日正常放假。福利待遇：（一）薪资待遇1、入职后薪资结构主要为底薪加提成，公司奉行能者多得的原则，薪资收入没有上限。2、有能力的人才月入轻松过万，特殊人才薪资待遇另行面议。（二）福利待遇：1、入职购买社保，提供丰厚的节日福利和补贴等，定期不定期举行团建聚餐等活动，让员工劳逸结合。2、支持各类人才进一步学习创新，考取各类证件，合适人才将会报销其相关费用，并可为大四学生提供实习证明。3、对于优秀人才，公司每年都提供海外学习交流的机会。！！ 公司广招人才 更看重的还是个人学习能力还有后期工作能力，对于学历都是放宽要求，后期入职还是择优录取~！ 不是死板的只招 研究生 硕士岗位！有能力的公司都愿意培养！公司目前人员 研究生 博士 海外留学 学历的工作者都有 优秀的大专生 本科生都有！如果只找 研究生 博士 高学历工作并且看不起 专科和本科学历的人勿投！！职能类别：证券/期货/外汇经纪人关键字：金融分析微信分享
高级数据分析师,20000.0,15000.0,德商国际B座九楼,成都-武侯区,本科,"五险一金,绩效奖金,专业培训",岗位职责：1、深入理解各业务，根据业务价值、定位，建立合理的指标体系（数据建模），包括但不限于：运营业务的数据分析模型，业务量预测模型等。并对日常、大促业务量进行有效预测，并持续优化、维护。2、结合行业特点及公司运营情况进行行业运营分析，输出贴合行业定义数据指标及相关分析。3、负责日常业务数据分析，快速定位和分析问题，给出有效分析结论。公司核心项目数据支持，对于相关指标予以监控、分析。4、根据业务部门需求，进行数据报表开发，提高业务部门数据获取效率。5、快速响应上级需求，并根据数据洞察给出合理建议，为决策提供有效支持。任职要求：1.理工类专业，统计学、数学、计算机、应用数学等相关专业优先。2.熟悉预测模型，对于统计分析、数据分析相关理论和方法比较熟悉。3.熟练使用数据库系统，熟练使用HIVE/SQL处理大数据。4.熟练掌握数据分析工具，如R、Python；有数据建模经验，熟悉关联分析，回归分析，聚类分析等理论和算法。5.对于电商行业的数据有比较深刻的理解，对于客户体验类数据有独到见解。6.良好的分析报告输出能力，良好的语言表达能力。职能类别：数据分析师关键字：数据分析师数据挖掘数据处理数据微信分享
风控数据分析师,12000.0,8000.0,德商国际B座1005,成都-高新区,本科,"五险一金,补充医疗保险,绩效奖金,年终奖金,节日福利,周末双休",1、负责日常业务的风险数据分析，通过海量数据提取特征，检测异常；2、负责信用评分卡、用户画像、风控规则及相关模型的构建、维护、部署和评估；3、负责数据的清洗、处理和挖掘，并持续迭代优化风控规则、信用模型等；4、追踪业务相关指标、交易风险指标、商户风险指标，通过数据分析，洞察业务风险，提供策略基础。任职要求：1、统招本科及以上学历，数学、统计、计算机等相关专业；2、3年以上数据分析、建模等相关工作经验，有消费分期风控或海量数据处理、分析、挖掘相关工作经验者优先；3、精通SQL，并至少熟悉SAS/R/PYTHON等一种以上语言；4、对风控数据分析有兴趣，有较强的洞察力、逻辑分析能力、工作严谨、认真负责。职能类别：数据分析师关键字：数据分析大数据微信分享
大数据分析师,15000.0,10000.0,成都国际科技节能大厦,成都,本科,"五险一金,餐饮补贴,通讯补贴,年终奖金,定期体检",岗位职责：1.	分析客户需求，理解客户业务2.	负责对数据进行深度分析和挖掘，创建大数据分析流程，进行数据探索分析，构建分析模型为优化产品的设计提供数据支持3.	运营分析，输出业务分析报告，对业务问题进行深入分析，为公司运营决策、产品方向、销售策略提供数据支持4.	探索行业发展趋势，跟踪数据挖掘和数据分析领域的技术发展方向，共享研究成果任职条件：1.	本科及以上学历，两年以上工作经验2.	有完整的业务分析建模实践3.	有较强的数理统计基础，熟悉常用的统计分析与数据挖掘的算法及其业务应用4.	精通数据统计分析和数据挖掘算法及其原理；能熟练运用主流数据分析软件工具至少一种5.	对各种数据敏感，且有判断能力6.	能够乐于创新，勇于面对压力和挑战，善于团队合作7.	具备诚实、勤奋、严谨、坚韧、乐观的良好品性职能类别：其他微信分享
采购数据分析师,15000.0,10000.0,武侯区长华路19号万科汇智中心6楼,成都-武侯区,本科,"绩效奖金,全勤奖,节日福利,入职购买五险,大小休","岗位职责：1、通过信息技术、各个网站及市场真实情况收集市场主流的供应商的产品价格数据;对比分析产品价格浮动因素,为产品定价,采购、运营提供支撑;2、制定每周,每月的工作报表,友商价格差异报表;3、结合公司利润与业务发展,参与制定营销策略、广告策略、产品策略；4、跟踪和接收一线业务部门反馈的产品投放效果,进行数据分析与撰写报告;5、通过各大平台及信息，研究行业发展动态,定期进行各品牌体系新产品数据调查,进行数据分析与撰写报告，为产品更新提供建议;6、根据业务部门提供的客户购买信息,制定不同的采购策略;任职要求：1、本科及以上学历，食品研究、统计学等相关专业；2、 3-5年以上相关岗位工作经验，有数据挖掘分析经验优先；3、 熟悉数据分析方法和思路，具备独立完成分析报告的能力；4、具有良好的条理性、逻辑分析能力和数据处理能力；5、 熟练掌握MySQL，精通EXCEL，PPT，能利用python进行数据分析和处理优先；6、 具备敏锐的数据洞察力和市场洞察力；7、责任心较强，学习能力较强。职能类别：数据分析经理/主管微信分享"
数据分析师,15000.0,6000.0,凯德广场金库一单元930,成都-成华区,大专,"餐饮补贴,五险,全勤奖,做五休二,带薪年假",工作职责：1.数据监控，统计和出分析报告。2.产品数据收集3.产品数据的评估为业务部门提供数据支持任职资格：1.大专及以上学历2.有线上数据分析3年以上工作经验3.有很强的数据分析能力职能类别：数据分析师关键字：数据处理微信分享
大气环境环境数据分析师,15000.0,10000.0,成龙大道二段总部经济港F5栋,成都-龙泉驿区,本科,"五险一金,弹性工作",岗位职责：1、区域和城市空气质量分析研判指导，能负责公司咨询项目的现场支持2、根据已有公司数据以及气象数据，进行污染过程成因与来源等应急分析3、编写日常大气/环境分析报告，结合现场问题对可以污染源进行分析研判3、完成环保局要求的分析报告、交办单等任职要求：1、本科及以上，大气科学（大气环境方向）、污染气象学、环境科学、环境工程等相关专业2、具有大气污染特征、天气形式分析相关研究经验3、具有良好的洞察力和分析能力，应变能力强3、熟悉python、matlab5、能适应短期驻场（成都市内）职能类别：数据分析师微信分享
大数据分析师,12000.0,8000.0,人民东路61号仁和春天大厦12F,成都-锦江区,本科,"带薪年假,五险一金,绩效奖金,全勤奖,专业培训,年终奖金,员工旅游",1、有较强的python代码能力，能熟练使用python进行数据分析（包括但不限于pandas，numpy，matplotlib的使用）；2、数据采集：使用python进行爬虫，了解多种网络反爬机制及应对措施（重要）。3、熟悉sql语言。4、有较好的统计学知识储备。5、有扎实的excel功底。6、有机器学习基本算法功底更优职能类别：数据分析师微信分享
数据分析师+双休+底薪5K+,10000.0,8000.0,环球中心W5写字楼11L,成都-高新区,大专,无,1. 编制计划，设计模型和系统。2. 为公司账户提供信息，制定方案。3. 执行，评估和提升运营策略，研究行情波动。任职要求：1. 与金融行业有一定接触，能够有能力独立进行市场研判和行情分析。2. 对金融行业有一定兴趣，具备学习能力，能够快速分析和理解新的概念和理念。3. 操作，管理或投资过金融产品者优先。4.大专以上学历相关说明：1. 岗位主要从事技术性工作，无销售性质2. 工作时间上午9：30-6：30福利待遇：1. 公司定期团建，出游，提倡劳逸结合。2. 节假日正常放假，周末双休。职能类别：数据分析师其他关键字：数据分析大数据数据处理微信分享
数据分析师（HR方向）,8000.0,5000.0,高新综合保税区（双流园区）综保大道168号,成都-双流区,本科,"五险一金,绩效奖金,年终奖金,补充医疗保险,加班工资,提供宿舍",工作内容：1.负责招聘数据收集、分析、预测等；2.负责数据报告制作，Power BI dashboard制作及维护；3.主导/支援区域人力项目的实施及推广；4.管理、技术岗位招聘工作。任职要求：1.本科及以上学历，英语四级及以上；2.掌握Power BI/Automate等工作；3.有良好的审美、良好的逻辑能力及数据处理能力职能类别：数据分析师关键字：数据微信分享
