company_name,max_wages,min_wages,place,place2,education,treatment,requirement
软件测试工程师,10000.0,6000.0,青羊区,成都-青羊区,大专,"五险一金,补充医疗保险,绩效奖金",1.根据需求进行测试设计及测试用例的编写，负责功能测试接口测试等；2.负责对软件产品进行功能测试，协助解决发现问题，保证软件质量；3.2年以上软件测试经验，熟悉整个测试流程；4.对Android、iOS、小程序，Web等不同架构的产品进行功能，性能以及兼容性测试；5.积极与工程师沟通，共同完成项目高质量上线。岗位要求1.计算机软件相关专业，2年以上测试或开发经验；2.有较强学习能力，能够独立协助开发进行BUG定位；3.具有良好沟通能力、学习能力、善于团队合作；4.工作积极主动，执行力强。职能类别：软件测试工程师软件工程师微信分享
软件测试工程师,8500.0,5500.0,成都市高新区天华二路219号天府软件园C区12栋4层,成都-高新区,本科,"五险一金,专业培训,节日福利,周末双休,定期体检,年终奖金,团队建设基金",岗位职责：1、制定测试计划，保证产品测试工作的计划性与规范性；2、编写测试用例，设计测试数据及预期结果，确保测试的完备性；3、根据产品特点和测试要求搭建测试环境，执行测试用例，记录测试结果；4、跟踪研发人员对测试缺陷的修改进度，并负责回归测试；5、输出测试报告和质量分析，保证交付质量。岗位要求：1、计算机相关专业，本科及以上学历；2、至少2年以上B/S系统测试经验，熟悉数据库系统；3、会使用qtp、lr等工具辅助测试，熟悉一种性能测试工具优先；4、熟悉测试流程，有良好的软件工程知识和质量意识；5、思维缜密，认真细致，对软件缺陷有敏锐的洞察力；6、沟通能力强，为人诚信，有高度的责任心和团队合作精神；7、有自动化测试经验者优先考虑。职能类别：软件测试工程师微信分享
软件测试工程师,7000.0,5000.0,高新区中海国际中心,成都-高新区,大专,"五险一金,绩效奖金,定期体检,周末双休,专业培训,年终奖金",【工作内容】1、制定测试计划和测试策略，对各个项目关键点进行重点分析，有效保证产品线质量；2、快速深入理解产品需求，设计、编写测试用例及测试执行，及时反馈bug信息；3、跟踪定位客户反馈问题，支撑团队快速做出响应。【岗位要求】1. 3年以上测试经验，包含1年以上接口测试经验；2. 熟悉Postman，jmeter，loadrunner等测试工具，了解自动化测试框架；3. 熟悉Linux操作系统，熟悉mysql/mongo数据库 ；4. 熟悉软件开发过程，精通测试方案和用例设计、接口测试、系统性能测试方法；5. 有较强的沟通能力、协调能力、分析问题能力和文字表达能力，责任感强，有良好的团队意识和抗压能力。职能类别：软件测试工程师关键字：接口测试微信分享
中级软件测试工程师,15000.0,10000.0,天府二街蜀都中心1期2栋1706,成都-高新区,本科,无,职位信息：1、 公司小程序和管理web后台的手工测试与自动化测试工作；2、 根据产品需求撰写测试计划，并完成测试报告；3、 利用工具定位缺陷原因，协助开发解决问题；任职资格：1、 统招本科及以上学历，英语CET42、 2年及以上相关app测试工作经验3、 熟练使用抓包工具，如Charles、Fiddler、Wireshark（会使用其中一项即可）4、 熟悉MySQL数据库增删改查等5、 会用常用测试工具、如Jmeter、Postman（会使用其中一项即可）福利：社保公积金、年终奖、下午茶、节日福利上班时间：9：00—18：30 午休1个半小时，周末大小休职能类别：软件工程师微信分享
软件测试工程师,8000.0,6000.0,成都高新区天府大道北段环球中心E2-9-906,成都-高新区,大专,"五险一金,交通补贴,餐饮补贴,通讯补贴,专业培训,绩效奖金,年终奖金,补充医疗保险",岗位职责：1、负责根据产品需求设计测试方案、测试用例、并执行测试用例；2、按照业务需求，制定测试计划和测试方法，完成测试任务；3、负责自动化测试工作，解决测试过程中的复杂技术问题；4、根据服务过程中发现的问题以及客户反馈的情况，提出改进方法及合理化建议。任职要求：1、掌握基本的软件测试理论，熟悉软件测试的基本方法、流程和规范；2、熟悉功能、性能等方面的测试；3、熟练运用各种黑盒测试用例设计方法；4、能够根据项目需求，编写测试方案、测试计划、测试用例，执行测试并跟踪测试结果；5、熟悉Windows、Linux，MSSQL、Oracle等，以及主流的编程语言，具备一定的测试环境搭建能力；6、熟悉接口测试、自动化测试、性能测试，至少熟练操作Jemeter 、Loadrunner工具的使用；7、至少熟悉一门脚本编程语言（shell或python等），实现产品自动化测试；8、不低于两年的软件测试经验。职能类别：软件测试工程师微信分享
软件测试工程师,10000.0,6000.0,成都市高新区拓新东街81号天府软件园C11栋3F,成都,本科,"五险一金,员工旅游,绩效奖金,定期体检,餐饮补贴,年终奖金,专业培训,出国机会,周末双休,带薪年假",1、负责嵌入式产品软件的工程测试，密切与软体工程师，PM合作，产品开发工程中，进行软件的开发测试；2、负责制定软件新功能的Test Plan和Test Case；3、分析Beta User以及内部测试发现的BUG，进行分析过滤并协助SE定位root cause；4、协助复制用户回报的问题，并分析处理并对测试计划进行相应改善；5、使用内部工具分析BUG，初步定位问题原因。任职资格：1、3年左右软件测试相关工作经验；2、计算机，软件工程，通信，电子等相关专业；3、会Perl或Python脚本语言者优先；；4、具备一定ARM嵌入式平台的软硬件知识；5、有一定医疗相关项目或蓝牙相关项目经验者优先；6、有树莓派的使用经验优先。职能类别：自动化测试关键字：软件测试自动化测试功能测试微信分享
软件测试工程师,8000.0,6000.0,成都市双流区商都路1138号世代积家,成都-双流区,本科,"周末双休,交通补贴,通讯补贴,绩效奖金,年终奖金,社保",1、具有3年以上的测试开发或自动化测试脚本编写经验，熟悉shell、python或者批处理命令等脚本语言，学习能力强，有独立的专研精神；2、熟悉一种或多种自动化测试框架如robotframework、unittest等，必须要有一些常用的自动化测试、接口测试工具如QTP、jmeter、selenium等其中一种或多种项目实战测试经验3、熟悉软件测试流程及相关文档的规范；工作职责:1、负责运营项目相关的业务测试2、快速深入理解产品需求，设计、编写测试用例及测试执行，能够主动协调并推进项目问题解决4、负责测试各环节测试质量的保证，并交付文档，推动产品质量的提升5、负责主要业务的接口测试工作6、跟踪定位线上问题，支撑团队快速做出响应职能类别：软件测试工程师关键字：软件测试微信分享
软件测试工程师,15000.0,10000.0,火车南站15号1栋4层（麦田中心）,成都-武侯区,本科,"五险一金,员工旅游,绩效奖金,年终奖金","职位描述：1、分析业务线产品需求，并参考技术实现方案，制定合理高效的测试方案，编写清晰的测试用例2、维护测试环境，并控制好项目测试过程和输出质量3、发现、定位、跟踪产品缺陷，协同开发工程师解决问题4、设计、编写、执行并维护自动化测试用例代码，优化测试框架职位要求：1、熟悉APP、WEB、硬件项目测试，能够独立负责项目测试和质量保障工作；2、能够参与需求评审，编写测试用例，组织项目测试，完成测试计划，负责缺陷的跟踪和管理，质量评价和反馈，问题跟踪及推动解决；3、掌握软件研发模式、测试理论、测试流程、规范、测试方法;4、掌握常用测试管理工具的使用,如Charles、GIT、JIRA、TestLink等;5、熟悉Java/Python/Go等至少一种编程语言；6、理解常见的自动化工具，掌握任一常用自动化测试框架或工具，有实际项目测试应用者优先;7、在以下测试领域(如性能、安全、自动化)等有较强专业技能者优先。职能类别：软件测试工程师微信分享"
软件测试工程师,8000.0,5000.0,天晖南街169号ACC中航城市广场A区1301,成都-武侯区,大专,"五险一金,年终奖金,弹性工作,定期体检,周末双休,员工旅游,专业培训",1、能根据入手资料（需求文档、设计文档等）编写测试用例；2、执行测试工作，提交测试报告。完整地记录测试结果，编写完整的测试报告等相关的文档；3、对测试中发现的问题进行详细分析和准确定位，与需求/开发人员讨论缺陷解决方案；4、提出对产品的进一步改进的建议，并评估改进方案是否合理；5、对测试结果进行总结与统计分析，对测试进行跟踪，并提出反馈意见；6、能编写产品使用手册，能对内外部用户，进行使用层面的培训。任职要求：1、具有2年及以上软件测试工作经验；2、了解软件开发流程，掌握常见的测试方法；3、熟悉一种以上数据库者优先考虑，如MySQL/SQL Server/Oracle；4、熟悉一种以上任务/缺陷管理系统者优先考虑，如禅道、JIRA、Redmine；5、良好的沟通能力、协作能力和学习能力，有良好的团队合作精神；6、具有团队合作精神，善于沟通交流，领悟力强；7、具备创新能力和敬业精神;8、能适应加班，能在一定压力下工作。职能类别：软件测试工程师关键字：软件测试测试测试工程师微信分享
软件测试工程师（证券）,25000.0,15000.0,高新区天府大道北段966号1号楼,成都-高新区,本科,无,工作职责:1、负责安卓、苹果手机平台下APP应用软件测试；2、协同需求，开发制订测试计划，完成测试用例；3、开展测试工作，提交测试报告，能指导其他测试工程师一起完成测试项目；4、完成公司交办的其他工作。任职资格:1、本科及以上学历，计算机、电子、软件、通信相关专业毕业；2、具有三年及以上工作经验，具备手机APP应用软件测试经验或手机测试经验，熟悉 Android，iOS系统；3、态度认真负责，工作积极主动，有团队管理经验的优先；4、熟悉金融测试，有股票、基金方面知识的优先，有电子商务行业测试经验优先；5、具有较强的解决问题能力，执行能力和分析判断能力；6、熟悉股票、基金、期货等证券交易，有证券行业测试经验优先。职能类别：软件测试工程师微信分享
