company_name,max_wages,min_wages,place,place2,education,treatment,requirement
Android开发工程师,22000.0,17000.0,生态园,深圳-南山区,本科,"五险一金,弹性工作,节假日礼品",岗位职责：1.负责Android应用的研发2.参与产品和业务相关的技术研究、架构制定、技术选型3.依据不断变化的需求和技术发展趋势，对负责的Android端应用进行技术优化和改进任职要求：1.两年以上Android开发经验，开发过成熟的Andriod产品；2.熟悉Android OS体系结构，熟悉Android SDK、对Android应用结构有深刻的认识，有扎实的C++和Java语言基础；3.熟悉网络编程、多线程、图形界面编程、熟悉TCP/UDP、HTTP协议；4.有以下工作经验者优先：a)熟悉NDK，JNIb)熟悉Android开发板开发、有嵌入式开发经验c)有实时视频流处理、视觉图像处理等相关经验者d)熟悉OpenGL ES或有相关经验职能类别：Android开发工程师关键字：android开发微信分享
Android开发工程师,20000.0,10000.0,南山区高新中三道9号环球数码大厦1501室,深圳-南山区,本科,"五险一金,员工旅游,专业培训,年终奖金,餐饮补贴,补充公积金,补充医疗保险,周末双休",岗位职责：1、负责Android客户端的设计、开发、及维护，为代码质量、可扩展性和可维护性负责；2、解决App运行中出现的故障和问题，同时提供性能优化、日志收集及统计分析等方案；3、编写项目相关技术规范以及项目文档；4、根据用户反馈不断提升APP的交互性，易用性；5、根据开发进度安排，在指定时间内完成本职任务；6、学习和研究新技术以满足新需求。任职资格：1、具备扎实的Java编程功底(面向对象、设计模式等)；2、具备良好的Android应用开发基础(四大组件、线程通信、进程间通信、适配、内存泄露及优化等)；3、熟悉Android下网络通信机制，对TCP/IP 和HTTP 有一定的理解；4、拥有好的代码编写习惯，结构清晰，命名规范，逻辑性强，代码冗余率低；5、能独立开发App，有成功发布App者优先。职能类别：Android开发工程师关键字：JavaTCP/IPHTTPAndroid微信分享
Android开发工程师,11000.0,9000.0,购物公园,深圳-福田区,大专,"五险一金,年终奖金,定期体检,员工旅游,周末双休,节日福利",1、大专以上学历，计算机相关专业，2年开发经验2、熟悉AndroidStudio以及Android开发平台及各版本特性，熟悉svn、git3、理解Android常用的设计模式，熟悉MVP架构，4、熟悉Android常用控件、以及开源控件的使用5、了解Http、Socket、推送等技术、第三方sdk的使用。6、熟悉App开发、测试与发布的完整流程 。7、有一定的学习能力，具备良好的分析并解决问题的能力。职能类别：软件工程师关键字：Android微信分享
android软件开发工程师/高级Android软件工程师,18000.0,15000.0,龙华区观澜高尔夫大道8号（龙华区观澜湖科技创新中心）14栋8层,深圳,本科,"出国机会,员工旅游,定期团建",岗位职责：1、编写Android手机客户端应用的相关模块以及客户端与服务器数据的交互；2、负责Android客户端的设计、开发、维护及更新；3、参与相关产品需求讨论与产品系统架构的设计和优化工作。任职要求：1、有 2 年以上 Android 平台项目开发经验;2、有扎实的 Java 语言基础；3、熟悉 Android 开发工具和相关开发测试工具的使用；4、熟悉移动终端网络编程、Socket 网络编程，熟悉等网络协议，熟悉多线程；5、较好的解决问题能力，具备较强的协调能力、团队合作精神和沟通技巧。6、有物联网、智能家居、音视频、C/C++相关经验者优先。职能类别：软件工程师移动开发工程师关键字：软件工程师app工程师安卓工程师android微信分享
Android开发工程师,15000.0,10000.0,彩田南路中深花园大厦B座2308室,深圳-福田区,大专,"五险一金,绩效奖金,交通补贴,年终奖金,专业培训,餐饮补贴,员工旅游,弹性工作,定期体检,通讯补贴","技能要求：Android，Flutter工作职责：1、按时独立完成Android系统平台上APP产品开发与维护；2、持续改进App性能、安全性、体验性、稳定性和可扩展性；3、参与Flutter混合APP开发，微信小程序开发；4、和后台开发人员协作确保产品功能的实现,负责现有产品优化；5、对代码进行单元测试与复查，对软件质量负责；6、有软件安全经验，掌握数据加密、防反编译、防破解等技术，完成APP安全检测、修复安全漏洞，保障APP顺利上线；任职要求：1、计算机或相关专业本科及以上学历；2、熟悉Android APP开发，2年以上Android原生开发经验，有实际上线产品；3、掌握JavaScript、HTML5等相关技术，熟练Flutter开发；4、为人诚实，独立开发能力强、工作积极主动、能承受工作压力；5、英语良好，有Web、APP、小程序等多端融合经验优先。智慧物管App打造房屋租赁运营管理平台，我们践行“责任、创新、共赢”的价值观，期待与您携手并进。公司福利：1、年终奖、项目奖金、全勤奖、每月绩效奖金、餐补、交通补助等2、社会保险、住房公积金齐全3、带薪年假4、工作日半小时下午茶5、节日福利等职能类别：Android开发工程师高级软件工程师关键字：AndroidFlutterJavaScript安全检查微信分享"
Android开发工程师,21000.0,15000.0,龙岗区清水路229号大邦科技园,深圳-龙岗区,大专,"五险一金,员工旅游,餐饮补贴,专业培训,出国机会,年终奖金,绩效奖金",职责描述：1、负责公司Android系统设备应用软件开发；2、负责参与需求讨论，依据项目进度与需求完成软件功能实现；3、代码维护，版本发布，Bug修改，性能优化；4、根据项目要求，撰写各种技术文档；任职要求：1、 专科及以上学历，计算机或相关专业；2、 3年以上Android应用开发经验；3、 熟练掌握Java语言，熟悉Http、数据库、串口通讯、蓝牙通信开发者优先；4、 逻辑思维能力强，具有良好的语言表达能力，有一定的文档撰写能力；5、 能吃苦耐劳，服从指挥，具有较强的团队沟通与协作能力；6、 有较强的学习能力，善于分析思考问题，有责任心、钻研精神，具有良好的团队合作精神；职能类别：Android开发工程师关键字：android安卓开发android开发微信分享
Android开发工程师,15000.0,8000.0,深圳市盐田区海山街道沙头角深盐路保发大厦5楼,深圳,大专,"五险一金,绩效奖金,包住,带薪年假,周末双休",1、负责 Android 系统整体性能优化；2、负责Android固件编译；3、负责移植车机软件，增加、优化、维护功能。任职要求：1、大专及以上学历，至少2年以上的Android开发经验2、熟悉linux下开发Android、编译Android固件2、熟悉JAVA开发，理解面向对象设计的基本原则，熟悉常用的设计模式并熟练应用Android Studio开发工具3、熟悉C/C++编程4、熟悉Java SDK Android SDK，HTTP、TCPIP通讯协议，熟悉多线程编程；5、熟悉Android开发架构和API调用，理解Android运行原理和体系架构；6、有手机存储机制、屏幕适配、自定义控件等方面的开发经验，对混合开发有一定的了解；7、了解Android不同版本及不同厂商的系统特点并友好解决兼容性问题；8、要求善于沟通，有较强的责任心、学习能力，较好的问题分析能力和独立解决问题与团队协助能力。9、有规范的编程习惯和文档编写能力，对App的性能优化方面有一定的心得。10、有音视频、808、905协议开发经验者优先职能类别：Android开发工程师关键字：安卓开发android软件开发android开发软件工程师开发工程师微信分享
Android开发工程师,20000.0,13000.0,深圳市南山区北环大道11008号 豪方天际广场写字楼33层,深圳-南山区,本科,无,工作职责：1、参与需求技术可行性分析、评审及完成需求开发；2、负责相关业务需求版本迭代；3、优化Android app性能，提升用户体验；4、负责项目架构搭建和维护，负责项目重构和组件化。任职要求:1、全日制统招本科及以上学历，实际从事android开发3年以上。2、精通Android平台技术架构，能解决重大技术疑难问题，良好的Java/Kotlin语言基础；3、具备扎实的java技术和Android性能调优经验，能独立完成Android平台软件持续集成方案和策略；4、有大型/复杂Android应用建设经验，能独立完成Android应用的技术解决方案与架构设计，掌握移动平台前沿技术；5、熟悉Retrofit网络框架，熟悉HTTP、HTTPS、TCP/IP等通信协议以及Json解析6、优秀的逻辑思维，独立思考，做实事重执行。7、有websocket实际项目经验8、有智能硬件产品开发经验职能类别：Android开发工程师关键字：android安卓安卓开发软件开发android开发开发软件工程师工程师微信分享
Android开发工程师,16000.0,10000.0,龙峰三路锦华大厦2103-2104,深圳-龙华区,大专,无,1、设计、开发Android 应用APP2、根据需求修改Android Framework层，开发Framework 层功能3、负责Android 系统在消费电子产品的移植，负责系统问题的修改任职要求：1、从事Android 开发工作1年以上2、精通Android应用的开发3、熟悉Android Framework各服务；能根据需求修改Framework层的功能、问题4、能对Android 系统做裁减5、有智能穿戴行业、智能手机行业软件开发工作经验优先6、有IOS开发经验也可以职能类别：高级软件工程师集成电路IC设计/应用工程师关键字：安卓APPAndroid上层应用智能手机智能手表微信分享
IOS/Android开发工程师 (职位编号：00227),12500.0,16666.0,龙华街道清祥路1号宝能科技园9栋C座10-12层,深圳-龙华区,大专,无,"岗位职责1.  根据需求文档编写测试计划.  制定详细的测试方案.  编写测试用例2.  根据测试计划搭建和维护测试环境，执行测试工作并提交测试报告。包括编写用于测试的自动测试脚本，完整地记录测试结果，编写完整的测试报告等相关的技术文档3.  对测试中发现的问题进行详细分析和准确定位，与开发人员讨论缺陷解决方案4.  对测试结果进行总结与统计分析，对测试进行跟踪，并提出反馈意见任职要求1.  大专及以上学历，计算机、软件工程、自动化等相关专业，了解软件开发生命周期2.  掌握软件测试理论和方法，能够熟练应用多种测试工具,至少会使用一种BUG管理工具3.  有较强的逻辑分析能力和学习能力,准确详实的描述BUG产生的过程及现象,并准确地定位并跟踪问题4.  拥有较好的沟通技巧及团队合作精神，较强的责任感及进取精神5.  热爱软件测试工作，可以胜任重复性工作，工作细致认真，有耐心6.  有设计、编码经验者优先职能类别：高级软件工程师无线通信工程师微信分享"
