company_name,max_wages,min_wages,place,place2,education,treatment,requirement
IOS/Android开发工程师 (职位编号：00227),12500.0,16666.0,龙华街道清祥路1号宝能科技园9栋C座10-12层,深圳-龙华区,大专,无,"岗位职责1.  根据需求文档编写测试计划.  制定详细的测试方案.  编写测试用例2.  根据测试计划搭建和维护测试环境，执行测试工作并提交测试报告。包括编写用于测试的自动测试脚本，完整地记录测试结果，编写完整的测试报告等相关的技术文档3.  对测试中发现的问题进行详细分析和准确定位，与开发人员讨论缺陷解决方案4.  对测试结果进行总结与统计分析，对测试进行跟踪，并提出反馈意见任职要求1.  大专及以上学历，计算机、软件工程、自动化等相关专业，了解软件开发生命周期2.  掌握软件测试理论和方法，能够熟练应用多种测试工具,至少会使用一种BUG管理工具3.  有较强的逻辑分析能力和学习能力,准确详实的描述BUG产生的过程及现象,并准确地定位并跟踪问题4.  拥有较好的沟通技巧及团队合作精神，较强的责任感及进取精神5.  热爱软件测试工作，可以胜任重复性工作，工作细致认真，有耐心6.  有设计、编码经验者优先职能类别：高级软件工程师无线通信工程师微信分享"
iOS开发工程师,15000.0,8000.0,民治街道工业东路锦湖大厦C栋C302,深圳-龙华区,大专,"五险一金,年终奖金,股票期权,弹性工作",岗位职责1、进行iOS平台客户端软件开发和维护工作；2、根据产品需求完成架构和模块设计、编码、测试工作；3、能按照项目计划，按时完成开发任务；4、改善软件的易用性，提升用户使用体验；5、规范和文档的编写、维护。职位要求：1、具有良好的技术功底，熟悉面向对象软件设计思想，以及常见的设计模式；2、熟悉移动终端特性和开发特点，善于解决iOS平台各类常见问题；3、具有优秀的创新精神、钻研新技术的兴趣和能力，有较强的沟通能力、团队合作和高度的责任感；4、思维清晰、敏捷，能适应较大的工作压力。职能类别：iOS开发工程师关键字：IOS开发微信分享
iOS开发工程师,18000.0,14000.0,深圳市南山区软件园二期13栋302掌心宝贝,深圳-南山区,大专,"五险一金,员工旅游,绩效奖金,节日福利,弹性工作,交通补贴","1.负责公司核心产品iOS客户端的开发维护；2.根据产品需求独立开发，包括需求分析，代码开发和调试、发布等，高质量高效率完成需求；3.iOS产品的性能调优等工作。岗位要求：1.有4年以上iOS开发经验，有成功开发并上线到AppStore的经验；2.良好的计算机基础，数据结构和算法。对操作系统相关的线程、内存、文件有深入了解的优先,熟练使用Objective C和swift，熟悉iOS的Runtime, 内存管理机制和多线程开发，或具有良好的C/C++语言基础，了解内存和指针概念；3.对于网络编程有一定的经验，对于HTTP/HTTPS和socket的协议栈能够有认知；4.熟悉react native优先；5.逻辑思维能力强，思路清晰，有创造性，有良好的英文资料阅读能力；6.良好的合作精神和团队协作能力，能独立完成工作，负有挑战精神和强烈的进取心；职能类别：iOS开发工程师移动开发工程师关键字：ios软件开发ios开发开发工程师微信分享"
IOS开发工程师,30000.0,18000.0,龙华新区龙观西路39号龙城工业区绿联科技大楼,深圳-龙华区,本科,"五险一金,员工旅游,年终奖金,定期体检,提供食宿,房补",岗位职责：1. 负责iOS客户端产品的架构设计与开发；2. 负责APP的维护和迭代，上架；任职要求：1. 本科及以上学历，计算机或软件工程相关专业2. 精通Objective-C，熟悉Swift，有良好的软件开发经验，扎实基础，熟悉iOS框架及各种特性，掌握常用系统框架及第三方框架；3. 熟悉网络通讯机制，对Socket通信、TCP/IP、UDP、HTTP等有深刻理解和实际经验；4. 熟悉音视频、直播相关的开发；5. 具备充分的架构设计能力，能够确保自己的模块便于维护和排查问题；6. 能独立完成系统的搭建和开发，独立上架商店项目、熟悉上架规则，审核及发布流程；至少主导或独立开发并发布至少2款成熟的iOS产品；7. 具备C++开发经验或音视频开发经验的优先；8. 有跨平台开发经验（H5/RN/flutter）优先；9. 熟悉samba/AFP/DLNA开发优先；职能类别：软件工程师高级软件工程师微信分享
iOS/Android开发工程师（Flutter方向）,25000.0,15000.0,深圳市南山区高新中一道2号长园新材料港10栋8层,深圳-南山区,本科,"带薪年假,五险一金,节日福利,智能消息服务,BI运营,大数据,智能商业平台",1.负责Flutter技术的框架开发与维护；2.配合产品经理，深度参与产品需求讨论，功能定义；3.配合推广、运营等其他部门，提供相关技术支持。任职要求：1.本科学历（可在学信网查验学历，技术能力强可放宽到大专），3年以上iOS/Android移动端APP开发经验，1年以上flutter开发经验，能独立从事移动端APP开发；2.熟练掌握Dart语言和Flutter框架，熟练使用各种flutter组件及第三方库进行纯Flutter或者与iOS/Android原生混合开发；3.精通移动端APP开发及应用框架，基本功扎实，对网络，多线程、客户端缓存机制、系统底层原理等有深刻理解；4.比较好的业务理解能力，能够和产品、运营、QA形成良好配合，切实解决业务遇到的问题。职能类别：移动开发工程师关键字：androidiosFlutter移动端开发微信分享
iOS开发工程师,20000.0,15000.0,宝龙街道龙兴社区兰水路14、27号,深圳-龙岗区,本科,无,"1.三年以上iOS客户端开发经验2.精通Objective C ,熟悉swift。3.精通 iOS UI，熟练使用iOS控件，数据存储，多线程操作。4.熟悉基础的网络通信协议。5.了解iOS的音视频基本框架。善于独立思考，乐于助人，具有团队精神具有音视频相关开发经验优先职能类别：Android开发工程师关键字：iosios开发app手机软件微信分享"
iOS开发工程师,25000.0,15000.0,深圳市龙华新区龙胜社区淘金地电子孵化基地B座8楼,深圳,大专,"带薪年假,五险一金,专业培训,节日福利,绩效奖金,业务提成,年底双薪",岗位职责：负责IOS平台的客户端应用研发工作。参与App架构设计，可以独立承担模块设计，并主导项目。协助进行系统设计及同后台系统交互接口设计。代码维护，Bug修改，性能优化。任职要求：本科及以上学历，计算机相关专业三年以上IOS平台App开发经验，参与过多个IOS客户端软件的架构设计，并有参与核心模块的开发经验。熟悉IOS应用开发框架，熟悉IOS平台主要开发技术，完整参与多个或独立承担至少一个IOS平台应用的App上架工作。有上架和处理审核的实战经验，对证书管理流程较为熟悉。熟练IOS多线程，持久化存储，Socket网络编程和Tcp/Udp/Http/等网络协议，对用户体验，交互操作流程有深入理解。有定位，语音聊天，智能手表等产品的相关开发经验优先。职能类别：iOS开发工程师微信分享
iOS开发工程师,15000.0,10000.0,大新路创新大厦198号B座15楼,深圳-南山区,本科,"五险一金,领导好,节日福利,绩效奖金,餐饮补贴,专业培训,周末双休,提供食宿",岗位职责1、负责IOS系统手机软件应用研发、功能的持续改进、维护，参与项目需求分析、产品模块的概要和详细设计；2、参与手机App团队技术研究和创新，与产品、测试人员互相沟通合作完成项目；3、分析并解决开发中的各种问题，维护并改善程序质量；4、按项目进度与需求完成相关产品模块的代码编写、产品模块测试，能及时、准备的完成所需功能的开发，并保证代码质量；5、负责其他新功能开发并持续优化，提高用户体验任职资格1、精通IOS平台的应用软件开发，精通面向对象的软件开发，有良好的软件工程概念和编程习惯；2、有较强的独立解决问题的能力，有独立支撑产品架构的经验；3、良好的编程规范，对设计模式有深刻的理解，熟悉IPHONE APP开发流程，对IOS交互有一定的理解；4、较好的逻辑思维分析和表达和沟通能力，有较强的团队协作精神和服务意识；职能类别：iOS开发工程师关键字：ios软件开发ios开发微信分享
iOS初级开发工程师,10000.0,8000.0,南海大道1061号喜士登大厦4楼,深圳-南山区,大专,"做五休二,带薪年假,五险一金,绩效奖金,全勤奖,节日福利,加班补贴,生日会,下午茶,定期体检",·在iOS开发工程师的指导下，完成iOS端应用程序的开发及问题修复，确保有效达成IT研发项目目标并支撑IT业务系统的运转。岗位职责及权重一、iOS应用程序45%1.根据已确定的业务需求和项目计划，在iOS开发工程师的指导下，完成iOS应用程序的开发。二、iOS应用程序维护30%1.对于已上线的iOS应用程序，跟进其相关功能的使用情况，在iOS开发工程师的指导下，及时响应处理出现的问题。三、iOS应用程序源代码及相关文档资料的管理15%1.根据已确定的编码规范，管理及维护iOS应用程序源代码。2.根据已确定的制度规范，管理及维护iOS应用程序相关资料文档（包含程序设计、接口、数据结构等）。四、IT业务系统相关工作支持10%1.根据项目需求和计划，完成iOS应用程序的上线部署。2.协助完成IT业务系统（包含新系统或已有系统的新功能）的需求挖掘/调研/分析、比较选型、架构设计等。3.协助完成IT业务系统的日常运维，如服务器搭建及配置、系统用户和权限管理、使用培训等。其他要求：1.Objective-C、Swift至少一种编程语言。2.XCode开发工具。3.MVS、MVVM、RESTful等开发模式。4.iOS各类开发框架及基本类库。5.iOS前端与后端的通信机制（如http、https、JSON、Web Socket）等。6.iOS数据存储及处理（包含数据库开发）。灵珞是一家怎样的公司？管理规范吗？靠谱吗？尊重员工吗？氛围好吗？员工有成长空间吗？……你关心的问题答案都在这里：1.诚信履约——信守承诺，言出必行。自2006年创始至今，灵珞没有一例失信记录（包括但不限于供应商货款、员工工资、奖金、离职补偿金，均按时合规足额支付）。2.共同成长——人才是灵珞发展的基石！为有追求有潜质的员工提供成长的平台，培养人才、孵化梦想是灵珞对员工的尊重和承诺，只要你够牛，各级管理层均虚位以待，每一位员工的发展均没有天花板。3.追求卓越——见微知著，5个90%连乘就已不及格。灵珞认为，追求卓越不是利益算计，而是与生俱来的使命！超越对手只是生存的起点，而超越自我才是灵珞的永恒追求。灵珞有什么特点？适合我吗？以下信息能助你作出正确选择：1.尊约定，重事实，讲逻辑，对事不对人！2.“人微言轻？”不存在！谁对听谁的！3.工作以“解决问题”为核心，找问题、找原因、找方法！4.定制度、建流程，工作有依据，协作不扯皮！5.绩效考核凭案例、不打分，没人能给你穿小鞋！6.弱化等级、相互尊重、平等轻松，坚守“不损人利己”的人品底线，杜绝办公室政治！职能类别：iOS开发工程师关键字：ios软件开发微信分享
iOS开发工程师,15000.0,12000.0,卓越世纪中心1号楼38层,深圳-福田区,大专,"五险一金,交通补贴,年终奖金,定期体检,弹性工作","工作职责？：1、根据公司要求独立完成基于iOS系统平台进行应用程序开发设计、调试工作；2、根据项目任务计划独立按时完成软件高质量编码和测试工作；3、规范文档的编写、维护，以及其他与项目相关工作；4、按照开发流程编写相应模块的设计文档；5、按时按需完成客户端软件的维护及更新。任职要求？1、三年以上iOS开发开发经验；2、精通Objective-C，Swift,熟悉C/C++，熟悉常用算法和数据结构；3、扎实的计算机基础，熟悉HTTP/TCP/UDP网络协议；4、熟悉Cocoa、UIKit框架，多线程，runtime原理与相关技术；5、熟悉RxSwift，Reacti  响应式框架；6、熟练使用Instruments调优工具；7、具备良好的学习能力，分析解决问题能力，能独立承担任务和有系统进度把控能力；8、具备良好的责任心与工作激情，团队合作能力强。职能类别：iOS开发工程师微信分享"
