company_name,max_wages,min_wages,place,place2,education,treatment,requirement
跨境电商数据分析师,15000.0,10000.0,深圳市龙岗区坂田街道坂田社区田村电子厂6号101,深圳-龙岗区,本科,"五险一金,员工旅游,绩效奖金,年终奖金,弹性工作,定期体检,专业培训",岗位职责：1.负责运营部销售数据分析2.分析亚马逊平台行业数据，通过数据化分析，开发寻找潜在机会市场及产品。及对用户行为数据进行分析和挖掘，建立数据分析体系及各项报表，并撰写分析报告3.调研亚马逊上新产品、利润及竞争对手分析，分析客户需求，总结产品销售运营策略，制定运营推广方案。4.负责公司月度、季度、年度库存数据分析任职要求：1、1年以上亚马逊数据分析经验，熟悉亚马逊各种数据分析软件2、具备较强的数据分析能力、逻辑思维能力，能理解业务逻辑，能够独立进行数据分析并给出结论3、本科或以上学历，统计、数学、计算机信息工程等专业优先职能类别：数据分析师关键字：数据数据挖掘统计亚马逊平台微信分享
电商数据分析师  五险一金+地铁口,14000.0,7000.0,坂田街道坂田社区田村电子厂6号101,深圳-龙岗区,本科,"五险一金,绩效奖金,年终奖金,员工旅游,弹性工作,定期体检,每月团建,带薪培训,带薪年假,节日福利",岗位职责：1.负责运营部销售数据分析2.分析亚马逊平台行业数据，通过数据化分析，开发寻找潜在机会市场及产品。及对用户行为数据进行分析和挖掘，建立数据分析体系及各项报表，并撰写分析报告3.调研亚马逊上新产品、利润及竞争对手分析，分析客户需求，总结产品销售运营策略，制定运营推广方案。4.负责公司月度、季度、年度库存数据分析任职要求：1、1年以上亚马逊数据分析经验，熟悉亚马逊各种数据分析软件2、具备较强的数据分析能力、逻辑思维能力，能理解业务逻辑，能够独立进行数据分析并给出结论3、本科或以上学历，统计、数学、计算机信息工程等专业优先福利待遇：1、基本工资+高额提成（上不封顶）+全勤奖 + 绩效构成，薪资高于同行业平均水平；2、节日慰问：公司在女生节、端午节、中秋节、圣诞节等各种重大节日礼品；3、员工活动：每月为当月生日员工举办生日party 并送上生日礼物，每月每个团队均有活动经费用作于团队建设，每年举行一次大型年会活动并且有大额的礼品领取，上半年和下半年都有带薪公费旅游活动，并且还有组建篮球社团、羽毛球社团、乒乓球社团及户外社团等等；4、社会保险：员工入职后公司统一购买五险一金；5、培训晋升：双渠道晋升机制，分别为业务精英方向和管理方向；6、其他福利：员工入职满一年会享受带薪年假和体检福利；7、假期规定：享受国家规定的带薪假期；女员工享有每月半天带薪特殊假；8、上班时间：08:30-18:00，八小时制，一周5.5天工作。职能类别：数据分析师关键字：数据分析大数据数据处理数据挖掘统计数据分析师sql微信分享
rpt数据分析师,,,华星光电研发大楼,深圳-光明区,本科,"五险一金,补充医疗保险,免费班车,餐饮补贴,绩效奖金,周末双休,节日福利",1.负责收集和分析用户需求，液晶面板或者半导体生产领域的数据分析2.负责数据分析系统(BO)的开发及维护任职资格：1.精通SAP  BO(Webi&IDT)开发，能熟练进行Webi报表开发;2.精通液晶面板或者半导体生产领域的数据分析，有实际项目尤佳3.精通数据建模及数据集市理念，能进行IDT数据模型的设计和开发4.精通BO CMC平台运维，能熟练进行平台部署、调优等，BO SDK研究掌握尤佳5.具备3年以上开发经验职能类别：数据分析师关键字：bobireport报表数据分析微信分享
跨境电商数据分析师（亚马逊）,15000.0,8000.0,深圳市龙岗区坂田街道九行星科技有限公司D栋前台,深圳-龙岗区,本科,"五险一金,员工旅游,专业培训,绩效奖金,定期体检,生日会,年假,年会",1.负责亚马逊运营部销售数据分析2.分析亚马逊平台行业数据，通过数据化分析，开发寻找潜在机会市场及产品。及对用户行为数据进行分析和挖掘，建立数据分析体系及各项报表，并撰写分析报告3.调研亚马逊上新产品、利润及竞争对手分析，分析客户需求，总结产品销售运营策略，制定运营推广方案。4.负责公司月度、季度、年度库存数据分析任职要求：1、1年以上亚马逊数据分析经验，熟悉亚马逊各种数据分析软件2、具备较强的数据分析能力、逻辑思维能力，能理解业务逻辑，能够独立进行数据分析并给出结论3、本科或以上学历，统计、数学、计算机信息工程等专业优先福利信息：1、薪资福利：底薪+绩效。2、社会保险：入职即公司统一购买社保（养老保险、工伤保险、失业保险、医疗保险、生育保险）及住房公积金；3、餐饮住宿（公寓式宿舍）：公司可提供员工宿舍（空调热水器等家电，享受家的温馨）；4、其它福利：全勤奖，年终奖，工作满两年员工可享受司龄奖；5、带薪休假：享有带薪休假，享受国家规定假期（法定假日、婚假、产假等），另工作满一年的员工按公司规定享受5天的带薪年假；6、文娱生活：公司不定期组织各种文娱活动（每月的经费聚餐，生日会）、部门经费活动，公司内部也有篮球协会、足球协会、羽毛球协会等等；7、发展空间（双向晋升）：公司拥有良好的技能培训、健全的晋升机制和人性化的管理方式，对表现优秀的员工，公司将予以晋升；8、上班时间：8：30-12：00，13：30-18：00（5.5天制）9、上班地点：深圳市龙岗区坂田街道 贝尔路A口附近地铁站：10号线 贝尔路站 A出口公交站：中海日辉台职能类别：数据分析师关键字：数据分析师微信分享
跨境电商数据分析师,15000.0,7000.0,龙岗区坂田街道坂田社区田村电子厂6号101,深圳-龙岗区,本科,"五险一金,员工旅游,绩效奖金,专业培训,定期体检,每月团建,90后氛围,节日福利,带薪年假,全勤奖",岗位职责：1、负责亚马逊平台数据抓取采集整理，对数据进行深度分析、挖掘和建模；2、对业务部门各站点销售情况进行统计分析及策略建议，为业务决策、市场方向提供有价值的数据支持；3、调研亚马逊上新产品、利润及竞争对手分析，分析客户需求，做好产品生命周期管理；4、分析亚马逊平台行业数据，通过数据化分析，为产品开发寻找潜在机会市场及产品提供依据；5、完成领导交办的其他任务。任职要求：1、1年以上亚马逊数据分析经验，熟悉亚马逊各种数据分析软件2、具备较强的数据分析能力、逻辑思维能力，能理解业务逻辑，能够独立进行数据分析并给出结论3、本科或以上学历，统计、数学、计算机信息工程等专业优先上班时间：8：30-12：00，13：30-18：00（5.5天制）上班地点：深圳市龙岗区坂田街道 贝尔路A口职能类别：数据分析师关键字：数据分析数据处理统计数据分析师sql亚马逊跨境电商数据挖掘微信分享
数据分析师,8000.0,6000.0,深圳市宝安区西乡街道西城工业区红山大厦512,深圳-宝安区,大专,"五险一金,员工旅游,专业培训,年终奖金,定期体检,做五休二",1）、负责亚马逊电商平台运营数据汇总统计及分析，构建数据分析体系，推动数据化运营工作；2）、负责物流数据追踪，协助销售部门做好物流全流程对接3）、协助部门进行周度、月度、季度经营分析汇报及复盘任职要求：1、大专及以上学历，有相关运营工作从业经验；2、熟悉办公软件操作，尤其是Excel，了解SQL，Python更佳，具备良好的数据统计和分析能力；2、思维逻辑清晰，做事情耐心严谨；3、具备相关工作经验者优先职能类别：数据分析师关键字：数据分析数据挖掘微信分享
高薪急聘 亚马逊数据分析师,15000.0,8000.0,深圳市龙岗区坂田街道坂田社区田村电子厂6号101,深圳-龙岗区,本科,"五险一金,年终奖金,员工旅游,专业培训,带薪年假,丰富团建活动,90后氛围,员工公寓,全勤奖,节日福利",工作职责1.负责运营部销售数据分析；2.分析亚马逊平台行业数据，通过数据化分析，开发寻找潜在机会市场及产品。及对用户行为数据进行分析和挖掘，建立数据分析体系及各项报表，并撰写分析报告；3.调研亚马逊上新产品、利润及竞争对手分析，分析客户需求，总结产品销售运营策略，制定运营推广方案；4.负责公司月度、季度、年度库存数据分析；任职要求：1、本科及以上学历，统计、数学、计算机信息工程等专业优先；2、1年以上亚马逊数据分析经验，熟悉亚马逊各种数据分析软件；3、具备较强的数据分析能力、逻辑思维能力，能理解业务逻辑，能够独立进行数据分析并给出结论职能类别：数据分析师关键字：数据分析大数据数据处理数据挖掘统计数据分析师sql微信分享
数据分析师,8000.0,6000.0,无,深圳,大专,无,职位描述：1、 跟进收款、退款，协助对逾期数据进行统计分析（EXCEL表格处理）；2、 协助合作方进行对账、发票开具，财务对账；3、 协助历史业务数据整理及分类，内部台账数据的维护；4、 合同结清、业务变更等业务流程办理；5、主管交办的其他事宜。任职资格：1、 专科及以上学历，统计、数学、财务及相关专业优先；2、 熟悉Excel，熟练操作Office办公软件；3、 有融资租赁、银行、小额贷款等相关方面经验的优先；4、 做事认真、仔细，工作责任心强、良好的团队合作精神。职能类别：其他关键字：数据分析文员项目助理统计业务助理评审风控金融数学微信分享
数据分析师,30000.0,15000.0,梅林路安得街89号步步高大楼1楼,深圳-福田区,本科,"五险一金,绩效奖金,定期体检,专业培训,通讯补贴",岗位职责：1、负责各软件产品业务的取数工作；2、协助数据分析师完成各产品业务的数据分析工作 ；3、为运营、产品、市场等提供必要的数据支持；4、对日常数据进行实时收集、更新、汇总、跟进与分析；5、了解基本的埋点业务，收集和整理产品的报表需求。岗位要求：1、本科学历，数学专业优先，具有互联网数据产品相关工作经历者优先 ；2、对产品数据有较高的兴趣 ；3、逻辑思维清晰，执行能力强，有较好的团队意识和沟通能力 ；4、有基本的代码知识，了解或会用sql等取数工具，熟练Word/Excel/PPT等办公软件。vivo总部办公，朝九晚六（弹性2小时），周末大小休，入职购买六险一金职能类别：数据分析师关键字：数据分析大数据数据分析师微信分享
数据分析师,15000.0,10000.0,平湖街道华南城华南发展中心10楼,深圳-龙岗区,本科,"免费班车,绩效奖金,意外险,五险一金,补充医疗保险,年终奖金","岗位职责：1.对业务数据的整体经营情况做对比、结构及趋势分析，输出有效的报表和报告支持业务部门做经营决策；2.基于对业务的理解，寻找业务数据规律，做月度短期、中期预测。岗位要求：1.统计学、数学类、计算机专业优先，本科学历及以上，研究生优先；2.excel快捷键、基本函数、透视表使用熟练，图表制作熟练；3.熟悉ERP信息系统模块，会做BI报表、熟练SQL语句、有oracle系统使用的经验；4.会使用统计学理论做预测模型,有过爬虫项目经验的、熟悉使用Python的优先;5.具有良好的沟通能力与团队协作意识，逻辑性强，思维缜密，能准确把握分析需求找到关键数据做有效分析。职能类别：数据分析师关键字：数据分析数据处理统计sqlPython微信分享"
