company_name,max_wages,min_wages,place,place2,education,treatment,requirement
软件测试工程师,16000.0,11000.0,软件产业基地,深圳-南山区,大专,"五险一金,补充医疗保险,定期体检,专业培训",1、参与需求的讨论和评审，从测试的角度提出见解和解决措施；2、根据需求文档进行测试设计和测试用例编写与维护；3、能够熟练执行测试场景，提交产品BUG，驱动问题及时解决；4、编写/维护用户手册、测试等相关技术文档。用人要求：1、计算机相关专业本科及以上学历，需要有学位证，3年相关工作经验工作经验；【地图软件测试工作经验   或   功能、性能、自动化测试经验】2、熟悉软件测试理论和方法，熟悉软件测试流程；3、有较强的逻辑分析能力和学习能力，有良好的文档撰写能力；4、有地图软件测试工作经验者优先。入职六险一金工作时间：弹性工作时间，(08:30 - 18:00)，午休开始时间：12:00，午休：1.5小时，上下班时间向后浮动1.5小时工作地址：深圳市南山区学府路软件产业基地 （地铁：科苑）职能类别：软件测试工程师关键字：软件测试测试测试工程师自动化测试软件功能测试性能测试系统测试微信分享
软件测试工程师,10000.0,5000.0,高新南区科技南十路6号深圳航天科技创新研究院大厦A701,深圳-南山区,大专,无,岗位职责：1、根据需求文档，提取测试要点、编写测试用例、执行测试用例；2、提交bug至管理工具，并对bug进行跟踪、验证，回归测试；3、对测试结果进行分析并编写测试报告、进行测试总结；4、对接客户服务问题，包括问题对接、记录、跟踪、解决、答复、结案等；5、负责缺陷跟踪和管理；6、负责搭建和维护系统测试环境；任职要求：1、1-2年测试工作经验，大专及以上学历，有ERP项目经验者优先，可接受应届毕业生或实习生；2、熟悉SQL SERVER数据库，会使用基本的SQL语句定位或解决问题等；3、熟练使用项目管理工具SVN、及办公软件EXCEL、WORD、VISIO、Xmind等4、熟悉一门编程语言，C语言、Java、Python等，优先考虑；5、较好的解决问题能力、抗压能力、逻辑思维能力和沟通协调能力，扎实的测试基础。公司福利：1、7小时5天制；2、购买五险一金；3、员工生日、结婚、生子礼金；4、年度不少于2次的公司集体活动及至少一次的年度旅游；5、节日福利如端午、中秋等节日；6、公司每月常规活动聚餐等；职能类别：软件测试工程师关键字：测试软件测试测试工程师功能测试微信分享
软件测试工程师,13000.0,9000.0,博今国际,深圳-福田区,本科,"五险一金,员工旅游,专业培训,年终奖金,定期体检",1、计算机软件及相关专业，本科以上学历，1-3年软件测试工作经验；2、熟练掌握测试流程，熟悉手工测试，会写测试用例，会用常见的测试工具；3、了解自动化工具 Selenium， Jemter；4. 会一门编程语言 - Java或者Python 优先；5. 熟悉数据库和Linux常用命令；6.有供应链、银行等金融系统开发从业经验的优先考虑。【福利待遇】1、年底13薪，绩效奖金；2、周末双休，法定节假日休息；3、五险一金、定期体检、年终奖、带薪年假；4、生日福利、下午茶、节假日礼包、零食，加班补贴；5、优秀者有机会成为正式员工。6、此岗位为外包岗位。职能类别：自动化测试关键字：测试微信分享
图像算法软件测试工程师,15000.0,10000.0,北山工业区11栋2楼,深圳-盐田区,本科,"五险一金,餐饮补贴,专业培训,年终奖金,定期体检,通讯补贴,周末双休,弹性工作","1.负责高通量基因（DNA)测序仪图像算法软件的测试和分析；2.根据研发需求开发数据分析流程或可视化工具，为算法和生化开发的同事提供数据支持和验证；3. 与科研服务部门同事沟通，能及时掌握测序平台在外部应用上存在的问题或者新需求；4.协调相关资源，负责算法软件测试工作的开展，和相关责任人沟通测试项目进展；5. 基于NGS测序平台做一些探索性的研究。任职资格：1.本科及以上学历，有图像算法软件开发/测试工作经验更佳；2.熟悉WGS,WES等常用生信流程并与上游测序平台相结合，能发掘测序平台数据特征并在此基础上进行流程参数及模型的迭代优化；3.熟悉软件开发/测试类工具的使用（Visual Studio、JIRA/WIKI、Git等）；4.有Python或C#或C++等编程基础，有自动化测试或数据挖掘分析经验更佳；5.良好的团队协作能力和沟通能力；6.具备一定的Linux基础。职能类别：测试开发微信分享"
软件测试工程师,15000.0,10000.0,龙华新区观澜环观南路高新技术产业园,深圳-龙华区,本科,无,岗位职责：1、负责对产品的测试用例、测试计划、测试方案、测试报告、说明书、工程培训文档的编写及培训。2、负责测试环境的搭建，编写模块测试用例，进行系统测试，执行测试用例，输出测试报告；3、协助推动研发对测试中出现的Bug进行跟踪定位。岗位要求：1、计算机相关专业，***本科学历2、性格开朗活泼，情绪稳定；3、2年以上测试经验，熟悉测试理论及方法，能运用各种测试方法进行测试；4、熟练使用mysql数据库的增删改查操作，linux系统的基本操作；5、有软件+硬件系统测试者优先。职能类别：软件测试工程师微信分享
软件测试工程师,13000.0,9000.0,购物公园平安金融大厦,深圳-福田区,本科,"五险一金,交通补贴,绩效奖金,年终奖金,通讯补贴,员工旅游,定期体检,专业培训",1、本科及以上学历，理工科专业的优先考虑；2、2年及以上工作经验，具备扎实的计算机基础知识；3、具备丰富的web测试经验，，熟悉测试流程，掌握测试原理；4、熟悉Linux操作系统，Http/Https网络协议，Oracle/PgSQL/MySQL数据库5、具备良好的团队合作精神，善于协调沟通，具备较高的问题推动解决能力。6、有相关的大数据测试、自动化测试、专项测试或白盒测试工具和平台建设者优先。职能类别：软件测试工程师关键字：功能测试性能测试自动化测试微信分享
软件测试工程师,20000.0,15000.0,嘉里建设广场,深圳-福田区,本科,"五险一金,带薪年假",工作职责：1.负责APP性能、软硬件兼容性测试；2.配合开发部门对软件BUG进行修改；3.参与公司研发过程；4.与主机厂和内部团队紧密合作，改善软件性能；5.为内部团队成员提供技术支持。岗位要求：1.全日制本科学历，3年以上测试经验，1年以上APP测试经验；2.有相机或视频软件测试经验优先；3.英文读写熟练；4.熟悉objective C和Java编程技术；5.有自动化测试经验；6.有软硬件兼容测试经验优先。职能类别：测试工程师关键字：软件测试功能测试性能测试自动化测试微信分享
软件测试工程师  双休,15000.0,10000.0,南湾街道上李朗社区李朗路19号朗华春晖大厦,深圳-龙岗区,本科,"五险一金,餐饮补贴,提供住宿,绩效奖金,带薪年假",岗位职责：1、负责ERP、WMS等系统的产品测试工作，包含系统功能测试、自动化测试等；2、根据产品/项目需求制定产品的测试计划、方案，进行测试需求分析、测试用例设计及评审、测试执行、测试进度和报告反馈；3、对产品缺陷进行跟踪分析和报告，推动测试中发现的问题及时解决。任职要求：1. 熟悉测试理论、测试方法和测试流程，能够根据项目需求及规划制订项目测试计划、设计完整的测试用例并执行测试；2. 能够协助开发复现，定位发现的问题，并且跟进和验证bug；3. 热爱软件测试工作，可以胜任重复性工作，工作细致认真，有耐心；4. 拥有较好的沟通技巧及团队合作精神，较强的责任感。5.全日制本科及以上学历，2年以上软件测试工作经验；我们能为您提供：1、入职即缴纳五险一金；2、餐补、高温补贴、交通补助；3、员工可享受姨妈假、姨父假；4、享受法定节假日；5、年度旅游；6、生日活动、感恩父母活动、部门经费；7、积分调户；8、各种兴趣小组（篮球、足球、羽毛球、音乐、舞蹈、电影、乐队等）；9、上下班车接驳；10、员工食堂；11、年底双薪；12、 停车费50元/月（仅限朗华员工）职能类别：测试工程师关键字：软件测试功能测试系统测试自动化测试性能测试微信分享
软件测试工程师,10000.0,6000.0,广东省深圳市罗湖区人民南路天安国际大厦A座18楼1801-08,深圳-罗湖区,大专,"五险一金,通讯补贴,年终奖金,员工旅游",1. 严格遵守公司及部门各项规章制度，服从领导安排；2. 负责编写项目性能测试方案设计，制定测试计划，编写性能测试用例脚本、进行压力测试与稳定性测试；3. 搭建、维护性能测试环境，进行测试环境的部署与调试，维护性能测试工具；4. 负责编写和维护测试报告，分析测试结果，定位性能瓶颈并跟进问题的解决；5. 参与系统架构设计工作，对各个业务项目的产品和系统设计进行容量，性能方面的评估，及时发现存在的隐患并推动问题解决；6. 完成测试项目归纳及总结文档。任职要求：1. 计算机、软件相关专业，大专及以上学历；2年及以上的专职测试经验，具有1年以上软件项目性能测试经验；2. 熟悉性能和压力测试的整体流程、方法，概念明确，思路清晰，具备性能测试需求分析和设计规划能力；3. 熟悉BS结构系统性能测试分析设计，熟练使用1-2种性能和压力测试优化工具；4. 熟练使用Sql Server2005或MySQL数据库系统；5. 熟悉软件开发流程及良好文档编写能力；6. 具有较强的沟通理解能力和协调能力，对工作积极主动、认真负责；7. 求知欲强，对新技术敏感，能快速学习并具备较强的技术领悟能力。职能类别：软件测试工程师微信分享
软件测试工程师,8000.0,6000.0,坂田华为基地,深圳-龙华区,大专,"五险一金,员工旅游,绩效奖金,年终奖金,定期体检,团队聚餐,人性化办公,免费班车",您的工作职责：1、负责协助公司项目产品的功能测试和性能测试；2、协助产品需求和开发计划，进行测试需求分析，制定测试计划，设计测试方案和用例；3、执行测试并对测试过程中发现的问题进行分析和报告，并协助开发人员进行问题定位和解决。任职要求：任职要求：1、热爱互联网技术类工作；2、具有良好的职业道德，踏实稳重，工作细心，协调能力，有团队协作精神；3、熟练使用相关办公软件，具备基本的网络知识；薪资福利待遇：1、基本工资+奖金+岗位津贴+丰厚年终奖；2、购买社保，五险一金，15天带薪年假，年终奖；3、完善的培养体系和晋升机制；4、丰富的业余集体活动（下午茶，拓展，旅游，聚餐，年会等）；5、五天七小时制，中午休息两小时，周末双休；6、公司提供住宿；职能类别：软件工程师微信分享
